县市区,年份,学生总数（人）
宜昌市,2020,486890
宜昌市,2021,492998
宜昌市,2022,500162
宜昌市,2023,503797
宜都市,2020,33304
宜都市,2021,32741
宜都市,2022,32983
宜都市,2023,34285
夷陵区,2020,38149
夷陵区,2021,38392
夷陵区,2022,38436
夷陵区,2023,45714
猇亭区,2020,17428
猇亭区,2021,20548
猇亭区,2022,22900
猇亭区,2023,14614
西陵区,2020,36905
西陵区,2021,37010
西陵区,2022,36652
西陵区,2023,38255
伍家岗区,2020,41203
伍家岗区,2021,42407
伍家岗区,2022,45908
伍家岗区,2023,43600
点军区,2020,13826
点军区,2021,14459
点军区,2022,12668
点军区,2023,12887
枝江市,2020,33084
枝江市,2021,32928
枝江市,2022,32508
枝江市,2023,33215
当阳市,2020,36892
当阳市,2021,37246
当阳市,2022,37589
当阳市,2023,38123
远安县,2020,28642
远安县,2021,29135
远安县,2022,29578
远安县,2023,30126
兴山县,2020,25328
兴山县,2021,25874
兴山县,2022,26419
兴山县,2023,26985
秭归县,2020,36756
秭归县,2021,37342
秭归县,2022,37928
秭归县,2023,38542
长阳土家族自治县,2020,32589
长阳土家族自治县,2021,33164
长阳土家族自治县,2022,33748
长阳土家族自治县,2023,34352
五峰土家族自治县,2020,21468
五峰土家族自治县,2021,21953
五峰土家族自治县,2022,22437
五峰土家族自治县,2023,22942
市直代管,2020,18642
市直代管,2021,19035
市直代管,2022,19428
市直代管,2023,19842
宜昌高新区代管,2020,9865
宜昌高新区代管,2021,10238
宜昌高新区代管,2022,10612
宜昌高新区代管,2023,10985
