县市区,年份,规模养殖场总数（个）
宜昌市,2021,2569
宜昌市,2022,3208
宜昌市,2023,3203
宜昌市,2024,3143
宜昌市,2025,3252
宜都市,2021,396
宜都市,2022,433
宜都市,2022,433
宜都市,2024,389
宜都市,2025,396
枝江市,2021,658
枝江市,2022,686
枝江市,2023,686
枝江市,2024,668
枝江市,2025,732
当阳市,2021,472
当阳市,2022,472
当阳市,2023,472
当阳市,2024,466
当阳市,2025,493
远安县,2021,121
远安县,2022,134
远安县,2023,134
远安县,2024,119
远安县,2025,121
兴山县,2021,46
兴山县,2022,54
兴山县,2023,54
兴山县,2024,50
兴山县,2025,52
秭归县,2021,108
秭归县,2022,122
秭归县,2023,122
秭归县,2024,111
秭归县,2025,124
长阳县,2021,609
长阳县,2022,744
长阳县,2023,744
长阳县,2024,743
长阳县,2025,744
五峰县,2021,103
五峰县,2022,123
五峰县,2023,123
五峰县,2024,113
五峰县,2025,114
夷陵区,2021,2109
夷陵区,2022,2591
夷陵区,2023,2592
夷陵区,2024,2383
夷陵区,2025,2593
西陵区,2021,2
西陵区,2022,2
西陵区,2023,2
西陵区,2024,2
西陵区,2025,2
伍家岗区,2021,6
伍家岗区,2022,6
伍家岗区,2023,6
伍家岗区,2024,6
伍家岗区,2025,6
点军区,2021,18
点军区,2022,18
点军区,2023,18
点军区,2024,18
点军区,2025,18
猇亭区,2021,5
猇亭区,2022,5
猇亭区,2023,5
猇亭区,2024,5
猇亭区,2025,5
宜昌高新区,2021,30
宜昌高新区,2022,30
宜昌高新区,2023,30
宜昌高新区,2024,30
宜昌高新区,2025,30
