bysj,ssxsq,rjzdbl
2024年1月,宜昌市,100.00%
2024年1月,宜都市,100.00%
2024年1月,枝江市,100.00%
2024年1月,远安县,100.00%
2024年1月,当阳市,90.30%
2024年1月,当阳市,90.30%
2024年1月,枝江市,90.30%
2024年1月,枝江市,90.30%
2024年1月,兴山县,100.00%
2024年1月,长阳县,100.00%
2024年1月,宜都市,100.00%
2024年1月,夷陵区,100.00%
2024年1月,远安县,100.00%
2024年1月,宜都市,100.00%
2024年1月,夷陵区,93.50%
2024年1月,夷陵区,93.50%
2024年1月,五峰县,100.00%
2024年1月,五峰县,96.80%
2024年1月,秭归县,100.00%
2024年1月,猇亭区,--
2024年1月,夷陵区,--
2024年2月,宜昌市,100.00%
2024年2月,宜都市,100.00%
2024年2月,枝江市,100.00%
2024年2月,远安县,100.00%
2024年2月,当阳市,100.00%
2024年2月,枝江市,100.00%
2024年2月,兴山县,100.00%
2024年2月,长阳县,100.00%
2024年2月,宜都市,100.00%
2024年2月,夷陵区,100.00%
2024年2月,远安县,100.00%
2024年2月,宜都市,100.00%
2024年2月,夷陵区,100.00%
2024年2月,五峰县,100.00%
2024年2月,五峰县,100.00%
2024年2月,秭归县,100.00%
2024年2月,猇亭区,100.00%
2024年2月,夷陵区,100.00%
2024年3月,宜昌市,100.00%
2024年3月,宜都市,100.00%
2024年3月,枝江市,100.00%
2024年3月,远安县,100.00%
2024年3月,当阳市,100.00%
2024年3月,枝江市,100.00%
2024年3月,兴山县,100.00%
2024年3月,长阳县,96.80%
2024年3月,宜都市,100.00%
2024年3月,夷陵区,100.00%
2024年3月,远安县,100.00%
2024年3月,宜都市,100.00%
2024年3月,夷陵区,93.50%
2024年3月,夷陵区,93.50%
2024年3月,夷陵区,93.50%
2024年3月,五峰县,100.00%
2024年3月,五峰县,93.50%
2024年3月,五峰县,93.50%
2024年3月,秭归县,100.00%
2024年3月,猇亭区,100.00%
2024年3月,夷陵区,100.00%
2024年4月,宜昌市,100.00%
2024年4月,宜都市,100.00%
2024年4月,枝江市,100.00%
2024年4月,远安县,96.70%
2024年4月,当阳市,100.00%
2024年4月,枝江市,96.70%
2024年4月,兴山县,60.00%
2024年4月,长阳县,96.80%
2024年4月,宜都市,100.00%
2024年4月,夷陵区,100.00%
2024年4月,远安县,100.00%
2024年4月,宜都市,100.00%
2024年4月,夷陵区,90.00%
2024年4月,五峰县,100.00%
2024年4月,五峰县,96.70%
2024年4月,五峰县,96.70%
2024年4月,秭归县,100.00%
2024年4月,猇亭区,100.00%
2024年4月,夷陵区,100.00%
2024年5月,宜昌市,100.00%
2024年5月,宜都市,100.00%
2024年5月,枝江市,100.00%
2024年5月,远安县,96.70%
2024年5月,当阳市,64.50%
2024年5月,枝江市,92.30%
2024年5月,兴山县,96.80%
2024年5月,长阳县,100.00%
2024年5月,宜都市,100.00%
2024年5月,夷陵区,100.00%
2024年5月,远安县,96.80%
2024年5月,宜都市,100.00%
2024年5月,夷陵区,96.80%
2024年5月,五峰县,100.00%
2024年5月,五峰县,96.70%
2024年5月,秭归县,100.00%
2024年5月,猇亭区,100.00%
2024年5月,夷陵区,100.00%
2024年6月,宜昌市,40.00%
2024年6月,宜都市,100.00%
2024年6月,枝江市,100.00%
2024年6月,远安县,90.00%
2024年6月,当阳市,53.30%
2024年6月,当阳市,53.30%
2024年6月,枝江市,83.30%
2024年6月,枝江市,83.30%
2024年6月,枝江市,83.30%
2024年6月,兴山县,90.00%
2024年6月,长阳县,100.00%
2024年6月,宜都市,100.00%
2024年6月,夷陵区,100.00%
2024年6月,远安县,100.00%
2024年6月,宜都市,100.00%
2024年6月,夷陵区,90.00%
2024年6月,夷陵区,90.00%
2024年6月,五峰县,100.00%
2024年6月,五峰县,86.70%
2024年6月,五峰县,86.70%
2024年6月,五峰县,86.70%
2024年6月,秭归县,100.00%
2024年7月,宜昌市,45.20%
2024年7月,宜都市,100.00%
2024年7月,枝江市,100.00%
2024年7月,远安县,54.80%
2024年7月,远安县,54.80%
2024年7月,远安县,54.80%
2024年7月,当阳市,61.30%
2024年7月,当阳市,61.30%
2024年7月,枝江市,29.00%
2024年7月,枝江市,29.00%
2024年7月,枝江市,29.00%
2024年7月,兴山县,80.60%
2024年7月,兴山县,80.60%
2024年7月,长阳县,100.00%
2024年7月,宜都市,38.70%
2024年7月,夷陵区,93.30%
2024年7月,夷陵区,93.30%
2024年7月,远安县,77.40%
2024年7月,远安县,77.40%
2024年7月,宜都市,100.00%
2024年7月,夷陵区,100.00%
2024年7月,五峰县,96.80%
2024年7月,五峰县,96.80%
2024年7月,秭归县,100.00%
2024年8月,宜昌市,61.30%
2024年8月,宜都市,100.00%
2024年8月,枝江市,100.00%
2024年8月,远安县,90.30%
2024年8月,远安县,90.30%
2024年8月,远安县,90.30%
2024年8月,当阳市,45.20%
2024年8月,当阳市,45.20%
2024年8月,枝江市,58.10%
2024年8月,枝江市,58.10%
2024年8月,枝江市,58.10%
2024年8月,兴山县,96.80%
2024年8月,长阳县,100.00%
2024年8月,宜都市,19.40%
2024年8月,夷陵区,100.00%
2024年8月,远安县,100.00%
2024年8月,宜都市,83.90%
2024年8月,夷陵区,96.70%
2024年8月,五峰县,100.00%
2024年8月,五峰县,100.00%
2024年8月,秭归县,100.00%
2024年9月,宜昌市,100.00%
2024年9月,宜都市,100.00%
2024年9月,枝江市,100.00%
2024年9月,远安县,100.00%
2024年9月,当阳市,100.00%
2024年9月,枝江市,53.30%
2024年9月,枝江市,53.30%
2024年9月,枝江市,53.30%
2024年9月,兴山县,30.00%
2024年9月,长阳县,100.00%
2024年9月,宜都市,6.70%
2024年9月,夷陵区,--
2024年9月,远安县,83.30%
2024年9月,宜都市,70.00%
2024年9月,夷陵区,96.70%
2024年9月,五峰县,100.00%
2024年9月,五峰县,100.00%
2024年9月,秭归县,100.00%
2024年10月,宜昌市,100%
2024年10月,宜都市,100%
2024年10月,枝江市,100%
2024年10月,远安县,77.4%
2024年10月,当阳市,100%
2024年10月,枝江市,90.3%
2024年10月,兴山县,41.9%
2024年10月,长阳县,61.3%
2024年10月,宜都市,58.1%
2024年10月,夷陵区,100%
2024年10月,远安县,100%
2024年10月,宜都市,80.6%
2024年10月,夷陵区,93.5%
2024年10月,五峰县,100%
2024年10月,五峰县,61.3%
2024年10月,五峰县,61.3%
2024年10月,秭归县,100%
2024年11月,宜昌市,100%
2024年11月,宜都市,100%
2024年11月,枝江市,100%
2024年11月,远安县,100%
2024年11月,当阳市,100%
2024年11月,枝江市,100%
2024年11月,兴山县,100%
2024年11月,长阳县,43.3%
2024年11月,宜都市,66.7%
2024年11月,夷陵区,100%
2024年11月,远安县,100%
2024年11月,宜都市,100%
2024年11月,夷陵区,100%
2024年11月,五峰县,96.7%
2024年11月,五峰县,76.7%
2024年11月,五峰县,76.7%
2024年11月,五峰县,76.7%
2024年11月,秭归县,100%
2024年12月,宜昌市,100%
2024年12月,宜都市,100%
2024年12月,枝江市,100%
2024年12月,远安县,100%
2024年12月,当阳市,100%
2024年12月,枝江市,100%
2024年12月,兴山县,100%
2024年12月,长阳县,96.8%
2024年12月,宜都市,100%
2024年12月,夷陵区,100%
2024年12月,远安县,100%
2024年12月,宜都市,100%
2024年12月,夷陵区,93.5%
2024年12月,五峰县,100%
2024年12月,五峰县,64.5%
2024年12月,五峰县,64.5%
2024年12月,秭归县,100%
2025年1月,宜昌市,100.00%
2025年1月,宜都市,100.00%
2025年1月,枝江市,100.00%
2025年1月,远安县,93.50%
2025年1月,当阳市,96.80%
2025年1月,枝江市,80.60%
2025年1月,兴山县,100.00%
2025年1月,长阳县,100.00%
2025年1月,宜都市,100.00%
2025年1月,夷陵区,100.00%
2025年1月,远安县,100.00%
2025年1月,宜都市,100.00%
2025年1月,夷陵区,100.00%
2025年1月,五峰县,100.00%
2025年1月,五峰县,35.50%
2025年1月,五峰县,35.50%
2025年1月,五峰县,35.50%
2025年1月,秭归县,100.00%
2025年2月,宜昌市,100.00%
2025年2月,宜都市,100.00%
2025年2月,枝江市,100.00%
2025年2月,远安县,100.00%
2025年2月,当阳市,100.00%
2025年2月,枝江市,71.40%
2025年2月,兴山县,100.00%
2025年2月,长阳县,100.00%
2025年2月,宜都市,100.00%
2025年2月,夷陵区,100.00%
2025年2月,远安县,100.00%
2025年2月,宜都市,100.00%
2025年2月,夷陵区,100.00%
2025年2月,五峰县,100.00%
2025年2月,五峰县,75.00%
2025年2月,五峰县,75.00%
2025年2月,秭归县,100.00%
2025年3月,宜昌市,100.00%
2025年3月,宜都市,100.00%
2025年3月,枝江市,100.00%
2025年3月,远安县,96.80%
2025年3月,当阳市,100.00%
2025年3月,枝江市,96.80%
2025年3月,兴山县,100.00%
2025年3月,长阳县,100.00%
2025年3月,宜都市,100.00%
2025年3月,夷陵区,100.00%
2025年3月,远安县,100.00%
2025年3月,宜都市,100.00%
2025年3月,夷陵区,100.00%
2025年3月,五峰县,100.00%
2025年3月,五峰县,87.10%
2025年3月,五峰县,87.10%
2025年3月,五峰县,87.10%
2025年3月,秭归县,100.00%
2025年4月,宜昌市,100.00%
2025年4月,宜都市,100.00%
2025年4月,枝江市,100.00%
2025年4月,远安县,83.30%
2025年4月,远安县,83.30%
2025年4月,当阳市,80.00%
2025年4月,当阳市,80.00%
2025年4月,当阳市,80.00%
2025年4月,当阳市,80.00%
2025年4月,枝江市,46.70%
2025年4月,枝江市,46.70%
2025年4月,兴山县,56.70%
2025年4月,长阳县,100.00%
2025年4月,宜都市,100.00%
2025年4月,夷陵区,100.00%
2025年4月,远安县,100.00%
