县市区,时间,年用水量
五峰土家族自治县,2023年,0.3887
五峰土家族自治县,2024年,0.4009
五峰士家族自治县,2015年,0.4002
五峰士家族自治县,2016年,0.3995
五峰士家族自治县,2017年,0.5019
五峰士家族自治县,2018年,0.4095
五峰士家族自治县,2019年,0.4271
五峰士家族自治县,2020年,0.257
五峰士家族自治县,2021年,0.6016
五峰士家族自治县,2022年,0.4884
伍家岗区,2015年,0.4698
伍家岗区,2016年,0.4447
伍家岗区,2017年,0.417
伍家岗区,2018年,0.413
伍家岗区,2019年,0.4558
伍家岗区,2020年,0.5406
伍家岗区,2021年,0.6045
伍家岗区,2022年,0.5559
伍家岗区,2023年,0.53
伍家岗区,2024年,0.5419
全市,2015年,16.6068
全市,2016年,16.4565
全市,2017年,15.7774
全市,2018年,16.3915
全市,2019年,16.0584
全市,2020年,14.9091
全市,2021年,21.1677
全市,2022年,23.6708
全市,2023年,21.7802
全市,2024年,22.9674
兴山县,2015年,0.6361
兴山县,2016年,0.6558
兴山县,2017年,0.9509
兴山县,2018年,0.7337
兴山县,2019年,0.6872
兴山县,2020年,0.5376
兴山县,2021年,1.2723
兴山县,2022年,1.2743
兴山县,2023年,0.9484
兴山县,2024年,0.9931
夷陵区,2015年,1.9453
夷陵区,2016年,2.1035
夷陵区,2017年,1.9337
夷陵区,2018年,1.8111
夷陵区,2019年,1.8383
夷陵区,2020年,2.3089
夷陵区,2021年,2.3843
夷陵区,2022年,5.042
夷陵区,2023年,4.4121
夷陵区,2024年,4.8402
宜都市,2015年,1.9369
宜都市,2016年,1.9947
宜都市,2017年,2.1704
宜都市,2018年,2.1585
宜都市,2019年,1.9337
宜都市,2020年,1.6765
宜都市,2021年,2.8079
宜都市,2022年,2.7752
宜都市,2023年,2.5836
宜都市,2024年,2.9066
当阳市,2015年,3.1004
当阳市,2016年,2.96
当阳市,2017年,2.4743
当阳市,2018年,2.7708
当阳市,2019年,2.871
当阳市,2020年,2.6363
当阳市,2021年,3.8129
当阳市,2022年,3.5057
当阳市,2023年,3.401
当阳市,2024年,3.4437
枝江市,2015年,2.8053
枝江市,2016年,2.8017
枝江市,2017年,3.1305
枝江市,2018年,4.0178
枝江市,2019年,3.2942
枝江市,2020年,2.7428
枝江市,2021年,4.0038
枝江市,2022年,3.9669
枝江市,2023年,3.9211
枝江市,2024年,4.3852
点军区,2015年,0.3385
点军区,2016年,0.302
点军区,2017年,0.2159
点军区,2018年,0.227
点军区,2019年,0.1791
点军区,2020年,0.2528
点军区,2021年,0.4974
点军区,2022年,0.5522
点军区,2023年,0.412
点军区,2024年,0.43
猇亭区,2015年,1.3996
猇亭区,2016年,1.361
猇亭区,2017年,1.1036
猇亭区,2018年,0.931
猇亭区,2019年,0.9889
猇亭区,2020年,1.0913
猇亭区,2021年,0.641
猇亭区,2022年,0.6161
猇亭区,2023年,0.7427
猇亭区,2024年,0.6057
秭归县,2015年,0.8374
秭归县,2016年,0.8009
秭归县,2017年,0.5962
秭归县,2018年,0.6355
秭归县,2019年,0.615
秭归县,2020年,0.6036
秭归县,2021年,1.1774
秭归县,2022年,0.9915
秭归县,2023年,0.9243
秭归县,2024年,0.942
西陵区,2015年,0.8103
西陵区,2016年,0.7409
西陵区,2017年,0.6507
西陵区,2018年,0.6432
西陵区,2019年,0.7028
西陵区,2020年,0.679
西陵区,2021年,0.7826
西陵区,2022年,1.0869
西陵区,2023年,1.0585
西陵区,2024年,1.0236
远安县,2015年,1.273
远安县,2016年,1.2663
远安县,2017年,1.0059
远安县,2018年,1.0286
远安县,2019年,1.3606
远安县,2020年,1.0163
远安县,2021年,1.3696
远安县,2022年,1.6162
远安县,2023年,1.574
远安县,2024年,1.4525
长阳土家族自治县,2023年,0.8838
长阳土家族自治县,2024年,1.002
长阳士家族自治县,2015年,0.654
长阳士家族自治县,2016年,0.6255
长阳士家族自治县,2017年,0.6264
长阳士家族自治县,2018年,0.6118
长阳士家族自治县,2019年,0.7047
长阳士家族自治县,2020年,0.5664
长阳士家族自治县,2021年,1.2124
长阳士家族自治县,2022年,1.1995
