,xsq,sj,zhzs,zdzs
0,*伍家岗区,2023-11,3.78,1.14
1,*伍家岗区,2023-12,5.0,2.06
2,*伍家岗区,2024-01,4.255,1.59
3,*伍家岗区,2024-02,3.79,1.46
4,*伍家岗区,2024-03,4.56,1.54
5,*伍家岗区,2024-04,3.41,0.91
6,*伍家岗区,2024-05,3.55,1.11
7,*伍家岗区,2024-06,2.94,1.02
8,*伍家岗区,2024-07,1.87,0.68
9,*伍家岗区,2024-08,2.4,0.95
10,*伍家岗区,2024-09,3.23,1.13
11,*伍家岗区,2024-12,4.88,1.91
12,*伍家岗区,2025-01,6.39,2.69
13,*伍家岗区,2025-02,4.28,1.57
14,*伍家岗区,2025-03,3.98,1.17
15,*伍家岗区,2025-04,4.06,1.03
16,*伍家岗区,2025-05,3.58,0.89
17,*伍家岗区,2025-06,2.55,0.94
18,*伍家岗区,2025-07,2.18,0.83
19,*伍家岗区,2025-08,2.15,0.81
20,*夷陵区,2023-11,3.4,0.97
21,*夷陵区,2023-12,4.99,1.91
22,*夷陵区,2024-01,4.135,1.525
23,*夷陵区,2024-02,3.91,1.49
24,*夷陵区,2024-03,4.32,1.43
25,*夷陵区,2024-04,3.17,0.98
26,*夷陵区,2024-05,3.42,1.16
27,*夷陵区,2024-06,2.83,1.06
28,*夷陵区,2024-07,1.97,0.78
29,*夷陵区,2024-08,2.21,0.96
30,*夷陵区,2024-09,2.97,1.1
31,*夷陵区,2024-12,4.89,1.8
32,*夷陵区,2025-01,6.08,2.46
33,*夷陵区,2025-02,4.25,1.57
34,*夷陵区,2025-03,3.77,1.06
35,*夷陵区,2025-04,3.42,0.94
36,*夷陵区,2025-05,3.06,0.96
37,*夷陵区,2025-06,2.15,0.94
38,*夷陵区,2025-07,1.93,0.89
39,*夷陵区,2025-08,1.94,0.82
40,*点军区,2023-11,3.34,1.06
41,*点军区,2023-12,4.69,1.91
42,*点军区,2024-01,3.89,1.51
43,*点军区,2024-02,3.57,1.43
44,*点军区,2024-03,4.36,1.43
45,*点军区,2024-04,3.07,0.94
46,*点军区,2024-05,3.39,1.11
47,*点军区,2024-06,2.85,1.08
48,*点军区,2024-07,1.99,0.81
49,*点军区,2024-08,2.41,0.95
50,*点军区,2024-09,3.14,1.16
51,*点军区,2024-12,4.76,1.77
52,*点军区,2025-01,6.09,2.57
53,*点军区,2025-02,3.9,1.43
54,*点军区,2025-03,3.34,0.91
55,*点军区,2025-04,3.45,0.94
56,*点军区,2025-05,3.08,0.89
57,*点军区,2025-06,2.36,0.97
58,*点军区,2025-07,2.03,0.9
59,*点军区,2025-08,2.09,0.97
60,*猇亭区,2023-11,3.7,0.91
61,*猇亭区,2023-12,4.6,1.57
62,*猇亭区,2024-01,4.295,1.4249999999999998
63,*猇亭区,2024-02,3.66,1.26
64,*猇亭区,2024-03,4.62,1.46
65,*猇亭区,2024-04,3.52,0.87
66,*猇亭区,2024-05,3.58,1.06
67,*猇亭区,2024-06,2.97,0.97
68,*猇亭区,2024-07,2.17,0.76
69,*猇亭区,2024-08,2.68,0.98
70,*猇亭区,2024-09,3.39,1.17
71,*猇亭区,2024-12,4.7,1.66
72,*猇亭区,2025-01,5.82,2.26
73,*猇亭区,2025-02,4.12,1.51
74,*猇亭区,2025-03,3.87,1.2
75,*猇亭区,2025-04,3.81,0.97
76,*猇亭区,2025-05,3.4,0.95
77,*猇亭区,2025-06,2.37,0.92
78,*猇亭区,2025-07,2.09,0.89
79,*猇亭区,2025-08,2.05,0.74
80,*西陵区,2023-11,3.56,1.03
81,*西陵区,2023-12,4.87,1.94
82,*西陵区,2024-01,4.109999999999999,1.465
83,*西陵区,2024-02,3.7,1.4
84,*西陵区,2024-03,4.43,1.49
85,*西陵区,2024-04,3.29,0.86
86,*西陵区,2024-05,3.29,1.06
87,*西陵区,2024-06,2.87,1.04
88,*西陵区,2024-07,2.06,0.74
89,*西陵区,2024-08,2.53,0.94
90,*西陵区,2024-09,3.12,1.04
91,*西陵区,2024-12,4.67,1.8
92,*西陵区,2025-01,5.86,2.43
93,*西陵区,2025-02,4.08,1.57
94,*西陵区,2025-03,3.57,1.06
95,*西陵区,2025-04,3.54,0.92
96,*西陵区,2025-05,3.21,0.98
97,*西陵区,2025-06,2.22,0.94
98,*西陵区,2025-07,1.93,0.89
99,*西陵区,2025-08,2.05,0.89
100,*高新区,2023-11,3.74,1.11
101,*高新区,2023-12,5.43,2.23
102,*高新区,2024-01,4.4,1.635
103,*高新区,2024-02,3.9,1.57
104,*高新区,2024-03,4.6,1.6
105,*高新区,2024-04,3.33,0.99
106,*高新区,2024-05,3.54,1.2
107,*高新区,2024-06,3.05,1.14
108,*高新区,2024-07,2.11,0.75
109,*高新区,2024-08,2.62,1.02
110,*高新区,2024-09,3.34,1.2
111,*高新区,2024-12,5.53,2.11
112,*高新区,2025-01,6.78,2.77
113,*高新区,2025-02,4.69,1.8
114,*高新区,2025-03,3.85,1.11
115,*高新区,2025-04,3.76,0.97
116,*高新区,2025-05,3.45,1.08
117,*高新区,2025-06,2.69,0.99
118,*高新区,2025-07,2.31,0.92
119,*高新区,2025-08,2.36,0.94
120,五峰县,2023-01,1.94,0.68
121,五峰县,2023-04,2.61,0.83
122,五峰县,2023-05,2.16,0.73
123,五峰县,2023-06,1.96,0.76
124,五峰县,2023-07,1.72,0.68
125,五峰县,2023-08,2.0,0.78
126,五峰县,2023-09,1.76,0.78
127,五峰县,2023-11,2.57,0.66
128,五峰县,2023-12,3.47,1.17
129,五峰县,2024-01,2.71,0.925
130,五峰县,2024-02,2.74,0.86
131,五峰县,2024-03,3.03,0.83
132,五峰县,2024-04,2.08,0.75
133,五峰县,2024-05,2.25,0.89
134,五峰县,2024-06,1.91,0.78
135,五峰县,2024-07,1.33,0.48
136,五峰县,2024-08,1.7,0.68
137,五峰县,2024-09,2.19,0.88
138,五峰县,2024-11,2.41,0.68
139,五峰县,2024-12,3.84,1.43
140,五峰县,2025-01,4.12,1.57
141,五峰县,2025-02,3.01,0.97
142,五峰县,2025-03,2.73,0.71
143,五峰县,2025-04,2.62,0.8
144,五峰县,2025-05,2.33,0.81
145,五峰县,2025-06,1.81,0.85
146,五峰县,2025-07,1.53,0.65
147,五峰县,2025-08,1.48,0.63
148,五峰土家族自治县,2021-01,3.335,1.16
149,五峰土家族自治县,2021-02,3.19,1.11
150,五峰土家族自治县,2021-03,2.55,0.63
151,五峰土家族自治县,2021-04,2.09,0.62
152,五峰土家族自治县,2021-05,2.21,0.66
153,五峰土家族自治县,2021-06,2.14,0.84
154,五峰土家族自治县,2021-07,1.84,0.61
155,五峰土家族自治县,2021-08,1.86,0.86
156,五峰土家族自治县,2021-09,1.9,0.72
157,五峰土家族自治县,2021-11,2.89,0.91
158,五峰土家族自治县,2021-12,3.88,1.4
159,五峰土家族自治县,2022-01,2.815,0.99
160,五峰土家族自治县,2022-02,3.07,1.0
161,五峰土家族自治县,2022-03,2.76,0.74
162,五峰土家族自治县,2022-04,2.26,0.86
163,五峰土家族自治县,2022-05,2.04,0.77
164,五峰土家族自治县,2022-06,1.89,0.73
165,五峰土家族自治县,2022-07,1.59,0.65
166,五峰土家族自治县,2022-08,1.62,0.69
167,五峰土家族自治县,2022-09,2.26,0.83
168,五峰土家族自治县,2022-11,2.62,0.77
169,五峰土家族自治县,2022-12,4.12,1.49
170,五峰土家族自治县,2023-01,4.28,1.71
171,五峰土家族自治县,2023-02,3.77,1.31
172,五峰土家族自治县,2023-03,2.89,0.79
173,伍家岗区,2021-01,4.52,1.59
174,伍家岗区,2021-02,4.3,1.6
175,伍家岗区,2021-03,3.95,1.26
176,伍家岗区,2021-04,3.43,0.89
177,伍家岗区,2021-05,3.7,0.94
178,伍家岗区,2021-06,3.2,1.06
179,伍家岗区,2021-07,2.27,0.8
180,伍家岗区,2021-08,2.56,0.76
181,伍家岗区,2021-09,2.97,0.92
182,伍家岗区,2021-11,4.0,1.23
183,伍家岗区,2021-12,5.66,2.37
184,伍家岗区,2022-01,4.625,1.925
185,伍家岗区,2022-02,4.34,1.74
186,伍家岗区,2022-03,3.65,0.94
187,伍家岗区,2022-04,3.31,0.9
188,伍家岗区,2022-05,3.45,0.96
189,伍家岗区,2022-06,2.98,1.01
190,伍家岗区,2022-07,2.6,0.89
191,伍家岗区,2022-08,2.74,0.92
192,伍家岗区,2022-09,3.41,0.98
193,伍家岗区,2022-11,4.2,1.31
194,伍家岗区,2022-12,5.62,2.14
195,伍家岗区,2023-01,5.04,1.89
196,伍家岗区,2023-02,5.75,2.29
197,伍家岗区,2023-03,4.49,1.2
198,伍家岗区,2023-04,3.8,0.92
199,伍家岗区,2023-05,3.32,0.91
200,伍家岗区,2023-06,2.79,0.99
201,伍家岗区,2023-07,2.47,0.92
202,伍家岗区,2023-08,2.74,0.96
203,伍家岗区,2023-09,2.52,0.94
204,伍家岗区,2024-11,3.8,1.09
205,兴山县,2021-01,3.325,1.115
206,兴山县,2021-02,3.08,1.0
207,兴山县,2021-03,2.87,0.69
208,兴山县,2021-04,2.5,0.65
209,兴山县,2021-05,2.67,0.74
210,兴山县,2021-06,2.26,0.81
211,兴山县,2021-07,1.85,0.61
212,兴山县,2021-08,2.03,0.64
213,兴山县,2021-09,2.17,0.71
214,兴山县,2021-11,2.55,0.71
215,兴山县,2021-12,3.48,1.17
216,兴山县,2022-01,2.79,1.01
217,兴山县,2022-02,2.99,1.06
218,兴山县,2022-03,2.83,0.8
219,兴山县,2022-04,2.26,0.78
220,兴山县,2022-05,2.24,0.85
221,兴山县,2022-06,1.89,0.87
222,兴山县,2022-07,1.69,0.76
223,兴山县,2022-08,1.78,0.76
224,兴山县,2022-09,2.2,0.84
225,兴山县,2022-11,2.72,0.77
226,兴山县,2022-12,3.76,1.4
227,兴山县,2023-01,3.13,1.145
228,兴山县,2023-02,3.87,1.49
229,兴山县,2023-03,2.7,0.77
230,兴山县,2023-04,2.54,0.86
231,兴山县,2023-05,2.16,0.72
232,兴山县,2023-06,2.11,0.85
233,兴山县,2023-07,1.73,0.7
234,兴山县,2023-08,1.87,0.79
235,兴山县,2023-09,1.8,0.74
236,兴山县,2023-11,2.27,0.66
237,兴山县,2023-12,3.27,1.23
238,兴山县,2024-01,2.6950000000000003,0.975
239,兴山县,2024-02,2.49,0.89
240,兴山县,2024-03,2.92,0.86
241,兴山县,2024-04,2.48,0.79
242,兴山县,2024-05,2.3,0.86
243,兴山县,2024-06,2.1,0.82
244,兴山县,2024-07,1.58,0.63
245,兴山县,2024-08,1.98,0.74
246,兴山县,2024-09,2.3,0.88
247,兴山县,2024-11,2.24,0.6
248,兴山县,2024-12,3.33,1.2
249,兴山县,2025-01,3.62,1.37
250,兴山县,2025-02,2.81,0.94
251,兴山县,2025-03,2.56,0.71
252,兴山县,2025-04,2.82,0.79
253,兴山县,2025-05,2.63,0.92
254,兴山县,2025-06,1.94,0.93
255,兴山县,2025-07,1.61,0.79
256,兴山县,2025-08,1.55,0.7
257,夷陵区,2021-01,4.7299999999999995,1.675
258,夷陵区,2021-02,4.43,1.66
259,夷陵区,2021-03,4.16,1.24
260,夷陵区,2021-04,3.34,0.86
261,夷陵区,2021-05,3.67,0.94
262,夷陵区,2021-06,3.12,1.1
263,夷陵区,2021-07,2.3,0.82
264,夷陵区,2021-08,2.43,0.83
265,夷陵区,2021-09,2.72,0.93
266,夷陵区,2021-11,3.84,1.17
267,夷陵区,2021-12,5.33,2.14
268,夷陵区,2022-01,4.52,1.92
269,夷陵区,2022-02,4.17,1.69
270,夷陵区,2022-03,3.45,0.89
271,夷陵区,2022-04,2.97,0.93
272,夷陵区,2022-05,3.1,1.05
273,夷陵区,2022-06,2.78,1.12
274,夷陵区,2022-07,2.2,0.89
275,夷陵区,2022-08,2.39,0.92
276,夷陵区,2022-09,3.09,1.01
277,夷陵区,2022-11,3.86,1.17
278,夷陵区,2022-12,5.24,2.06
279,夷陵区,2023-01,4.645,1.835
280,夷陵区,2023-02,5.26,2.23
281,夷陵区,2023-03,3.91,1.09
282,夷陵区,2023-04,3.32,0.92
283,夷陵区,2023-05,2.93,0.93
284,夷陵区,2023-06,2.52,0.99
285,夷陵区,2023-07,2.08,0.89
286,夷陵区,2023-08,2.5,0.99
287,夷陵区,2023-09,2.47,0.92
288,夷陵区,2024-11,3.58,1.06
289,宜都市,2021-01,4.12,1.455
290,宜都市,2021-02,4.29,1.54
291,宜都市,2021-03,4.03,1.2
292,宜都市,2021-04,3.25,0.86
293,宜都市,2021-05,3.67,0.97
294,宜都市,2021-06,2.94,0.96
295,宜都市,2021-07,2.14,0.8
296,宜都市,2021-08,2.3,0.81
297,宜都市,2021-09,2.95,1.04
298,宜都市,2021-11,3.03,0.91
299,宜都市,2021-12,4.05,1.49
300,宜都市,2022-01,3.75,1.3900000000000001
301,宜都市,2022-02,3.84,1.4
302,宜都市,2022-03,3.56,1.17
303,宜都市,2022-04,3.05,0.91
304,宜都市,2022-05,3.09,0.94
305,宜都市,2022-06,2.69,0.94
306,宜都市,2022-07,2.26,0.68
307,宜都市,2022-08,2.54,0.86
308,宜都市,2022-09,3.38,1.09
309,宜都市,2022-11,3.97,1.34
310,宜都市,2022-12,4.89,1.91
311,宜都市,2023-01,4.67,1.815
312,宜都市,2023-02,5.43,2.26
313,宜都市,2023-03,4.13,1.34
314,宜都市,2023-04,3.25,0.94
315,宜都市,2023-05,2.9,0.89
316,宜都市,2023-06,2.4,1.0
317,宜都市,2023-07,2.13,0.79
318,宜都市,2023-08,2.69,0.99
319,宜都市,2023-09,2.62,0.93
320,宜都市,2023-11,3.74,1.29
321,宜都市,2023-12,4.81,1.91
322,宜都市,2024-01,4.14,1.555
323,宜都市,2024-02,3.56,1.34
324,宜都市,2024-03,4.17,1.37
325,宜都市,2024-04,3.07,0.91
326,宜都市,2024-05,3.18,1.05
327,宜都市,2024-06,2.81,1.02
328,宜都市,2024-07,1.82,0.69
329,宜都市,2024-08,2.35,0.9
330,宜都市,2024-09,3.09,1.09
331,宜都市,2024-11,3.65,1.31
332,宜都市,2024-12,4.82,1.97
333,宜都市,2025-01,6.09,2.63
