xh,xsq,jgmc,dz,cws,xfst,kfll,rjzl,smfw,qt,jgsx,lxdh,hyzgbm,jddh,gfwx
1,宜都市,红花套镇红花套社区居家养老服务中心,宜都市-红花套镇-红花套社区,15,1,1,1,1,,街道（乡镇）,13607201928,宜都市民政局,0717-4830735,
2,宜都市,高坝洲镇中光社区居家养老服务中心,宜都市-高坝洲镇-中光社区,15,0,1,1,1,,街道（乡镇）,13972583670,宜都市民政局,0717-4830735,
3,宜都市,高坝洲镇高坝洲社区居家养老服务站,宜都市-高坝洲镇-高坝洲社区,6,0,1,1,1,,社区,18986766233,宜都市民政局,0717-4830735,
4,宜都市,姚家店镇姚家店社区居家养老服务站,宜都市-姚家店镇-姚家店社区,10,1,1,1,0,,社区,15507209099,宜都市民政局,0717-4830735,
5,宜都市,姚家店镇莲花堰社区居家养老服务站,宜都市-姚家店镇-莲花堰社区,6,0,0,1,0,,社区,15071765406,宜都市民政局,0717-4830735,
6,宜都市,姚家店镇红湖社区居家养老服务站,宜都市-姚家店镇-红湖社区,9,1,0,0,0,,社区,15972072527,宜都市民政局,0717-4830735,
7,宜都市,聂家河镇聂家河社区居家养老服务站,宜都市-聂家河镇-聂家河社区,6,0,0,0,0,,社区,13872462946,宜都市民政局,0717-4830735,
8,宜都市,潘家湾土家族乡潘家湾社区居家养老服务站,宜都市-潘家湾乡-潘家湾社区,5,0,0,0,0,,社区,18671720845,宜都市民政局,0717-4830735,
9,宜都市,王家畈镇王家畈社区居家养老服务站,宜都市-王家畈镇-王家畈社区,7,0,0,1,0,,社区,13995664663,宜都市民政局,0717-4830735,
10,宜都市,王家畈镇毛湖淌社区居家养老服务站,宜都市-王家畈镇-毛湖淌社区,5,1,0,1,0,,社区,15872506359,宜都市民政局,0717-4830735,
11,宜都市,王家畈镇全福河社区居家养老服务站,宜都市-王家畈镇-全福河社区,5,1,1,1,0,,社区,13487255195,宜都市民政局,0717-4830735,
12,宜都市,松木坪镇松木坪社区居家养老服务站,宜都市-松木坪镇-松木坪社区,5,0,0,1,0,,社区,18972561078,宜都市民政局,0717-4830735,
13,宜都市,枝城镇大同社区居家养老服务中心,宜都市-枝城镇-大同社区,13,0,0,1,0,,街道（乡镇）,13972563742,宜都市民政局,0717-4830735,
14,宜都市,枝城镇解放路社区居家养老服务站,宜都市-枝城镇-解放路社区,12,1,1,1,0,,社区,15717201400,宜都市民政局,0717-4830735,
15,宜都市,枝城镇洋溪社区居家养老服务站,宜都市-枝城镇-洋溪社区,6,0,0,0,1,,社区,13872581200,宜都市民政局,0717-4830735,
16,宜都市,枝城镇西湖社区居家养老服务站,宜都市-枝城镇-西湖社区,7,0,0,0,0,,社区,15897517938,宜都市民政局,0717-4830735,
17,宜都市,陆城街道解放社区居家养老服务中心,宜都市-陆城街道-解放社区,30,1,0,1,0,,街道（乡镇）,15272182796,宜都市民政局,0717-4830735,
18,宜都市,陆城街道东风社区居家养老服务站,宜都市-陆城街道-东风社区,7,0,0,1,0,,社区,139 7204 4892,宜都市民政局,0717-4830735,
19,宜都市,陆城街道头笔社区居家养老服务站,宜都市-陆城街道-头笔社区,5,0,0,0,0,,社区,15272140535,宜都市民政局,0717-4830735,
20,宜都市,陆城街道名都社区居家养老服务站,宜都市-陆城街道-名都社区,5,0,0,0,0,,社区,15897574834,宜都市民政局,0717-4830735,
21,宜都市,陆城街道胜利社区居家养老服务站,宜都市-陆城街道-胜利社区,6,1,0,1,1,,社区,18972018181,宜都市民政局,0717-4830735,
22,宜都市,陆城街道八字桥社区居家养老服务站,宜都市-陆城街道-八字桥社区,7,0,0,0,0,,社区,15897504576,宜都市民政局,0717-4830735,
23,宜都市,陆城街道养老服务综合体,宜都市-陆城街道-清江社区,13,1,0,1,0,,街道（乡镇）,15871565939,宜都市民政局,0717-4830735,
24,宜都市,陆城街道中笔社区居家养老服务站,宜都市-陆城街道-中笔社区,5,0,0,1,1,,社区,15997648278,宜都市民政局,0717-4830735,
25,宜都市,陆城街道锦江社区居家养老服务中心,宜都市-陆城街道-锦江社区,10,1,1,3,0,,社区,18186799963,宜都市民政局,0717-4830735,
26,宜都市,陆城街道红春社区居家养老服务站,宜都市-陆城街道-红春社区,5,1,1,1,0,,社区,15972693337,宜都市民政局,0717-4830735,
27,宜都市,陆城街道三江社区居家养老服务站,宜都市-陆城街道-三江社区,7,0,0,1,1,,社区,15272167547,宜都市民政局,0717-4830735,
28,宜都市,松宜矿区坛子口社区居家养老服务站,宜都市-松宜矿区-坛子口社区,5,0,0,0,0,,社区,18608609593,宜都市民政局,0717-4830735,
29,宜都市,松宜矿区城坡垴社区居家养老服务站,宜都市-松宜矿区-城坡垴社区,5,0,0,0,0,,社区,13469831771,宜都市民政局,0717-4830735,
