xh,bgdd,bgsj,bgckdz,fzr,bz
1,直属营业部,09：00-12：00 13：00—17:00,西陵区体育场路46号宜昌市民之家2楼　,王艳,/
2,城区稽查管理部,09：00-12：00 13：00—17:00,宜昌市沿江大道218号（江山多娇）-6-1,张培捷,/
3,夷陵营业部,8:30-12:00 14:30-17:30,1、夷陵区平云一路56号宜昌住房公积金中心夷陵营业部,刘有纯,/
4,夷陵营业部,8:30-12:00 14:00-17:00,2、夷陵区发展大道发展大道111号夷陵国际（区政务服务中心二楼公积金窗口）,刘有纯,/
5,宜都营业部,08:30-12:00 13:30-17:00/08:30-12:00 14:00-17:30(夏时制）,1、宜都市五宜大道99号（宜都市政务服务中心1楼住房公积金窗口）,廖云鹏,/
6,宜都营业部,08:30-12:00；14：00-17:30,2、宜都市陆城园林大道11号（宜昌住房公积金中心宜都营业部）,廖云鹏,/
7,枝江营业部,08：30-12：00；14：00—17:30（夏时制）/8:30-12:00；13:30-17:00（冬时制）,枝江市仙女大道190号 （枝江市政务服务中心3楼A区82-86号窗口）,杨旭,/
8,当阳营业部,8：30-12：00；14：00-17：30,当阳市雄风路91号市民之家(二楼225、226窗口),冯杰,/
9,远安营业部,08:30-12:00；14：00-17:30/08：30-12：00；14：30—18:00（夏时制）,远安县鸣凤镇凤仪路1号（远安县政务服务中心 一楼公积金窗口),杨宏伟,/
10,兴山营业部,08:00-12:00；14:30-17:30/08:00-12:00；15:00-18:00（夏时制）,兴山县古夫镇昭君路13号 市民之家二楼公积金窗口,黄勇,/
11,秭归营业部,08:30-12:00;13:30-17:00,秭归县茅坪镇金缸城新区南郡大道12号（市民之家二楼公积金服务大厅）,周可,/
12,长阳营业部,08：30-12：00;14：00—17:30,长阳土家族自治县龙舟坪镇龙舟大道131号金色水岸一楼（宜昌住房公积金中心长阳营业部）,官成玖,/
13,长阳营业部,08：30-12：00;14：00—17:30,长阳土家族自治县龙舟坪镇龙舟大道7号(长阳县政务服务中心三楼公积金窗口),官成玖,/
14,五峰营业部,08:30-12:00;13:30-17:00,五峰土家族自治县渔洋关镇后河大道27号（五峰政务服务中心二楼公积金窗口）,褚东海,/
15,葛洲坝营业部,8:30—12：00;14：00—17:30,宜昌市西陵区夜明珠路1号（葛洲坝职工公共服务中心）一楼大厅,洪德文,/
16,三峡营业部,8:30-12:00;14:00-17:00,宜昌市西陵区建设路1号长电大楼一楼（宜昌住房公积金中心三峡营业部）,涂海军,/
17,公积金业务办理旗舰店（湖北银行）,8:30-12:00;14:00-17:00,宜昌市西陵区珍珠路109号（湖北银行宜昌分行）,马莹,/
18,公积金业务办理旗舰店（工商银行）,8：30-12：00;13：00-17：00,宜昌市沿江大道218号（工商银行伍家岗支行营业室）,陈悦,/
19,公积金业务办理旗舰店（农业银行）,8：30-12：00;14:00-17:00,宜昌西陵区城东大道21号泰富广场（中国农业银行三峡高新区科技支行）,邓博娅,/
