XH,QXS,XQM,DZ,CQDW,JCSJ,GM,TS,ZJBZ
11,市本级,七里新村,猇亭区七里冲路,宜昌市猇亭工业园投资开发有限公司,2015.1,50038.56㎡,1106,6元/㎡
7,市本级,上泽园,唐家湾路42号,宜昌市城市建设投资开发有限公司,2016.7,67442.75㎡,1068,10元/㎡
9,市本级,东锦苑,东站路197号,宜昌市房地产投资开发有限公司,2018.3,250116.39㎡,3816,8.5元/㎡
8,市本级,和塘悦舍,唐家湾路36号,宜昌市房地产投资开发有限公司,2017.12,135340.39㎡,1981,10元/㎡
10,市本级,桐岭新村,猇亭区金岭路100号,宜昌市猇亭工业园投资开发有限公司,2011.5,10800㎡,216,6元/㎡
6,市本级,民佳家园,西陵二路155号,宜昌市保障住房建设管理有限公司,2015.5,60275.45㎡,1153,9元/㎡
5,市本级,民安家园,中南路45号,宜昌市安置房建设有限公司,2014.12,44708.6㎡,832,9元/㎡
2,市本级,民惠小区,东山大道民惠路1号,宜昌市房地产投资开发有限公司,2008.11,4955.02㎡,96,9元/㎡
3,市本级,民欣家园,中南路10号,宜昌市房地产投资开发有限公司,2013.7,24180.22㎡,515,9元/㎡
1,市本级,民益家园,民益路1号,宜昌市房地产投资开发有限公司,2011.7,28971.17㎡,568,10元/㎡
4,市本级,龙盘馨苑,伍临路47号,宜昌市房地产投资开发有限公司,2017.4,972.9㎡,20,6元/㎡
