xh,gcmc,gcdz,ssqy
190, 二十七中公厕,江南大道二十七中旁,点军区
163,22公司菜市场公厕,望江社区22公司菜市场内,夷陵区
159,七星花园中转站公厕,发展大道141号,夷陵区
203,七里冲公厕,七里冲路停车场,猇亭区
124,万寿公园公厕,东山大道与亚栈路交汇处,伍家岗区
82,万寿桥公厕,夷陵路万寿桥中转站旁,伍家岗区
75,万石路公厕,朝阳路58号旁,西陵区
123,万臻路公厕,万臻路加油站旁,伍家岗区
37,三峡花苑,朝阳路96号,西陵区
17,三江桥,沿江大道33#三江桥旁,西陵区
97,三码头公厕,沿江大道三码头客运站旁,伍家岗区
93,上上城公厕,松林路上上城小区旁,伍家岗区
67,上岗路公厕,上岗路公厕,西陵区
102,上建筑公厕,工人新村32#,伍家岗区
31,上绿萝路,绿萝路65号对面,西陵区
1,上西坝,沿江大道上西坝景区内,西陵区
155,下坪中转站公厕,下坪村,夷陵区
101,下建筑公厕,工人新村10#,伍家岗区
30,下绿萝路,绿萝路加油站对面,西陵区
49,东山四路,东山四路,西陵区
61,东湖广场公厕,东湖广场,西陵区
109,东站一号公厕,火车东站站内,伍家岗区
81,东站二号公厕,火车东站大停车场旁,伍家岗区
118,东站公厕,宜昌火车东站出口右侧,伍家岗区
122,东艳路垃圾中转站公厕,东艳路垃圾中转站,伍家岗区
95,中南路公厕,中南路猴王集团对面,伍家岗区
6,中山路,中山路园筑小区一单元一楼,西陵区
114,中建之星公厕,中建宜昌之星A地块3#楼下,伍家岗区
153,中心十字街公厕,夷陵区政府旁,夷陵区
19,中现里,中现里9#对面,西陵区
196,临江大道公厕,红莲码头71号灯杆,猇亭区
33,二医院,西陵一路二医院内(单位自管）,西陵区
66,二十二中公厕,二十二中公厕,西陵区
168,二十二广场公厕,二十二广场,夷陵区
175,五龙八组公厕,原梅子溪八组,点军区
173,五龙大道付家湾公厕,五龙大道新建点军小学正对面,点军区
174,五龙路口红绿灯公厕,五龙路口红绿灯,点军区
201,亚元新村公厕,金猇路亚元新村入口处,猇亭区
88,亚栈路公厕,亚栈路杨岔路居委会旁,伍家岗区
108,交运三号公厕,交运集团靠近东山大道,伍家岗区
107,交运二号公厕,交运集团旁,伍家岗区
7,交通局,珍珠路交通局楼下,西陵区
90,休干所公厕,杨岔路小学旁,伍家岗区
149,体育场公厕,夷兴大道与康乐街交叉,夷陵区
26,储蓄所,珍珠路6#楼下储蓄所,西陵区
207,先锋路公厕,先锋路汽贸大世界二期附近,猇亭区
136,光明巷公厕,珠海路窑湾中学宿舍旁,高新区
135,八零九公厕,港窑路八零九市场内,高新区
144,兰台路移动公厕,兰台路十九中旁,西陵区
98,军供站公厕,东山大道军供站旁,伍家岗区
177,凯普松公厕,江南大道凯普松斜对面,点军区
209,列电路公厕,湖北省宜昌市西陵区列电路2号,西陵区
35,刘家大堰,刘家大堰,西陵区
138,半岛森林公园公厕,珠海路半岛森林公园内,西陵区
38,华祥,红星美凯龙对面,西陵区
9,南湖公园,南湖公园菜场内,西陵区
78,南湖公园新公厕,隆康路24号,西陵区
133,南都御景公厕,港窑路南都御景内,高新区
187,卷桥河湿地公厕,将军路,点军区
139,厦门路移动公厕,厦门路与青岛路交汇处,西陵区
213,双河路公厕,双河路与花溪路交界处,高新区
72,古佛寺公厕,珍珠路103号,西陵区
