jgmc,dz,jyxz
三峡大学附属仁和医院,,公立
五峰土家族自治县中医医院,,公立
五峰土家族自治县人民医院,,公立
五峰土家族自治县湾潭中心卫生院,,公立
兴山县中医医院,,公立
兴山县人民医院,,公立
兴山弘仁康复医院有限公司,,民营
国药葛洲坝中心医院,,公立
夷陵区三斗坪镇卫生院,,公立
夷陵区东城试验区社区卫生服务中心,,公立
夷陵区乐天溪卫生院,,公立
夷陵区太平溪镇中心卫生院,,公立
夷陵区樟村坪镇卫生院,,公立
夷陵区雾渡河镇中心卫生院,,公立
夷陵区鸦鹊岭镇中心卫生院,,公立
夷陵区龙泉镇卫生院,,公立
宜昌家和医院,,民营
宜昌市中医医院,,公立
宜昌市中心人民医院,,公立
宜昌市中心人民医院三峡坝区分院,,公立
宜昌市优抚医院,,公立
宜昌市城东社区卫生服务中心,,公立
宜昌市夷陵医院,,公立
宜昌市妇幼保健院,,公立
宜昌市第三人民医院,,公立
宜昌市第二人民医院,,公立
宜昌市第五人民医院,,公立
宜昌长航医院,,民营
宜昌长航医院东院,,民营
宜都市中医医院,,公立
宜都市五眼泉镇卫生院,,公立
宜都市人民医院,,公立
宜都市妇幼保健院,,公立
宜都市姚家店镇卫生院,,公立
宜都市松宜矿区卫生院,,公立
宜都市松木坪镇中心卫生院,,公立
宜都市枝城镇卫生院,,公立
宜都市潘家湾土家族乡卫生院,,公立
宜都市王家畈镇中心卫生院,,公立
宜都市红花套镇中心卫生院,,公立
宜都市聂家河镇卫生院,,公立
宜都市陆城街道社区卫生服务中心,,公立
宜都市高坝洲镇卫生院,,公立
当阳市中医医院,,公立
当阳市人民医院,,公立
当阳长坂坡医院,,民营
枝江健桥医院,,民营
枝江市中医医院,,公立
枝江市人民医院,,公立
枝江市白洋镇卫生院,,公立
枝江张氏骨科医院,,民营
湖北三峡职业技术学院附属医院,,公立
秭归县中医医院,,公立
秭归县人民医院,,公立
远安县中医医院,,公立
远安县人民医院,,公立
长阳土家族自治县中医院,,公立
长阳土家族自治县人民医院,,公立
