dwmc,txdz,lxfs
五峰县人社局工伤科,五峰土家族自治县渔洋关镇后河大道27号（工资福利和社会保险股）,0717-5821963
兴山县人社局工伤科,兴山县古夫镇昭君路8号（兴山县人力资源和社会保障局社会保险股）,0717-2584726
夷陵区人社局工伤科,宜昌市夷陵区平湖大道31号（宜昌市夷陵区人力资源和社会保障局工伤保险股）,0717-7201506
宜昌市人社局工伤科,宜昌市体育场路46号（宜昌市市民之家）,0717-6056614
宜都市人社局工伤科,宜都市陆城长江大道219号（宜都市人力资源和社会保障局劳动关系工伤股）,0717-4728037
当阳市人社局工伤科,当阳市东群路54号（当阳市人力资源和社会保障局养老和工伤保险股）,0717-3227438
枝江市人社局工伤科,枝江市马家店街道办事处公园路113号（枝江市人力资源和社会保障局工伤股）,0717-4219030
秭归县人社局工伤科,秭归县茅坪镇长宁大道24号（秭归县人力资源和社会保障局社会保险股）,0717-2882020
远安县人社局工伤科,远安县鸣凤镇鸣凤大道35号（远安县人力资源和社会保障局养老保险和工伤保险股）,0717-3812091
长阳县人社局工伤科,长阳土家族自治县龙舟坪镇秋潭路18号（长阳土家族自治县人力资源和社会保障局社会保险股）,0717-5333257
