xh,xsq,cj,shjztsjbdh,dhjtzssj
1,市本级,市级,0717-6223440,上午8:30-12:00  下午14:00-17:30
2,宜都市,县级,0717-4830702,上午8:30-12:00  下午14:30-17:30
3,枝江市,县级,0717-4212847,上午8:30-12:00  下午14:30-17:30
4,当阳市,县级,0717-3234056,上午8:30-12:00  下午14:30-17:30
5,远安县,县级,0717-3817484,上午8:30-12:00  下午14:30-17:30
6,兴山县,县级,0717-2586189,上午8:30-12:00  下午14:30-17:30
7,五峰自治县,县级,0717-5823419,上午8:30-12:00  下午14:30-17:30
8,长阳自治县,县级,0717-5105560,上午8:30-12:00  下午14:30-17:30
9,秭归县,县级,0717-2882647,上午8:30-12:00  下午14:30-17:30
10,点军区,县级,0717-6672372,上午8:30-12:00  下午14:30-17:30
11,西陵区,县级,0717-6918312,上午8:30-12:00  下午14:30-17:30
12,伍家岗区,县级,0717-6355801,上午8:30-12:00  下午14:30-17:30
13,夷陵区,县级,0717-7839433,上午8:30-12:00 下午14:30-17:30
14,猇亭区,县级,0717-6513651,上午8:30-12:00  下午14:30-17:30
15,宜昌高新区,县级,0717-6622025,上午8:30-11:30  下午14:30-17:30
