xh,lb,sfxmmc,fwnr,csjg,slyj
1,供水,自来水表更换、充值卡补办,DN20普通表,100元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
2,供水,自来水表更换、充值卡补办,DN20 IC卡表,400元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
3,供水,自来水表更换、充值卡补办,DN20智能远传表,540元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
4,供水,自来水表更换、充值卡补办,因用户遗失、损毁需要补办水表充值卡,10元/张,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
5,供水,供水设施迁改,应用户要求迁改供水企业管理的供水设施,详见《宜昌工程造价信息》（2021年第六期）,《湖北省城镇供水条例》第二十一条、第二十四条、第三十八条规定。
6,供气,燃气表更换、充值卡补办,G1.6或G2.5普通表,200元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
7,供气,燃气表更换、充值卡补办,G1.6或G2.5 IC卡表,320元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
8,供气,燃气表更换、充值卡补办,G2.5智能远传表,540元/块,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
9,供气,燃气表更换、充值卡补办,因用户遗失、损毁需要补办燃气表充值卡,10元/张,鄂发改价管〔2021〕88号、宜发改价管〔2021〕59号
10,供气,居民用户加装燃气安全保护装置,应用户要求，在G2.5，G1.6燃气表前加装燃气安全保护装置,350元/套,《城镇燃气管理条例》第十九条、第二十八条和《城镇燃气设计规范》（GB 50028-2006）10.8.4的规定。
11,供气,民用燃气表迁移,应用户要求迁移燃气企业管理的民用燃气表（3米内DN15镀锌管道，墙体打孔等）,"260元/次
（DN15镀锌钢管超过部分按35元/米加收费用）",《城镇燃气管理条例》第十九条、第二十八条和《城镇燃气设计规范》（GB 50028-2006）10.8.4的规定。
12,供气,燃气设施迁改,应用户要求迁改燃气企业管理的燃气设施,详见《宜昌工程造价信息》（2021年第六期）,《城镇燃气管理条例》第十九条、第二十八条和《城镇燃气设计规范》（GB 50028-2006）10.8.4的规定。
