xh,jgmc,wsjglb,xzqh,dj,mzzlrc,bz,tjsj
1,宜都爱尔眼科医院,专科医院,宜都市,二级,12461,,2024年
2,宜昌馨语康复医院,专科医院,宜都市,二级,6745,,2024年
3,枝江爱尔眼科医院,专科医院,枝江市,二级,17561,,2024年
4,枝江博仁疼痛专科医院,专科医院,枝江市,二级,9259,,2024年
5,枝江市口腔医院,专科医院,枝江市,一级及未评级,27071,,2024年
6,枝江康宁精神病医院,专科医院,枝江市,二级,16678,,2024年
7,枝江张氏骨科医院,专科医院,枝江市,二级,22336,,2024年
8,枝江同康妇产医院,专科医院,枝江市,二级,5021,,2024年
9,当阳仁爱眼科医院,专科医院,当阳市,二级,6494,,2024年
10,当阳爱尔眼科医院,专科医院,当阳市,二级,13647,,2024年
11,当阳德众口腔医院,专科医院,当阳市,二级,18939,,2024年
12,当阳安康精神病医院,专科医院,当阳市,二级,24956,,2024年
13,兴山弘仁康复医院,专科医院,兴山县,二级,14863,,2024年
14,秭归博德精神病医院,专科医院,秭归县,二级,4342,,2024年
15,长阳爱尔眼科医院,专科医院,长阳土家族自治县,二级,10503,,2024年
16,长阳土家族自治县精神病医院,专科医院,长阳土家族自治县,二级,,与长阳县中医医院，一个单位两个牌子，以中医医院数据为准。,2024年
17,宜昌夷陵弘仁康复医院,专科医院,夷陵区,二级,5011,,2024年
18,宜昌夷陵申冈精神病医院,专科医院,夷陵区,一级及未评级,745,,2024年
19,宜昌夷陵康宁精神病医院,专科医院,夷陵区,一级及未评级,2512,,2024年
20,宜昌华厦眼科医院,专科医院,市直管,三级,26747,,2024年
21,宜昌桃花岭泌尿外科医院,专科医院,市直管,二级,313,,2024年
22,宜昌怡康皮肤病医院,专科医院,市直管,三级,40126,,2024年
23,宜昌蕾帝整形美容医院,专科医院,市直管,一级及未评级,1024,,2024年
24,宜昌亚太整形美容医院,专科医院,市直管,一级及未评级,13763,,2024年
25,宜昌爱合口腔医院,专科医院,市直管,二级,21520,,2024年
26,宜昌中南口腔医院,专科医院,市直管,二级,16034,,2024年
27,宜昌正德骨科医院,专科医院,西陵区,一级及未评级,1457,,2024年
28,宜昌爱尔眼科医院,专科医院,市直管,三级,54019,,2024年
29,宜昌环生中医肛肠医院,专科医院,市直管,二级,27349,,2024年
30,宜昌春华牛皮癣中医专科医院,专科医院,市直管,一级及未评级,990,,2024年
