xh,jgmc,zzjgdm,jjlx,wsjglb,jgflgl,sfggwsjg,xzqh,dj
1,宜都市妇幼保健院,420364759,公立,妇幼保健院,非营利性医疗机构,,宜都市,二级
2,宜昌馨语康复医院,MJH563292,民营,康复医院,非营利性医疗机构,,宜都市,二级
3,宜都咿呀口腔医院,MACW620M6,民营,口腔医院,营利性医疗机构,,宜都市,二级
4,宜都爱尔眼科医院,MA496BJU1,民营,眼科医院,营利性医疗机构,,宜都市,二级
5,枝江市妇幼保健院,420236407,公立,妇幼保健院,非营利性医疗机构,,枝江市,二级
6,枝江张氏骨科医院,MA48A4CT0,民营,骨科医院,营利性医疗机构,,枝江市,二级
7,枝江健宁护理院,MA488RJC8,民营,护理院,营利性医疗机构,,枝江市,二级
8,枝江康福护理院,MA488CH57,民营,护理院,营利性医疗机构,,枝江市,二级
9,枝江恒晟护理院,MA48AMW0X,民营,护理院,营利性医疗机构,,枝江市,二级
10,枝江康宁精神病医院,MA48YRJB1,民营,精神病医院,非营利性医疗机构,,枝江市,二级
11,枝江博仁疼痛专科医院,33175486X,民营,其他专科医院,营利性医疗机构,,枝江市,二级
12,枝江爱尔眼科医院,MA488F8W9,民营,眼科医院,营利性医疗机构,,枝江市,二级
13,枝江市中医医院,420235084,公立,中医（综合）医院,非营利性医疗机构,,枝江市,二级
14,当阳市妇幼保健院,42039187X,公立,妇幼保健院,非营利性医疗机构,,当阳市,二级
15,当阳安康精神病医院,082301439,民营,精神病医院,非营利性医疗机构,,当阳市,二级
16,当阳咿呀口腔医院,PDY83740X,民营,口腔医院,营利性医疗机构,,当阳市,二级
17,当阳德众口腔医院,316577690,民营,口腔医院,营利性医疗机构,,当阳市,二级
18,当阳爱尔眼科医院,MA496E7U3,民营,眼科医院,营利性医疗机构,,当阳市,二级
19,当阳仁爱眼科医院,MA494XAE2,民营,眼科医院,营利性医疗机构,,当阳市,二级
20,当阳市中医医院,420391853,公立,中医（综合）医院,非营利性医疗机构,,当阳市,二级
21,当阳长坂坡医院,343493943,民营,综合医院,非营利性医疗机构,,当阳市,二级
22,远安县妇幼保健院,420259238,公立,妇幼保健院,非营利性医疗机构,,远安县,二级
23,远安弘仁康复医院,MACML52K3,民营,康复医院,营利性医疗机构,,远安县,二级
24,远安咿呀口腔医院,MAD5321B3,民营,口腔医院,营利性医疗机构,,远安县,二级
25,远安县中医医院,420259131,公立,中医（综合）医院,非营利性医疗机构,,远安县,二级
26,远安县人民医院,420259377,公立,综合医院,非营利性医疗机构,,远安县,二级
27,兴山弘仁康复医院,33190758X,民营,康复医院,营利性医疗机构,,兴山县,二级
28,兴山县中医医院,420284994,公立,中医（综合）医院,非营利性医疗机构,,兴山县,二级
29,秭归县妇幼保健院,352403196,公立,妇幼保健院,非营利性医疗机构,,秭归县,二级
30,秭归博德精神病医院,MA490KNG4,民营,精神病医院,营利性医疗机构,,秭归县,二级
31,长阳土家族自治县妇幼保健院,420324028,公立,妇幼保健院,非营利性医疗机构,,长阳县,二级
32,长阳土家族自治县精神病医院,PDY302106,公立,精神病医院,非营利性医疗机构,,长阳县,二级
33,长阳爱尔眼科医院,MA49A42W2,民营,眼科医院,营利性医疗机构,,长阳县,二级
34,长阳土家族自治县中医医院,42032401X,公立,中医（综合）医院,非营利性医疗机构,,长阳县,二级
35,五峰土家族自治县妇幼保健院,420349137,公立,妇幼保健院,非营利性医疗机构,,五峰县,二级
36,五峰土家族自治县中医医院,420349102,公立,中医（综合）医院,非营利性医疗机构,,五峰县,二级
37,宜昌夷陵康宁精神病医院,691778849,民营,精神病医院,营利性医疗机构,,夷陵区,二级
38,夷陵区妇幼保健院,420200244,公立,妇幼保健院,非营利性医疗机构,,夷陵区,二级
39,宜昌夷陵弘仁康复医院,MA49AYH24,民营,康复医院,营利性医疗机构,,夷陵区,二级
40,宜昌市夷陵区中医医院,MB1B08960,公立,中医（综合）医院,非营利性医疗机构,,夷陵区,二级
41,宜昌家和医院,MA487N5A6,民营,综合医院,营利性医疗机构,,夷陵区,二级
42,宜昌市西陵区口腔医院,PDY934453,公立,口腔医院,非营利性医疗机构,,西陵区,二级
43,宜昌中南口腔医院,MA7J25H50,民营,口腔医院,营利性医疗机构,,西陵区,二级
44,宜昌爱合口腔医院,MA489RGJ1,民营,口腔医院,营利性医疗机构,,西陵区,二级
45,宜昌桃花岭泌尿外科医院,MA493GEF4,民营,其他专科医院,营利性医疗机构,,西陵区,二级
46,宜昌爱尔东山眼科医院,MA496AH51,民营,眼科医院,营利性医疗机构,,西陵区,二级
47,宜昌长江中医医院,744636079,民营,中医（综合）医院,营利性医疗机构,,西陵区,二级
48,宜昌民福医院,050042073,民营,综合医院,营利性医疗机构,,西陵区,二级
49,宜昌鑫家园妇产医院,070756401,民营,妇产（科）医院,营利性医疗机构,,伍家岗区,二级
50,宜昌咿呀口腔医院,MA7MYC489,民营,口腔医院,营利性医疗机构,,伍家岗区,二级
51,宜昌环生中医肛肠医院,MA49602G9,民营,其他专科医院,营利性医疗机构,,伍家岗区,二级
52,宜昌长航医院东院,MA48AT830,民营,综合医院,营利性医疗机构,,伍家岗区,二级
53,宜昌长航医院,670354596,民营,综合医院,营利性医疗机构,,伍家岗区,二级
54,宜昌市第五人民医院,422208282,公立,综合医院,非营利性医疗机构,,猇亭区,二级
55,湖北三峡职业技术学院附属医院,MB1045470,公立,综合医院,非营利性医疗机构,,宜昌市直,二级
