xh,jgmc,wsjglb,xzqh,dj,mzzlrc,bz,tjsj
1,宜都爱尔眼科医院,专科医院,宜都市,二级,12461,,2024年
2,宜昌馨语康复医院,专科医院,宜都市,二级,6745,,2024年
3,宜都市妇幼保健院,妇幼保健院,宜都市,二级,127592,,2024年
4,枝江市中医医院,中医（综合）医院,枝江市,二级,114680,,2024年
5,枝江爱尔眼科医院,专科医院,枝江市,二级,17561,,2024年
6,枝江博仁疼痛专科医院,专科医院,枝江市,二级,9259,,2024年
7,枝江康宁精神病医院,专科医院,枝江市,二级,16678,,2024年
8,枝江恒晟护理院,护理院,枝江市,二级,16029,,2024年
9,枝江健宁护理院,护理院,枝江市,二级,9721,,2024年
10,枝江张氏骨科医院,专科医院,枝江市,二级,22336,,2024年
11,枝江市妇幼保健院,妇幼保健院,枝江市,二级,47071,,2024年
12,枝江同康妇产医院,专科医院,枝江市,二级,5021,,2024年
13,当阳长坂坡医院,综合医院,当阳市,二级,74664,,2024年
14,当阳市中医医院,中医（综合）医院,当阳市,二级,156661,,2024年
15,当阳仁爱眼科医院,专科医院,当阳市,二级,6494,,2024年
16,当阳爱尔眼科医院,专科医院,当阳市,二级,13647,,2024年
17,当阳德众口腔医院,专科医院,当阳市,二级,18939,,2024年
18,当阳安康精神病医院,专科医院,当阳市,二级,24956,,2024年
19,当阳市妇幼保健院,妇幼保健院,当阳市,二级,57354,,2024年
20,远安县人民医院,综合医院,远安县,二级,251023,,2024年
21,远安县中医医院,中医（综合）医院,远安县,二级,91854,,2024年
22,远安县妇幼保健院,妇幼保健院,远安县,二级,30757,,2024年
23,兴山县人民医院(兴山县妇幼保健院、兴山县妇幼保健计划生育服务中心),综合医院,兴山县,二级,317148,,2024年
24,兴山县中医医院,中医（综合）医院,兴山县,二级,68257,,2024年
25,兴山弘仁康复医院,专科医院,兴山县,二级,14863,,2024年
26,秭归县人民医院,综合医院,秭归县,二级,364603,,2024年
27,秭归博德精神病医院,专科医院,秭归县,二级,4342,,2024年
28,秭归县妇幼保健院,妇幼保健院,秭归县,二级,82600,,2024年
29,长阳土家族自治县人民医院,综合医院,长阳土家族自治县,二级,248909,,2024年
30,长阳土家族自治县中医医院,中医（综合）医院,长阳土家族自治县,二级,126472,,2024年
31,长阳爱尔眼科医院,专科医院,长阳土家族自治县,二级,10503,,2024年
