xh,jb,xsq,dwmc,dz,fwsj,lxdh
1,三级甲等综合医院,伍家岗区/点军区,宜昌市中心人民医院（伍家院区）,宜昌市夷陵大道183号/宜昌市点军区五龙路2号,24小时,13997700060
2,三级甲等综合医院,西陵区,宜昌市中心人民医院（西陵院区）,宜昌市西陵区湖堤街4号,24小时,0717-6222800
3,三级甲等综合医院,西陵区,宜昌市第二人民医院,宜昌市西陵区西陵一路21号（东门院区） 宜昌市西陵区体育场路18号（白龙岗院区）,24小时,0717-6741005
4,三级甲等综合医院,伍家岗区,三峡大学附属仁和医院,宜昌市夷陵大道410号,24小时,0717-6551228
5,三级甲等综合医院,西陵区,国药葛洲坝中心医院,"宜昌市西陵区樵湖一路60号
宜昌市西陵区夜明珠路57号",24小时,15337420311
6,三级综合医院,宜都市,宜都市人民医院,宜都市陆城街道东正街52号,24小时,0717-4900281
7,三级综合医院,枝江市,枝江市人民医院,枝江市友谊大道61号,24小时,15072522589
8,三级综合医院,当阳市,当阳市人民医院,当阳市玉阳路71号,24小时,0717-3225733
9,三级综合医院,夷陵区,宜昌市夷陵医院,宜昌市夷陵区东湖大道32号,24小时,0717-7821819
10,三级综合医院,兴山县,兴山县人民医院,兴山县古夫镇香溪大道23号,24小时,0717-2519157
11,三级综合医院,秭归县,秭归县人民医院,秭归县茅坪镇南郡大道9号,24小时,0717-2880329
12,三级综合医院,长阳土家族自治县,长阳土家族自治县人民医院,长阳土家族自治县龙舟坪镇龙舟大道72号,24小时,0717-5322766
13,三级综合医院,五峰土家族自治县,五峰土家族自治县人民医院,五峰土家族自治县渔洋关镇古潭路25号,24小时,0717-5756456
14,三级专科医院,伍家岗区,宜昌市中医医院,宜昌市胜利三路2号,24小时,15907208282
15,三级专科医院,宜都市,宜都市中医医院,宜都市陆城街道城乡路81号,24小时,0717-4830666
16,三级专科医院,秭归县,秭归县中医医院,秭归县茅坪镇平湖大道30号,24小时,0717-2883008
17,三级专科医院,伍家岗区,宜昌市妇幼保健院,宜昌市城东大道99号,24小时,18972008171
18,三级专科医院,西陵区,宜昌市第三人民医院,宜昌市港窑路23号,24小时,0717-6483841
19,三级专科医院,高新区,宜昌市优抚医院,宜昌市开发区厦门路2号/宜昌市西陵区富裕街4号,24小时,0717-6331552
20,二级医院,猇亭区,宜昌市猇亭区人民医院（宜昌市第五人民医院）,宜昌市猇亭区正大路38号,24小时,0717-6514079
21,二级医院,远安县,远安县人民医院,远安县鸣凤镇凤仪路169号,24小时,0717-3812410
22,二级医院,枝江市,枝江市中医医院,枝江市马家店街道团结路18号,24小时,15871658939
23,二级医院,当阳市,当阳市中医医院,当阳市长坂路132号,24小时,0717-3901692
24,二级医院,远安县,远安县中医医院,远安县鸣凤镇飞龙路8号,24小时,0717-3812943
25,二级医院,兴山县,兴山县中医医院,兴山县昭君镇凤凰街1号,24小时,0717-2518120
26,二级医院,长阳土家族自治县,长阳土家族自治县中医院,长阳土家族自治县龙舟坪镇星城二路1号,24小时,13886747500
27,二级医院,五峰土家族自治县,五峰土家族自治县中医医院,五峰土家族自治县五峰镇黄土包1号,24小时,0717-5821236
28,二级医院,西陵区,湖北省三峡职业技术学院附属医院,宜昌市西陵区港城路19号,24小时,18062383731
29,二级医院,长阳土家族自治县,长阳土家族自治县妇幼保健院,长阳土家族自治县龙舟坪镇四冲街四号,24小时,0717-5322232
30,二级医院,枝江市,枝江市妇幼保健院,枝江市马家店街道民主大道111号,24小时,18272260120
31,二级医院,当阳市,当阳市妇幼保健院,当阳市玉阳街道长坂路149号,24小时,0717-3222631
32,二级医院,宜都市,宜都市妇幼保健院,宜都市宜华大道100号,24小时,0717-4823998
33,二级医院,夷陵区,宜昌市夷陵区妇幼保健院,宜昌市夷陵区锦江大道97号,24小时,0717-7821953
34,基层医疗卫生机构,宜都市,宜都市陆城街道社区卫生服务中心,宜都市陆城园林大道160号,24小时,0717-4822428
35,基层医疗卫生机构,宜都市,宜都市陆城街道锦江社区医务室,宜都市陆城阳光路5号,上午8:00-12:00，下午14:30-17:30,0717-4950705
36,基层医疗卫生机构,宜都市,宜都市陆城街道名都社区医务室,宜都市陆城街道三一冲路名都社区新阵地一楼门面房（左二）,上午8:00-12:00，下午14:30-17:30,0717-4666308
37,基层医疗卫生机构,宜都市,宜都市陆城街道八字桥社区医务室,宜都市陆城园林大道27号,上午8:00-12:00，下午14:30-17:30,0717-4950701
38,基层医疗卫生机构,宜都市,宜都市陆城街道胜利社区医务室,宜都市陆城街道长江大道55号,上午8:00-12:00，下午14:30-17:30,0717-4728308
39,基层医疗卫生机构,宜都市,宜都市陆城街道东风社区医务室,宜都市陆城城河大道38号,上午8:00-12:00，下午14:30-17:30,0717-4826708
40,基层医疗卫生机构,宜都市,宜都市陆城街道清江社区医务室,宜都市陆城清江大道34号,上午8:00-12:00，下午14:30-17:30,0717-4820328
41,基层医疗卫生机构,宜都市,宜都市陆城街道红春社区医务室,宜都市陆城街道城乡路7号,上午8:00-12:00，下午14:30-17:30,0717-4822728
42,基层医疗卫生机构,枝江市,枝江市马家店街道社区卫生服务中心,枝江市团结路18号,24小时,0717-4202695
43,基层医疗卫生机构,枝江市,枝江市马家店街道江口社区医务室,枝江市江口大道69号,上午8:00-12:00，下午14:30-17:30,0717-4228128
44,基层医疗卫生机构,枝江市,枝江市马家店街道杨家垱社区医务室,枝江市-G318(沪聂线)878M,上午8:00-12:00，下午14:30-17:30,0717-4229580
45,基层医疗卫生机构,枝江市,枝江市马家店街道沱江社区医务室,枝江市前进路15号,上午8:00-12:00，下午14:30-17:30,0717-4228978
46,基层医疗卫生机构,枝江市,枝江市马家店街道熊家窑社区医务室,枝江市团结路83号,上午8:00-12:00，下午14:30-17:30,0717-4221859
47,基层医疗卫生机构,枝江市,枝江市马家店街道清滩堰社区医务室,枝江市迎宾大道57号,上午8:00-12:00，下午14:30-17:30,0717-4220895
48,基层医疗卫生机构,枝江市,枝江市马家店街道七口堰社区医务室,枝江市公园路123号,上午8:00-12:00，下午14:30-17:30,0717-4220895
49,基层医疗卫生机构,枝江市,枝江市马家店街道五柳树社区医务室,枝江市迎宾大道83号,上午8:00-12:00，下午14:30-17:30,0717-4513316
50,基层医疗卫生机构,枝江市,枝江市马家店街道白鸭寺社区医务室,枝江市五星街中央山水,上午8:00-12:00，下午14:30-17:30,0717-4228289
51,基层医疗卫生机构,枝江市,枝江市马家店街道谦泰吉社区医务室,枝江市迎宾大道155号,上午8:00-12:00，下午14:30-17:30,0717-4227908
52,基层医疗卫生机构,枝江市,枝江市马家店街道丰坪巷社区医务室,枝江市民主大道27号,上午8:00-12:00，下午14:30-17:30,0717-4221855
53,基层医疗卫生机构,当阳市,当阳市玉阳街道社区卫生服务中心,当阳市玉阳街道长坂路88号,上午8:00-12:00，下午14:30-17:30,0717-3151011
54,基层医疗卫生机构,当阳市,当阳市玉阳街道熊家山社区医务室,当阳市玉阳街道友谊路10号,上午8:00-12:00，下午14:30-17:30,0717-3901889
55,基层医疗卫生机构,当阳市,当阳市坝陵街道卫生院,当阳市坝陵街道车站路28号,上午8:00-12:00，下午14:30-17:30,0717-3280682
56,基层医疗卫生机构,远安县,远安县鸣凤镇社区卫生服务中心,远安县鸣凤镇解放路60号,上午8:00-12:00，下午14:30-17:30,0717-3817168
57,基层医疗卫生机构,远安县,远安县鸣凤镇凤山社区医务室,远安县鸣凤镇鸣凤山路5号,上午8:00-12:00，下午14:30-17:30,13986777126
58,基层医疗卫生机构,远安县,远安县鸣凤镇鸣凤社区医务室,远安县鸣凤镇振兴路36号,上午8:00-12:00，下午14:30-17:30,0717-3812698
59,基层医疗卫生机构,远安县,远安县鸣凤镇航天社区医务室,远安县鸣凤镇环城路2巷7-17,上午8:00-12:00，下午14:30-17:30,0717-3882686
60,基层医疗卫生机构,远安县,远安县鸣凤镇东庄坪社区医务室,远安县鸣凤镇南门路219号,上午8:00-12:00，下午14:30-17:30,0717-3898068
61,基层医疗卫生机构,远安县,远安县鸣凤镇安泰社区社区医务室,远安县鸣凤镇鸣凤大道86号,上午8:00-12:00，下午14:30-17:30,0717-3895508
62,基层医疗卫生机构,兴山县,兴山县古夫镇卫生院,古夫镇夫子社区北斗街,24小时,0717-2580120
63,基层医疗卫生机构,兴山县,兴山县古夫镇丰邑社区医务室,古夫镇丰邑社区桑树拐小区86号,上午8:00-12:00，下午14:30-17:30,18808606801
64,基层医疗卫生机构,兴山县,兴山县古夫镇龙珠社区医务室,古夫镇湖南路8号,上午8:00-12:00，下午14:30-17:30,0717-2416030
65,基层医疗卫生机构,秭归县,秭归县茅坪镇卫生院,秭归县茅坪镇平湖大道30号,24小时,0717-2888999
66,基层医疗卫生机构,秭归县,秭归县丹阳社区医务室,秭归县茅坪镇丹阳路39号,上午8:00-12:00，下午14:30-17:30,13986803289
67,基层医疗卫生机构,秭归县,秭归县长宁社区医务室,秭归县茅坪镇丹阳路32号,上午8:00-12:00，下午14:30-17:30,16607208152
68,基层医疗卫生机构,秭归县,秭归县滨湖社区医务室,秭归县茅坪镇滨湖社区郑家花园127号,上午8:00-12:00，下午14:30-17:30,13972010931
