xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
1,宜都市姚家店镇卫生院,卫生院,宜都市,59415,,2024年
2,宜都市五眼泉镇卫生院,卫生院,宜都市,38879,,2024年
3,宜都市高坝洲镇卫生院,卫生院,宜都市,57102,,2024年
4,宜都市潘家湾土家族乡卫生院,卫生院,宜都市,48155,,2024年
5,宜都市松木坪镇中心卫生院,卫生院,宜都市,32905,,2024年
6,宜都市聂家河镇中心卫生院,卫生院,宜都市,18956,,2024年
7,宜都市王家畈镇中心卫生院,卫生院,宜都市,37855,,2024年
8,宜都市红花套镇卫生院,卫生院,宜都市,32946,,2024年
9,宜都市松宜矿区卫生院,卫生院,宜都市,8510,,2024年
10,宜都市枝城镇卫生院,卫生院,宜都市,70536,,2024年
11,枝江市顾家店镇卫生院,卫生院,枝江市,55983,,2024年
12,枝江市仙女镇卫生院,卫生院,枝江市,36482,,2024年
13,枝江市问安镇中心卫生院,卫生院,枝江市,51429,,2024年
14,枝江市董市镇卫生院,卫生院,枝江市,59101,,2024年
15,枝江市七星台镇卫生院,卫生院,枝江市,77337,,2024年
16,枝江市安福寺镇中心卫生院,卫生院,枝江市,80800,,2024年
17,枝江市百里洲镇中心卫生院,卫生院,枝江市,103045,,2024年
18,当阳市庙前镇卫生院,卫生院,当阳市,12023,,2024年
19,当阳市两河镇卫生院,卫生院,当阳市,18872,,2024年
20,当阳市玉泉办事处卫生院,卫生院,当阳市,38073,,2024年
21,当阳市草埠湖镇卫生院,卫生院,当阳市,33047,,2024年
22,当阳市王店镇卫生院,卫生院,当阳市,24344,,2024年
23,当阳市半月镇卫生院,卫生院,当阳市,34682,,2024年
24,当阳市坝陵办事处卫生院,卫生院,当阳市,73168,,2024年
25,当阳市淯溪镇卫生院,卫生院,当阳市,55478,,2024年
26,当阳市河溶镇卫生院,卫生院,当阳市,59900,,2024年
27,远安县旧县镇卫生院,卫生院,远安县,22752,,2024年
28,远安县花林寺镇卫生院,卫生院,远安县,36152,,2024年
29,远安县河口乡卫生院,卫生院,远安县,20778,,2024年
30,远安县茅坪场镇中心卫生院,卫生院,远安县,45534,,2024年
31,远安县嫘祖镇中心卫生院,卫生院,远安县,35522,,2024年
32,远安县洋坪镇中心卫生院,卫生院,远安县,56566,,2024年
33,兴山县昭君镇卫生院,卫生院,兴山县,,与兴山县中医医院一个单位两个牌子，数据以中医医院为准。,2024年
34,兴山县南阳镇卫生院,卫生院,兴山县,20498,,2024年
35,兴山县高桥乡卫生院,卫生院,兴山县,20335,,2024年
36,兴山县榛子乡卫生院,卫生院,兴山县,18506,,2024年
37,兴山县古夫镇卫生院,卫生院,兴山县,24334,,2024年
38,兴山县水月寺镇中心卫生院,卫生院,兴山县,16564,,2024年
39,兴山县黄粮镇中心卫生院,卫生院,兴山县,22189,,2024年
40,兴山县峡口镇中心卫生院,卫生院,兴山县,17824,,2024年
41,秭归县茅坪镇卫生院,卫生院,秭归县,,与秭归县中医医院一个单位两个牌子，数据以中医医院为准。,2024年
42,秭归县磨坪乡卫生院,卫生院,秭归县,18620,,2024年
43,秭归县梅家河乡卫生院,卫生院,秭归县,23279,,2024年
44,秭归县屈原镇卫生院,卫生院,秭归县,19248,,2024年
45,秭归县两河口镇卫生院,卫生院,秭归县,75389,,2024年
46,秭归县杨林桥镇中心卫生院,卫生院,秭归县,46294,,2024年
47,秭归县水田坝乡卫生院,卫生院,秭归县,97199,,2024年
48,秭归县泄滩乡卫生院,卫生院,秭归县,18138,,2024年
49,秭归县九畹溪镇卫生院,卫生院,秭归县,30067,,2024年
50,秭归县归州镇中心卫生院,卫生院,秭归县,66413,,2024年
