xh,xq,ssyljg,dz,lxfs
1,西陵区,宜昌市中心人民医院西陵院区,宜昌市西陵区湖堤街4号,0717-6238214
2,西陵区,宜昌市第二人民医院,西陵一路21号,19986696005
3,西陵区,国药葛洲坝中心医院,宜昌市西陵区樵湖一路60号,17371709162
4,西陵区,宜昌市第三人民医院,宜昌市港窑路23号,17371701627
5,西陵区,西陵社区卫生服务中心,西陵二路64号,0717-6299120
6,西陵区,葛洲坝西坝社区卫生服务中心,西坝建设路10号,0717-6796190
7,西陵区,葛洲坝东湖社区卫生服务中心,团结路26号,0717-6980265
8,西陵区,葛洲坝东山社区卫生服务中心,肖家岗路15号,0717-6719860
9,伍家区,宜昌市中心人民医院伍家院区,宜昌市夷陵大道183号,17371703750
10,伍家区,三峡大学附属仁和医院,宜昌市夷陵大道410号,0717-6553059
11,伍家区,宜昌市中医医院,伍家岗区胜利三路2号,0717-6472172
12,伍家区,宜昌市妇幼保健院（儿童发热诊室）,城东大道99号,0717-6475216
13,伍家区,宜昌长航医院,东山大道191号,0717-6288120
14,伍家区,宜昌长航医院东院,合益路49号,0717-6523708
15,伍家区,大公桥社区卫生服务中心,夷陵大道125号,0717-6015120
16,伍家区,城东社区卫生服务中心,宜昌市城东大道105号,19986642951
17,伍家区,杨岔路社区卫生服务中心,宜昌市合益路66号,18062994022
18,伍家区,白沙路社区卫生服务中心,伍家岗区白沙路6号,0717-6551700
19,伍家区,花艳社区卫生服务中心,伍家岗区伍家乡共和村5组,0717-6260981
20,点军区,宜昌市中心人民医院江南分院,宜昌市点军区五龙大道,17371714220
21,点军区,点军区联棚乡卫生院,点军区联棚乡集镇,0717-6679120
22,点军区,宜昌市点军区土城乡卫生院,宜昌市点军区土城乡土城村5组,0717-7884022
23,点军区,宜昌市点军区艾家镇卫生院,宜昌市点军区艾家镇刘家村五组,0717-7900131
24,点军区,宜昌市点军区桥边镇中心卫生院,宜昌高新区电子信息产业园,0717-7881010
25,猇亭区,宜昌市第五人民医院,宜昌市猇亭区正大路38号,0717-6598986
26,猇亭区,古老背社区卫生服务中心,宜昌市猇亭区桐岭路21号,0717-6514174
27,猇亭区,云池社区卫生服务中心,宜昌市猇亭区金猇路189号,0717-6536383
28,高新区,宜昌市优抚医院,宜昌市开发区厦门路2号,0717-6331183
29,高新区,三峡职业技术学院附属医院（东山社区卫生服务中心）,港城路19号,0717-6300176
30,高新区,白洋镇卫生院,白洋大道1号,0717-4401120
31,夷陵区,宜昌市夷陵医院,夷陵区东湖大道32号,0717-7827932
32,夷陵区,夷陵区妇幼保健院,夷陵区锦江大道97号,0717-7819308
33,夷陵区,雾渡河镇中心卫生院,雾渡河镇小庙村一组,0717-7613120
34,夷陵区,樟村坪镇卫生院,樟村坪镇丁家河村5组,0717-7660017
35,夷陵区,下堡坪乡卫生院,下堡坪乡秀峰街110号,0717-7630069
36,夷陵区,邓村乡卫生院,邓村乡邓红路52号,0717-7500041
37,夷陵区,太平溪镇卫生院,太平溪镇烟竹园路1号,0717-7510145
38,夷陵区,三斗坪镇卫生院,三斗坪镇黛狮路104号,0717-6611999
39,夷陵区,鸦鹊岭镇中心卫生院,鸦鹊岭镇梅林大道63号,0717-7741426
40,夷陵区,龙泉镇卫生院,龙泉镇龙泉大道57号,0717-7761501
41,夷陵区,分乡镇中心卫生院,分乡镇敬存路165号,0717-7930120
42,夷陵区,黄花镇卫生院,黄花镇川汉路109号,0717-7951021
43,夷陵区,小溪塔街道社区卫生服务中心,小溪塔街道平云一路31号,0717-7821685
44,夷陵区,望江社区卫生服务中心,锦江大道22号,0717-7850180
45,宜都市,宜都市人民医院,宜都市陆城东正街52号,0717-4843103
46,宜都市,宜都市人民医院枝城院区（枝城镇卫生院）,宜都市枝城镇大同路37号,0717-4665299
47,宜都市,宜都市中医医院,宜都市陆城街办城乡路81号,0717-4858150
48,宜都市,宜都市妇幼保健院,宜都市陆城宜华大道100号,0717-4831172
49,宜都市,宜都市红花套镇中心卫生院,宜都市红花套镇荆门山大道37号,0717-4816349
50,宜都市,宜都市高坝洲镇卫生院,宜都市高坝洲镇中坪村双坪路76号,0717-4800295
51,宜都市,宜都市姚家店镇卫生院,宜都市姚家店镇楠竹园路77号,0717-4838565
52,宜都市,宜都市五眼泉镇卫生院,宜都市五眼泉镇庙岗村1组107号,0717-4850120
53,宜都市,宜都市聂家河镇卫生院,宜都市聂家河镇渔洋路13号,0717-4836120
54,宜都市,宜都市潘家湾土家族乡卫生院,宜都市潘家湾土家族乡石林路107号,0717-4735120
55,宜都市,宜都市王家畈镇中心卫生院,宜都市王家畈镇王家畈集镇永安路125号,0717-4780575
56,宜都市,宜都市松木坪镇中心卫生院,宜都市松木坪镇贺炳炎大道39号,0717-4600120
57,宜都市,宜都市陆城街道社区卫生服务中心,宜都市陆城街办园林大道160号,0717-4950090
58,宜都市,宜都市松宜矿区卫生院,宜都市枝城镇城坡垴路40号,0717-4664899
59,枝江市,枝江市人民医院,枝江市马家店街道友谊大道61号,0717—4516093
60,枝江市,枝江市中医医院,枝江市马家店街道团结路18号,0717-4212510
61,枝江市,枝江市妇幼保健院,枝江市马家店街道民主大道111号,18272260120
62,枝江市,枝江市七星台镇卫生院,枝江市七星台镇滨江路35号,0717-4504120
63,枝江市,枝江市仙女镇卫生院,仙女镇新正街29号,18727215998
64,枝江市,枝江市问安镇中心卫生院,枝江市问安镇万安路25号,13317206950
65,枝江市,枝江市百里洲镇中心卫生院,枝江市百里洲镇市场路23号,19307179120/0717-6050120
66,枝江市,枝江市安福寺镇中心卫生院,枝江市安福寺镇玛瑙河大道153号,0717-4461999/0717-4460120
67,枝江市,枝江市董市镇卫生院,枝江市董市镇金盆山大道25号,18995915120
68,枝江市,枝江市顾家店镇卫生院,枝江市顾家店镇曹廷杰大道25号,0717-4160120
69,当阳市,当阳市人民医院,当阳市玉阳路71号,0717-3232735
70,当阳市,当阳市中医医院,当阳市玉阳办事处长坂路132号,0717-3901693
71,当阳市,当阳市妇幼保健计划生育服务中心,当阳市长坂路151号,0717-3227984
72,当阳市,当阳长坂坡医院,当阳市长坂坡路68号,0717-3903671
73,当阳市,当阳市玉阳街道社区卫生服务中心,当阳市长坂路88号,0717-3901528
74,当阳市,当阳市玉泉街道卫生院,当阳市玉泉街道干溪集镇,0717-3329229
75,当阳市,当阳市坝陵街道卫生院,当阳市坝陵车站路28号,0717-3530107
76,当阳市,当阳市庙前镇卫生院,当阳市庙前镇烟集街91号,0717-3430848
77,当阳市,当阳市王店镇卫生院,当阳市王店镇汉宜路102号,0717-3460270
78,当阳市,当阳市半月镇卫生院,当阳市半月镇马窑路97号,0717-3446307
79,当阳市,当阳市两河镇卫生院,当阳市两河镇麦城路58号,0717-3380056
