xh,xzqy,zgzg,hjjgs,yy,jcylwsjg,zyggwsjg,qtjg,tjnf
1,总计,33326,2642,94,2495,50,6,2024年
2,西陵区,6935,259,24,228,8,2,2024年
3,伍家岗区,6996,184,12,170,2,0,2024年
4,点军区,448,82,1,80,1,0,2024年
5,猇亭区,446,48,2,43,2,1,2024年
6,夷陵区,2753,321,10,307,3,1,2024年
7,远安县,1383,176,3,170,3,0,2024年
8,兴山县,1250,150,4,144,2,0,2024年
9,秭归县,1719,225,3,219,3,0,2024年
10,长阳土家族自治县,2050,243,4,236,3,0,2024年
11,五峰土家族自治县,1040,136,2,131,3,0,2024年
12,宜都市,2876,245,7,222,14,2,2024年
13,当阳市,2714,260,8,249,3,0,2024年
14,枝江市,2716,313,14,296,3,0,2024年
15,总计,43796,3002,99,2861,35,7,2025年
16,西陵区,3196,310,19,287,1,3,2025年
17,伍家岗区,2607,270,11,258,1,0,2025年
18,点军区,529,91,1,88,2,0,2025年
19,猇亭区,593,48,2,44,2,0,2025年
20,夷陵区,4362,356,11,342,2,1,2025年
21,远安县,1615,190,4,183,3,0,2025年
22,兴山县,1602,163,3,158,2,0,2025年
23,秭归县,2650,285,3,279,3,0,2025年
24,长阳土家族自治县,2724,261,5,254,2,0,2025年
25,五峰土家族自治县,1362,135,2,130,3,0,2025年
26,宜都市,3194,250,8,238,3,1,2025年
27,当阳市,3631,270,9,258,3,0,2025年
28,枝江市,3205,323,13,307,3,0,2025年
29,宜昌高新区,315,38,0,35,1,2,2025年
30,宜昌市直,12211,12,8,0,4,0,2025年
