xh,mc,lx,dz,lxdh
1,宜昌市急救中心,急救中心,湖北省宜昌市西陵区兰台路37号,0717-6222120
2,宜都市急救中心,急救中心,湖北省宜昌市宜都市陆城街道城河大道189号,0717-4903110
3,枝江市急救中心,急救中心,湖北省宜昌市枝江市董市镇金盆山大道165号,0717-4202012
4,当阳市急救中心,急救中心,湖北省宜昌市当阳市玉泉街道学府路9号,0717-3535120/3536120
5,远安县急救中心,急救中心,宜昌市远安县鸣凤镇解放路306号,0717-3897010
6,兴山县急救中心,急救中心,湖北省宜昌市兴山县古夫镇香溪大道23号,0717-2527120
7,秭归县急救中心,急救中心,湖北省宜昌市秭归县茅坪镇南郡大道9号,0717-2880120
8,长阳土家族自治县急救中心,急救中心,宜昌市长阳土家族自治县龙舟坪镇龙舟大道72号,0717-5331120
9,五峰土家族自治县急救中心,急救中心,湖北省宜昌市五峰土家族自治县渔洋关镇古潭路25号,0717-5756120
10,夷陵区急救中心,急救中心,湖北省宜昌市夷陵区东湖大道32号,0717-7532666
11,宜昌市急救中心宜昌市中心人民医院伍家院区急救站,急救站,宜昌市伍家岗区夷陵大道183号,0717-6486120
12,宜昌市急救中心宜昌市中心人民医院西陵院区急救站,急救站,湖北省宜昌市西陵区湖堤街4号,0717-6222800
13,宜昌市急救中心第二人民医院急救站,急救站,湖北省宜昌市西陵区西陵一路21号,0717-6211120
14,宜昌市急救中心三峡大学附属仁和医院急救站,急救站,宜昌市伍家岗区夷陵大道410号,0717-6551829
15,宜昌市急救中心国药葛洲坝中心医院急救站,急救站,湖北省宜昌市西陵区樵湖一路60号,0717-6714303
16,宜昌市急救中心第五人民医院急救站,急救站,湖北省宜昌市猇亭区正大路38号,0717-6510120
17,宜昌市急救中心市中心人民医院三峡坝区分院急救站,急救站,湖北省宜昌市夷陵区三峡坝区十六小区,0717-6765959
18,宜昌市急救中心市中心人民医院江南院区急救站,急救站,湖北省宜昌市点军区点军乡五龙大道3号,0717-6672120
19,宜昌市急救中心市中心人民医院白洋分院急救站,急救站,湖北省宜昌市枝江市白洋镇白洋大道1号,0717-4400120
20,宜昌市急救中心市二医院桥边急救站,急救站,宜昌市点军区虎周公路与将军路交叉路口往东南约60米,19164201120
21,宜昌市优抚医院急救站,急救站,宜昌市西陵区厦门路2号,18008601041
