xh,xq,wcxxzd,wz,lxfs
1,西陵区,中心血站献血大厅（固定点）,大连路5号,6345103
2,西陵区,九州爱心献血屋（固定点）,西陵区九州大厦爱尔医院门前,6345600
3,伍家岗,万达爱心献血屋（固定点）,万达金街188-24号,6282102
4,伍家岗,环球港爱心献血屋（固定点）,中南路环球港停车场,6346399
5,夷陵区,夷陵区爱心献血屋（固定点）,夷陵区东湖停车场,7823118
6,西陵区,三峡大学“小黄鸭”爱心献血车（固定点）,三峡大学西苑食堂门前,18972591328
7,当阳,当阳爱心献血屋（固定点）,当阳市北山超市旁,3259116
8,枝江,枝江爱心献血屋（固定点）,枝江市五柳公园西门,4233364
9,长阳,长阳爱心献血屋（固定点）,长阳县长阳广场,5325138
10,宜都,宜都爱心献血屋（固定点）,宜都市中国邮政对面,4815123
11,远安,远安爱心献血屋（固定点）,远安县四管一中心凤仪路1号（网红桥对面）,3815656
12,秭归,秭归爱心献血车（街头流动献血点、适时停放）,秭归坝头公园,18972510552
13,五峰,五峰爱心献血车（街头流动献血点、适时停放）,五峰县渔洋关镇县人民医院门前,18907208890
14,兴山,兴山爱心献血车（街头流动献血点、适时停放）,兴山县古夫镇昭君山庄,18907209128
15,高新区,泰富广场爱心献血车（街头流动献血点、适时停放）,泰富广场停车场,18907208890
16,西陵区,三峡大学沁苑爱心献血车（街头流动献血点、适时停放）,三峡大学沁苑,18907209128
17,西陵区,三峡大学东苑爱心献血车（街头流动献血点、适时停放）,三峡大学东苑,18907208890
18,西陵区,三峡大学南苑爱心献血车（街头流动献血点、适时停放）,三峡大学南苑,18907208890
19,西陵区,大洋百货爱心献血车（街头流动献血点、适时停放）,西陵区大洋百货南门,18907209128
20,西陵区,星光天地爱心献血车（街头流动献血点、适时停放）,胜利四路星光天地,18907209128
21,西陵区,步行街流动爱心献血车（街头流动献血点、适时开放）,环城南路与时代广场交汇处,18907208890
22,伍家岗,五一广场爱心献血车（街头流动献血点、适时停放）,五一广场剧院门前,18907208890
23,伍家岗,盛景广场爱心献血车（街头流动献血点、适时停放）,盛景广场（原金欣广场）,18907209128
24,夷陵区,夷陵区万达广场（街头流动献血点、适时停放）,夷陵区万达广场,18972510552
