xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
1,陆城宝塔湾村卫生室,村卫生室,宜都市,7610,,2024年
2,红花套周家河村卫生室,村卫生室,宜都市,5398,,2024年
3,红花套吴家岗村卫生室,村卫生室,宜都市,11412,,2024年
4,红花套南桥村卫生室,村卫生室,宜都市,9121,,2024年
5,红花套镇红花套村卫生室,村卫生室,宜都市,5092,,2024年
6,红花套鄢沱村卫生室,村卫生室,宜都市,8415,,2024年
7,红花套渔洋溪村卫生室,村卫生室,宜都市,5713,,2024年
8,红花套窑坡垴村卫生室,村卫生室,宜都市,7103,,2024年
9,红花套大溪村卫生室,村卫生室,宜都市,3810,,2024年
10,红花套杨家畈村卫生室,村卫生室,宜都市,7512,,2024年
11,潘家湾乡潘家湾村卫生室,村卫生室,宜都市,8072,,2024年
12,陆城街道红春社区卫生室,村卫生室,宜都市,6130,,2024年
13,陆城解放社区卫生室,村卫生室,宜都市,14623,,2024年
14,陆城车家店村卫生室,村卫生室,宜都市,10858,,2024年
15,陆城十里铺村卫生室,村卫生室,宜都市,14071,,2024年
16,陆城头笔社区卫生室,村卫生室,宜都市,5310,,2024年
17,陆城尾笔村卫生室,村卫生室,宜都市,6452,,2024年
18,陆城中笔社区卫生室,村卫生室,宜都市,5410,,2024年
19,陆城驿马冲村卫生室,村卫生室,宜都市,10997,,2024年
20,陆城龙窝村卫生室,村卫生室,宜都市,5521,,2024年
21,陆城亮家垴村卫生室,村卫生室,宜都市,6352,,2024年
22,陆城三江村卫生室,村卫生室,宜都市,4341,,2024年
23,陆城太保湖村卫生室,村卫生室,宜都市,7723,,2024年
24,红花套社区居委会卫生室,村卫生室,宜都市,4910,,2024年
25,高坝洲曾家岗村卫生室,村卫生室,宜都市,9365,,2024年
26,高坝洲陈家岗村卫生室,村卫生室,宜都市,7810,,2024年
27,高坝洲皓光村卫生室,村卫生室,宜都市,9712,,2024年
28,高坝洲宋山冲村卫生室,村卫生室,宜都市,8815,,2024年
29,高坝洲大战坡村卫生室,村卫生室,宜都市,9215,,2024年
30,高坝洲青林寺村卫生室,村卫生室,宜都市,8012,,2024年
31,高坝洲中坪村卫生室,村卫生室,宜都市,9880,,2024年
32,高坝洲白洪溪村卫生室,村卫生室,宜都市,9788,,2024年
33,高坝洲白鸭垴村卫生室,村卫生室,宜都市,9996,,2024年
34,高坝洲天平山村卫生室,村卫生室,宜都市,7616,,2024年
35,高坝洲湾市村卫生室,村卫生室,宜都市,9586,,2024年
36,聂家河白家淌村卫生室,村卫生室,宜都市,2885,,2024年
37,聂家河王家坪村卫生室,村卫生室,宜都市,3120,,2024年
38,聂家河肖家隘村卫生室,村卫生室,宜都市,6613,,2024年
39,聂家河凤凰池村卫生室,村卫生室,宜都市,4458,,2024年
40,聂家河柑子园村卫生室,村卫生室,宜都市,3891,,2024年
41,聂家河肖家岗村卫生室,村卫生室,宜都市,4486,,2024年
42,聂家河镇聂家河村卫生室,村卫生室,宜都市,3563,,2024年
43,聂家河邓家桥村卫生室,村卫生室,宜都市,3675,,2024年
44,聂家河丁家坪村卫生室,村卫生室,宜都市,2812,,2024年
45,松木坪徐家湾村卫生室,村卫生室,宜都市,12102,,2024年
