xh,jgmc,wsjglb,xzqh,mzzlrc,bz,tjsj
1,陆城街道八字桥社区医务室,社区卫生机构,宜都市,1095,,2024年
2,陆城街道清江社区医务室,社区卫生机构,宜都市,187,,2024年
3,陆城街道名都社区医务室,社区卫生机构,宜都市,879,,2024年
4,陆城街道胜利社区医务室,社区卫生机构,宜都市,381,,2024年
5,陆城街道锦江社区医务室,社区卫生机构,宜都市,878,,2024年
6,陆城街道东风社区医务室,社区卫生机构,宜都市,401,,2024年
7,宜都市陆城街道社区卫生服务中心,社区卫生机构,宜都市,64432,,2024年
8,枝江市马家店街道办事处双寿桥社区卫生服务站,社区卫生机构,枝江市,6138,,2024年
9,枝江市马家店街道办事处计划社区卫生服务站,社区卫生机构,枝江市,5197,,2024年
10,枝江市马家店街道办事处拽车社区卫生服务站,社区卫生机构,枝江市,9458,,2024年
11,枝江市马家店街道办事处余家溪社区卫生服务站,社区卫生机构,枝江市,5786,,2024年
12,枝江市马家店街道丹阳社区卫生服务站,社区卫生机构,枝江市,6888,,2024年
13,枝江市马家店街道七口堰社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
14,枝江市马家店街道五柳树社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
15,枝江市马家店街道杨家垱社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
16,枝江市马家店街道沱江社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
17,枝江市马家店街道江口社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
18,枝江市马家店街道谦泰吉社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
19,枝江市马家店街道丰坪巷社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
20,枝江市马家店街道清滩堰社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
21,枝江市马家店街道熊家窑社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
22,枝江市马家店街道白鸭寺社区医务室,社区卫生机构,枝江市,,该医务室没有数据，是因为数据包含在所属社区卫生服务中心里面。,2024年
23,枝江市马家店街道社区卫生服务中心,社区卫生机构,枝江市,66136,,2024年
