xh,jgmc,wsjglb,xzqh,dj,mzzlrc,bz,tjsj
1,宜都市人民医院,综合医院,宜都市,三级,357566,,2024年
2,宜都博仁医院,综合医院,宜都市,一级及未评级,4425,,2024年
3,宜都天宜医院,综合医院,宜都市,一级及未评级,13694,,2024年
4,宜昌康馨优养医院,综合医院,宜都市,一级及未评级,,统计数据时医院刚开业,2024年
5,枝江市人民医院,综合医院,枝江市,三级,362559,,2024年
6,枝江三宁医院,综合医院,枝江市,一级及未评级,11482,,2024年
7,枝江健桥医院,综合医院,枝江市,一级及未评级,7522,,2024年
8,枝江石化医院,综合医院,枝江市,一级及未评级,28861,,2024年
9,当阳市人民医院,综合医院,当阳市,三级,403871,,2024年
10,当阳百姓医院,综合医院,当阳市,一级及未评级,53949,,2024年
11,当阳长坂坡医院,综合医院,当阳市,二级,74664,,2024年
12,远安县人民医院,综合医院,远安县,二级,251023,,2024年
13,兴山县人民医院(兴山县妇幼保健院、兴山县妇幼保健计划生育服务中心),综合医院,兴山县,二级,317148,,2024年
14,秭归县人民医院,综合医院,秭归县,二级,364603,,2024年
15,长阳惠康医院,综合医院,长阳土家族自治县,一级及未评级,15743,,2024年
16,长阳土家族自治县人民医院,综合医院,长阳土家族自治县,二级,248909,,2024年
17,五峰土家族自治县人民医院,综合医院,五峰土家族自治县,二级,178204,,2024年
18,宜昌市夷陵医院,综合医院,夷陵区,三级,466445,,2024年
19,夷陵时作霖医院,综合医院,夷陵区,一级及未评级,5080,,2024年
20,夷陵阳光医院,综合医院,夷陵区,一级及未评级,12210,,2024年
21,宜昌家和医院,综合医院,夷陵区,二级,34748,,2024年
22,宜昌市第二人民医院,综合医院,市直管,三级,542511,,2024年
23,国药葛洲坝中心医院,综合医院,市直管,三级,267901,,2024年
24,宜昌市第一人民医院,综合医院,市直管,三级,1152140,,2024年
25,宜昌肛泰医院,综合医院,西陵区,一级及未评级,7944,,2024年
26,国营四零三厂职工医院,综合医院,西陵区,一级及未评级,4361,,2024年
27,三峡大学校医院,综合医院,西陵区,一级及未评级,39251,,2024年
28,国药西陵医养结合医院,综合医院,西陵区,一级及未评级,,统计数据时医院未开业,2024年
29,三峡大学附属仁和医院,综合医院,市直管,三级,506566,,2024年
30,宜昌市中心人民医院（三峡大学第一临床医学院）,综合医院,市直管,三级,2114666,,2024年
31,宜昌长航医院,综合医院,市直管,二级,15649,,2024年
32,宜昌长航医院东院,综合医院,市直管,二级,79977,,2024年
33,宜昌首大医院,综合医院,伍家岗区,一级及未评级,152,,2024年
34,点军区人民医院（宜昌市中心人民医院江南院区),综合医院,点军区,一级及未评级,,数据包含在市中心医院（伍家岗院区），以市中心医院（伍家岗院区）为准。,2024年
35,宜昌市第五人民医院,综合医院,猇亭区,二级,111598,,2024年
36,宜昌市中心人民医院三峡坝区分院（三峡坝区急救中心）,综合医院,市直管,一级及未评级,19466,,2024年
37,湖北三峡职业技术学院附属医院,综合医院,市直管,二级,78924,,2024年
38,宜昌民福医院,综合医院,市直管,二级,26715,,2024年
39,宜都市人民医院,综合医院,宜都市,三级,359297,,2025.6
40,宜昌康馨优养医院,综合医院,宜都市,一级及未定级,3546,,2025.6
41,宜都天宜医院,综合医院,宜都市,一级及未定级,14632,,2025.6
42,宜都博仁医院,综合医院,宜都市,一级及未定级,4115,,2025.6
43,枝江市人民医院,综合医院,枝江市,三级,385880,,2025.6
44,枝江健桥医院,综合医院,枝江市,一级及未定级,7346,,2025.6
45,枝江三宁医院,综合医院,枝江市,一级及未定级,11162,,2025.6
46,枝江石化医院,综合医院,枝江市,一级及未定级,31225,,2025.6
47,当阳长坂坡医院,综合医院,当阳市,二级,81434,,2025.6
48,当阳市人民医院,综合医院,当阳市,三级,399237,,2025.6
49,当阳百姓医院,综合医院,当阳市,一级及未定级,50724,,2025.6
50,远安县人民医院,综合医院,远安县,二级,249844,,2025.6
51,兴山县人民医院(兴山县妇幼保健院、兴山县妇幼保健计划生育服务中心),综合医院,兴山县,三级,267835,,2025.6
52,秭归县人民医院,综合医院,秭归县,三级,334199,,2025.6
53,长阳土家族自治县人民医院,综合医院,长阳县,三级,248942,,2025.6
54,长阳惠康医院,综合医院,长阳县,一级及未定级,16450,,2025.6
55,五峰土家族自治县人民医院,综合医院,五峰县,三级,190402,,2025.6
56,宜昌家和医院,综合医院,夷陵区,二级,34965,,2025.6
57,宜昌市夷陵医院,综合医院,夷陵区,三级,463866,,2025.6
58,夷陵阳光医院,综合医院,夷陵区,一级及未定级,15931,,2025.6
59,夷陵时作霖医院,综合医院,夷陵区,一级及未定级,5022,,2025.6
60,宜昌民福医院,综合医院,西陵区,二级,28325,,2025.6
61,三峡大学校医院,综合医院,西陵区,一级及未定级,44146,,2025.6
62,国药西陵医养结合医院,综合医院,西陵区,一级及未定级,2900,,2025.6
63,宜昌肛泰医院,综合医院,西陵区,一级及未定级,10165,,2025.6
64,宜昌市中心人民医院三峡坝区分院（三峡坝区急救中心）,综合医院,西陵区,一级及未定级,19591,,2025.6
65,宜昌长航医院东院,综合医院,伍家岗区,二级,99725,,2025.6
66,宜昌长航医院,综合医院,伍家岗区,二级,14188,,2025.6
67,宜昌首大医院,综合医院,伍家岗区,一级及未定级,5448,,2025.6
68,点军区人民医院（宜昌市中心人民医院江南院区),综合医院,点军区,一级及未定级,,数据包含在市中心医院（伍家岗院区），以市中心医院（伍家岗院区）为准！,2025.6
69,宜昌市第五人民医院,综合医院,猇亭区,二级,112066,,2025.6
70,湖北三峡职业技术学院附属医院,综合医院,宜昌市直,二级,82288,,2025.6
71,宜昌市中心人民医院（三峡大学第一临床医学院、三峡大学附属中心人民医院）,综合医院,宜昌市直,三级,3437518,,2025.6
72,宜昌市第二人民医院,综合医院,宜昌市直,三级,562210,,2025.6
73,国药葛洲坝中心医院,综合医院,宜昌市直,三级,282574,,2025.6
74,三峡大学附属仁和医院,综合医院,宜昌市直,三级,472977,,2025.6
