xh,jgmc,zzjgdm,jjlx,wsjglb,jgflgl,sfggwsjg,xzqh
1,宜都市幼儿园医务室,PDY842882,公立,诊所类,非营利性医疗机构,,宜都市
2,枝城镇卫生院二中医务室,PDY848942,公立,诊所类,非营利性医疗机构,,宜都市
3,宜都市福利康复医疗医务室,PDY842938,公立,诊所类,非营利性医疗机构,,宜都市
4,宜都市疾病预防控制中心门诊部,PDY842698,公立,诊所类,非营利性医疗机构,,宜都市
5,宜都市一医院看守所医务室,PDY003819,公立,诊所类,非营利性医疗机构,,宜都市
6,宜都致康医药有限公司博泰诊所,PDY850946,民营,诊所类,营利性医疗机构,,宜都市
7,宜都陆城大光明眼科诊所,PDY851340,民营,诊所类,营利性医疗机构,,宜都市
8,宜都王家畈向海琴口腔诊所,PDY844829,民营,诊所类,营利性医疗机构,,宜都市
9,宜都杨开新诊所,PDY843690,民营,诊所类,营利性医疗机构,,宜都市
10,宜都郭怀诊所,PDY843893,民营,诊所类,营利性医疗机构,,宜都市
11,宜都陆城白伟杰诊所,PDY84313X,民营,诊所类,营利性医疗机构,,宜都市
12,宜都星瑞国悦福诊所,PDY851033,民营,诊所类,营利性医疗机构,,宜都市
13,宜都博鑫源诊所,PDY85068X,民营,诊所类,营利性医疗机构,,宜都市
14,宜都余云芬诊所,PDY850620,民营,诊所类,营利性医疗机构,,宜都市
15,博众口腔宜都门诊部,PDY851228,民营,诊所类,营利性医疗机构,,宜都市
16,宜都济和堂诊所,PDY851455,民营,诊所类,营利性医疗机构,,宜都市
17,美天双美医疗美容诊所,PDY851498,民营,诊所类,营利性医疗机构,,宜都市
18,宜都同源堂诊所,PDY85148X,民营,诊所类,营利性医疗机构,,宜都市
19,清风中医诊所,PDY850866,民营,诊所类,营利性医疗机构,,宜都市
20,宜都邓永祥诊所,PDY84436X,民营,诊所类,营利性医疗机构,,宜都市
21,宜都康民诊所,PDY00263X,民营,诊所类,营利性医疗机构,,宜都市
22,宜都陆城王文权口腔诊所,PDY843586,民营,诊所类,营利性医疗机构,,宜都市
23,宜都鲁国华诊所,PDY843623,民营,诊所类,营利性医疗机构,,宜都市
24,宜都贾辉光中医诊所,PDY849056,民营,诊所类,营利性医疗机构,,宜都市
25,宜都陆城安鑫诊所,PDY850815,民营,诊所类,营利性医疗机构,,宜都市
26,宜都宜乐美口腔诊所,PDY002373,民营,诊所类,营利性医疗机构,,宜都市
27,宜都王作炎诊所,PDY843092,民营,诊所类,营利性医疗机构,,宜都市
28,宜都陈廷华诊所,PDY844335,民营,诊所类,营利性医疗机构,,宜都市
29,宜都枝城镇李群英诊所,PDY842970,民营,诊所类,营利性医疗机构,,宜都市
30,唐品眼镜有限公司宜都眼科诊所,PDY851236,民营,诊所类,营利性医疗机构,,宜都市
31,宜都张泽永中医诊所,PDY851404,民营,诊所类,营利性医疗机构,,宜都市
32,宜都枝城镇大堰杨兆柱诊所,PDY843252,民营,诊所类,营利性医疗机构,,宜都市
33,黄志强口腔诊所,PDY851201,民营,诊所类,营利性医疗机构,,宜都市
34,宜都战友内科诊所,PDY843375,民营,诊所类,营利性医疗机构,,宜都市
35,宜都陆城杨贤中中医诊所,PDY84903X,民营,诊所类,营利性医疗机构,,宜都市
36,宜都德信诊所,PDY851332,民营,诊所类,营利性医疗机构,,宜都市
37,宜都黎佑春诊所,PDY851463,民营,诊所类,营利性医疗机构,,宜都市
38,宜都陆城厚德诊所,PDY851025,民营,诊所类,营利性医疗机构,,宜都市
39,宜都冉涛诊所,PDY85121X,民营,诊所类,营利性医疗机构,,宜都市
40,宜都蒋云中医诊所,PDY848459,民营,诊所类,营利性医疗机构,,宜都市
41,宜都枝城镇杨兆林诊所,PDY850655,民营,诊所类,营利性医疗机构,,宜都市
42,宜都枝城金革诊所,PDY842671,民营,诊所类,营利性医疗机构,,宜都市
43,宜都邓治莲诊所,PDY848571,民营,诊所类,营利性医疗机构,,宜都市
44,宜都花堰口腔诊所,PDY843324,民营,诊所类,营利性医疗机构,,宜都市
45,宜都宜华大道范红诊所,PDY843199,民营,诊所类,营利性医疗机构,,宜都市
46,宜都罗利峰康复诊所,PDY002904,民营,诊所类,营利性医疗机构,,宜都市
47,宜都家福养老院医务室,PDY848539,民营,诊所类,非营利性医疗机构,,宜都市
48,宜都名都樊凤口腔诊所,PDY842823,民营,诊所类,营利性医疗机构,,宜都市
49,宜都伊星医疗美容诊所,MAC3815G0,民营,诊所类,营利性医疗机构,,宜都市
50,宜都傅清成中医诊所,PDY843340,民营,诊所类,营利性医疗机构,,宜都市
51,宜都星瑞上街头诊所,PDY843076,民营,诊所类,营利性医疗机构,,宜都市
52,宜都陆城曾庆斌诊所,PDY843017,民营,诊所类,营利性医疗机构,,宜都市
