xh,xsq,dwmc,fwlx,xxdz,lxdh,gzsj
1,西陵区,"葛洲坝东山社区卫生服务
中心接种门诊",儿童、成人接种；狂犬病暴露处置,宜昌市西陵区樵湖一路48号,0717-6713452,儿童接种：周一至周六上午8：00-11：30，周一至周五下午14：30-17：00。狂犬门诊：周一至周日上午8：00-11：00，下午14：30-17：00。
2,西陵区,"西坝社区卫生服务
中心接种门诊",儿童、成人接种,宜昌市西坝建设路10号,0717-6272898,周一、三、五、六上午8：00-11：30
3,西陵区,樵湖岭社区卫生服务站,儿童、成人接种,宜昌市西陵区西陵街道北门外正街11号,0717-6770271,周一到周五上午8：30-11：30，下午14：30-17：00
4,西陵区,"西陵社区卫生服务
中心接种门诊",儿童、成人接种,宜昌市西陵二路64号,0717-6832961,周一至周六上午8：00-11：30 ，下午14：00-17：00
5,西陵区,葛洲坝东湖社区卫生服务中心接种门诊,儿童、成人接种,宜昌市西陵区东山大道31号,0717-6711505,周一至周六上午8：00-12：00 ，下午14：30-17：30
6,西陵区,"学院社区卫生服务
中心接种门诊",儿童、成人接种,墨池巷社区医务室（墨池巷社区党员群众服务中心旁、中百罗森旁）,0717-6737995,周一至周六上午8：30-11：30，下午14：30-17：00
7,西陵区,"云集社区卫生服务
中心接种门诊
",儿童、成人接种,宜昌市西陵区福绥路45号,0717-6222127,周一至周六上午8：30-11：30，下午14：30-17：00
8,西陵区,宜昌市中心人民医院西陵院区狂犬暴露门诊,狂犬暴露处置,宜昌市西陵区解放路2号,0717-6222800,周一至周日24小时
9,西陵区,三峡坝区社区卫生服务中心,儿童、成人接种；狂犬病暴露处置,宜昌市三峡坝区十六小区,0717-6763352,周一到周五上午8：00-11：30，下午14：：30-17：00
10,西陵区,"三峡大学校医院
接种点",儿童、成人接种,宜昌市西陵区云林路34号,0717-6392148,周一至周五、周日上午8：30-11：30，下午14：30-17：00
11,西陵区,宜昌市中心人民医院西陵院区产科接种点,产科接种,宜昌市西陵区解放路2号,0717-6287704,24小时
12,西陵区,宜昌市第二人民医院预防接种门诊,成人接种；狂犬病暴露处置,宜昌市西陵区西陵一路21号,0717-6213079、6211120,"成人门诊：周一至周五上午8：00-11：30，下午14：30-17：00。
犬伤周一至周日24小时"
13,西陵区,美年大健康成人预防接种门诊,成人接种,宜昌市西陵区体育场北路169-2号,0717-6980989,周一至周六上午7：30-11：30
14,西陵区,宜昌市二医院产科接种点,产科接种,宜昌市西陵一路21号,0717-6211040,24小时
15,西陵区,国药葛洲坝中心医院产科接种点,产科接种,宜昌市樵湖一路60号,0717-6720194,24小时
16,西陵区,"宜昌高新区东山社区卫生服务中心
接种门诊",儿童、成人接种；狂犬病暴露处置,宜昌市港窑路54号,0717-6342120,儿童、成人接种周一到周六，上午8：00—11：30，下午14：30—17：00。狂犬疫苗门诊周一至周日：上午8：00—11：30，下午14：30—17：00
17,西陵区,"宜昌高新区东山社区卫生服务中心
楠海花园接种门诊",儿童、成人接种,宜昌市城东大道36号,0717-6342496,儿童、成人接种周一到周六，上午8：00—11：30，下午14：30—17：00。
