ssxzqh,bm,mc,lx,lb
420502,H42010402863,国药西坝建设路卫生所,定点医疗机构,卫生所（室）                  
420502,H42050200001,宜昌市优抚医院（宜昌市精神卫生中心）,定点医疗机构,精神病医院        
420502,H42050200005,宜昌市第二人民医院（三峡大学第二人民医院）,定点医疗机构,综合医院            
420502,H42050200316,宜昌怡康皮肤病医院,定点医疗机构,皮肤病医院        
420502,H42050200362,宜昌高新向进诊所,定点医疗机构,普通诊所                    
420502,H42050200365,宜昌市第一人民医院（三峡大学人民医院）,定点医疗机构,综合医院            
420502,H42050200366,宜昌高新区康城诊所,定点医疗机构,普通诊所                    
420502,H42050200367,夜明珠街道大堰湾社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050200368,宜昌西陵宜草堂业泰果园路诊所,定点医疗机构,普通诊所                    
420502,H42050200369,夜明珠街道望洲岗社区卫生服务站,定点医疗机构,卫生所（室）                  
420502,H42050200371,夜明珠街道平湖馨苑社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050200374,宜昌市康乃馨护理院,定点医疗机构,护理院                      
420502,H42050200375,宜昌正德骨科医院,定点医疗机构,综合医院            
420502,H42050200376,宜昌市自力医院,定点医疗机构,综合医院            
420502,H42050200377,宜昌华厦眼科医院,定点医疗机构,眼科医院          
420502,H42050200382,宜昌海工医院,定点医疗机构,综合医院            
420502,H42050200383,宜昌市西陵区西陵社区卫生服务中心（西陵区窑湾乡卫生院）,定点医疗机构,社区卫生服务中心
420502,H42050200384,葛洲坝东湖社区卫生服务中心,定点医疗机构,社区卫生服务中心
420502,H42050200385,宜昌瑞济中医医院,定点医疗机构,中医（综合）医院  
420502,H42050200386,宜昌市西陵区西坝街道桥北社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050200387,三峡大学校医院,定点医疗机构,综合医院            
420502,H42050200604,宜昌市西陵区云集社区卫生服务中心,定点医疗机构,社区卫生服务中心
420502,H42050200921,宜昌西陵龚大夫诊所,定点医疗机构,普通诊所                    
420502,H42050200922,宜昌西陵圣荣康盲医按摩诊所,定点医疗机构,其他诊所                    
420502,H42050201019,葛洲坝街道清波路社区卫生服务站,定点医疗机构,综合门诊部
420502,H42050201050,国药葛洲坝中心医院  三峡大学葛洲坝集团中心医院,定点医疗机构,综合医院            
420502,H42050201107,夜明珠街道肖家岗社区卫生服务站,定点医疗机构,社区卫生服务站
420502,H42050201451,宜昌爱合口腔医院,定点医疗机构,口腔医院          
420502,H42050201460,湖北三峡职院体育场路医务室,定点医疗机构,医务室                        
420502,H42050201461,国药葛洲坝金安岭门诊部,定点医疗机构,综合门诊部
420502,H42050201475,宜昌市西陵区百草堂诊所,定点医疗机构,普通诊所                    
420502,H42050201476,宜昌高新区江峡诊所,定点医疗机构,普通诊所                    
420502,H42050201477,宜昌西陵鸿雅堂诊所,定点医疗机构,普通诊所                    
420502,H42050201478,宜昌市西陵区美佳口腔诊所,定点医疗机构,口腔诊所                    
420502,H42050201479,宜昌西陵适美口腔诊所,定点医疗机构,口腔诊所                    
