xh,szqy,lpmc,lpdz,jsdwmc,jhjfsj,xsrx
1,西陵区,金安东诚,西陵一路15号,宜昌均瑞房地产开发有限公司,现房,0717-6066666
2,西陵区,宜昌中心·雍华阁,环城东路11号,宜昌均瑞房地产开发有限公司,现房,0717-6066666
3,西陵区,御景天地,峡州大道与大连路交汇处,宜昌均瑞房地产开发有限公司,现房,0717-6066666
4,西陵区,美岸长堤三期,沿江大道-献福路-人民路合围地块,宜昌市嘉禾置业有限公司,现房,0717-6625666
5,西陵区,城发·见山,峡州大道53号,宜昌海盛置业有限公司,现房,0717-6788888
6,西陵区,城发·领尚,体育场路42号,宜昌市隆昌房地产开发有限公司,现房,0717-6353666
7,西陵区,阳光城文澜府,青岛路与汕头路交汇处,宜昌腾顺阳光城房地产开发有限公司,现房,15871602030
8,西陵区,大家·晴川明月,珍珠路2号,宜昌大家置业有限公司,现房,0717-6676666
9,西陵区,宜昌中心·紫宸府,学院街9号,宜昌均瑞房地产开发有限公司,2024.10.31,0717-6066666
10,西陵区,城发·首座,西陵一路38号,宜昌国赢置业有限公司,2025.12.31,0717-6771111
11,伍家岗区,江畔大地,沿江大道200号,宜昌市泰江置业有限公司,现房,0717-6551333
12,伍家岗区,龙盘湖,伍临路99号,宜昌三峡鸿铭旅游地产开发有限公司,现房,0717-6216666
13,伍家岗区,碧桂园·凤凰城,白沙路,宜昌源源碧桂园房地产开发有限公司,现房,0717-6433333
14,伍家岗区,城市旅游客厅,东站路,交投嘉华（宜昌）城市发展,现房,0717-6218888
15,伍家岗区,城发·著山,花溪路69号,宜昌城市更新投资开发有限公司,现房,13508603816
16,伍家岗区,三峡国际人城,夷陵大道316号,宜昌市房地产投资开发有限公司,现房,0717-6226555
17,伍家岗区,梧桐邑,东站路2号,宜昌华鹏置业有限公司,现房,13177071713
18,伍家岗区,天创·揽月府,白洋路,湖北天创臻远置业有限公司,现房,0717-6563333
19,伍家岗区,清江·月亮湾,城东大道115号,宜昌清能广源投资发展有限责任公司,现房,0717-6938888
20,伍家岗区,城发·时代印,白沙二路2号,宜昌市国晟房地产开发有限公司,现房,0717-6469999
21,伍家岗区,山水如画CD地块,沿江大道236号,湖北宜顺房地产发展有限公司,"现房（1、2、5、6、8、9、10号楼）
2025.6.30.（11号楼）",0717-6699999
22,伍家岗区,万科·城市之光,合益路,宜昌宏广程房地产开发有限公司,"现房（1、2、4、6号楼）
2024.12.30（7、9号楼）",0717-6355999
23,伍家岗区,宏辰悦澜山,金龙路与合东路交汇处,宜昌宏辰置业有限公司,2025.4.30,0717-6986666
24,伍家岗区,天创·览江府,夷陵大道与杨岔路交汇处北侧,湖北天创臻至置业有限公司,2025.6.30,0717-6399999
25,伍家岗区,宝业沁园一期,夷陵大道与江景一街交汇处,宜昌宝业房地产有限公司,2025.9.30,0717-8588888
26,点军区,樾山A地块,五龙路38号,宜昌市城市建设投资开发有限公司,现房,15872524567
27,点军区,樾山C地块,五龙路41号,宜昌城市更新投资开发有限公司,现房,15872524567
28,点军区,城发·智禧湾,点军大道偏岩路1号,宜昌城投房地产开发有限公司,现房,0717-6678891
29,点军区,江南·URD那溪谷二期,孝子岩路50号,宜昌江南文化旅游实业发展有限公司,现房,13469868791
30,点军区,映象江南,兴园路2号,宜昌市天盟房地产有限公司,现房,0717-6351999
31,点军区,江南星城,五龙一路,湖北宇星置业发展有限公司,现房,0717-6273333
32,点军区,高投·五龙源著,五联路7号,宜昌产投建设投资有限公司,现房,0717-6618888
33,点军区,城发·雨山前,孝子岩路19号,宜昌城投房地产开发有限公司,2024.7.1,0717-6300333
34,高新区,智慧城,生物园一路,宜昌万富工贸有限责任公司,现房,0717-7102555
35,高新区,雅廷阁,港城路6号,湖北雅廷阁置业,现房,0717-6981888
36,高新区,万科·宜翠锦城,港窑路与长机路交汇处,宜昌宏朗程房地产开发有限公司,"现房（1至3、5至8、11号楼）
2026.3.30（9号楼）
2024.12.30（12号楼）",0717-6556999
37,高新区,运河名都三期,港窑路与长机路交汇处,宜昌万寿置业有限公司,2024.8.31,0717-6529999
38,猇亭区,观山云筑,文体路 7号,宜昌鹏顺地产有限公司,现房,0717-6238888
39,猇亭区,春风十里一期,六泉湖路21号,宜昌锦昌置业有限公司,现房,0717-6683999
40,猇亭区,春风十里二期,六泉湖路21号,宜昌广华置业有限公司,现房,0717-6683999
41,猇亭区,春风壹品,正大路与金岭路交汇处,宜昌广华置业有限公司,现房,0717-6276888
42,夷陵区,碧桂园·云廷,东方大道与东城大道交汇,宜昌新豪东方房地产开发有限公司,现房,13886669493
43,夷陵区,玫瑰城,发展大道与罗河路交汇处,宜昌赢第置业有限公司,现房,13469859387
44,夷陵区,领秀龙城,龙泉镇,宜昌宏信房地产有限公司,现房,0717-7783999
45,夷陵区,保利·山海大观,夷兴大道8号,湖北鸿誉置业有限公司,现房,0717-7718888
46,夷陵区,万科理想城悦府,东方大道与东城路交汇处,宜昌宏展程房地产开发有限公司,现房,15571773399
47,夷陵区,繁荣世家,东湖路20号,宜昌盘石置业有限公司,现房,0717-6614777
48,夷陵区,宏信公园里,平云三路,宜昌宏信房地产有限公司,现房,13469859387
49,夷陵区,东湖雅居,东湖大道与锦江大道交汇处,宜昌经银合房地产开发有限公司,"现房（2、3、5、11、19号楼）
2024.9.25（1、18号楼）",0717-6929999
50,夷陵区,万科理想城,东方大道与东城路交汇处,宜昌宏立程房地产开发有限公司,2024.6.30,15571773399
51,夷陵区,亚景梅岭峰,东城试验区梅子垭路2号,宜昌亚景置业有限公司,"现房（Y1、Y2、L2、H1号楼）
2024年6月30日（L1号楼）",0717-7711011
52,夷陵区,中核·半岛城邦,夷陵区望江路1号,湖北中核房地产开发有限公司,现房,0717-6610888
