xh,lcmc,szsheng,szshi,szxian,jtdz,zgbm,jymj
1,国有当阳市郭家场林场,湖北省,宜昌市,当阳市,当阳市河溶镇郭家场村,当阳市自然资源和规划局,0.7245
2,国有当阳市九子山林场,湖北省,宜昌市,当阳市,当阳市车站路109号,当阳市自然资源和规划局,4.032
3,国有当阳市跑马岗林场,湖北省,宜昌市,当阳市,当阳市王店镇跑马村跑马集镇,当阳市自然资源和规划局,1.2885
4,国有当阳市香炉山林场,湖北省,宜昌市,当阳市,当阳市淯溪镇绿林山村,当阳市自然资源和规划局,1.3755
5,国有当阳市玉泉寺林场,湖北省,宜昌市,当阳市,当阳市玉泉风景区,当阳市自然资源和规划局,1.344
6,国有当阳市紫盖寺林场,湖北省,宜昌市,当阳市,当阳市半月镇紫盖寺林场98号,当阳市自然资源和规划局,0.54
7,国有大老岭林场管理处,湖北省,宜昌市,市直,宜昌市夷陵区邓村乡,宜昌市林业和园林局,9.0495
8,五峰后河国有实验林场,湖北省,宜昌市,市直,五峰土家族自治县五峰镇后河村,宜昌市林业和园林局,16.251
9,宜昌市国有金银岗试验林场,湖北省,宜昌市,市直,宜昌市夷陵区龙泉镇土门金银岗,宜昌市林业和园林局,0.5475
10,五峰县国有北风垭林场,湖北省,宜昌市,五峰县,五峰土家族自治县湾潭镇国有北风垭林场,五峰土家族自治县林业局,5.637
11,五峰县国有大花坪林场,湖北省,宜昌市,五峰县,五峰土家族自治县牛庄乡大花坪林场,五峰土家族自治县林业局,12.1665
12,五峰县国有壶瓶山林场,湖北省,宜昌市,五峰县,五峰土家族自治县长乐坪镇国有壶瓶山林场,五峰土家族自治县林业局,6.4995
13,兴山县国有坟埫坪林场,湖北省,宜昌市,兴山县,兴山县水月寺镇国有坟埫坪林场,兴山县林业局,8.163
14,兴山县国有龙门河林场,湖北省,宜昌市,兴山县,兴山县南阳镇龙门河村,兴山县林业局,6.9315
15,宜昌市夷陵区樟村坪林场,湖北省,宜昌市,夷陵区,宜昌市夷陵区樟村坪镇犁耳坪村一组,夷陵区林业局,10.707
16,宜都市松乐山林场,湖北省,宜昌市,宜都市,宜都市王家畈乡夏家湾村,宜都市自然资源和规划局,0.8805
17,远安县国有大堰林场,湖北省,宜昌市,远安县,远安县茅坪场镇大堰村,远安县林业局,10.32
18,远安县任家岗林场,湖北省,宜昌市,远安县,远安县洋坪镇任家岗村,远安县林业局,7.4535
19,长阳土家族自治县国营观坪林场,湖北省,宜昌市,长阳县,长阳土家族自治县鸭子口乡天柱山村,长阳土家族自治县林业局,1.062
20,长阳土家族自治县国营土地岭林场,湖北省,宜昌市,长阳县,长阳土家族自治县火烧坪乡青树包村三组,长阳土家族自治县林业局,2.0355
21,长阳土家族自治县国有银峰林场,湖北省,宜昌市,长阳县,长阳土家族自治县都镇湾镇响石村,长阳土家族自治县林业局,0.4155
22,秭归县国有九岭头林场发展保护中心,湖北省,宜昌市,秭归县,秭归县屈原镇九岭头村三组,秭归县林业局,5.439
