xh,zycp,dw,cl,btq,nf
1,发电量,万千瓦小时,10736,36.7,2007年
2,原煤,万吨,54,42.5,2007年
3,精制茶,吨,5639,54.2,2007年
4,化学原料药,吨,2214,30.6,2007年
5,卫生陶瓷,万件,464,-5.1,2007年
6,纱,吨,10101,10.4,2007年
7,硫酸（折１００%）,万吨,81,-0.2,2007年
8,磷酸铵肥,万吨,43,9.3,2007年
9,合成氨,万吨,26,24.2,2007年
10,精甲醇,吨,786,-84.4,2007年
11,水泥,万吨,343,9.3,2007年
12,输送机械,米,35646,29,2007年
13,民用钢质船舶,总吨 ,3500,-84.1,2007年
14,罐头,吨,39780,104.6,2007年
15,盐酸（含量３１%以上）,万吨,11,-4.1,2007年
16,化成箔,万平方米,2086,15.9,2007年
17,发电量,万千瓦小时,19465,81.1,2008年
18,原煤,万吨,64,19.2,2008年
19,精制茶,吨,7046,25,2008年
20,化学原料药,吨,1918,-13.3,2008年
21,卫生陶瓷,万件,497,7.2,2008年
22,纱,吨,11278,11.7,2008年
23,硫酸（折１００%）,万吨,73,-10.6,2008年
24,磷酸铵肥,万吨,47,9,2008年
25,合成氨,万吨,20,-3.3,2008年
26,水泥,万吨,336,7.5,2008年
27,输送机械,米,40623,22.4,2008年
28,民用钢质船舶,总吨 ,10516,200.5,2008年
29,罐头,吨,40203,1.1,2008年
30,盐酸（含量３１%以上）,万吨,6,-44.7,2008年
31,化成箔,万平方米,2142,2.7,2008年
32,发电量,万千瓦小时,18882,-3,2009年
33,原煤,万吨,60,-6.5,2009年
34,精制茶,吨,13105,86,2009年
35,化学原料药,吨,2950,53.8,2009年
36,卫生陶瓷,万件,650,30.8,2009年
37,纱,吨,13296,17.9,2009年
38,硫酸（折１００%）,万吨,79,8.9,2009年
39,磷酸铵肥,万吨,45,-5.5,2009年
40,合成氨,万吨,22,10.5,2009年
41,水泥,万吨,319,-1.4,2009年
42,输送机械,米,17369,7.7,2009年
43,罐头,吨,34806,-13.4,2009年
44,盐酸（含量31%以上）,万吨,11,94.6,2009年
45,化成箔,万平方米,1986,-7.3,2009年
46,发电量,万千瓦小时,300046,1489.1,2010年
47,原煤,万吨,66,16.4,2010年
48,精制茶,吨,24623,74.6,2010年
49,化学原料药,吨,3789,28.4,2010年
50,卫生陶瓷,万件,941,44.7,2010年
51,纱,吨,16031,20.6,2010年
52,硫酸（折100%）,万吨,78,-1.8,2010年
53,磷酸铵肥,万吨,46,2.4,2010年
54,合成氨,万吨,23,4.9,2010年
55,水泥,万吨,362,13.6,2010年
56,输送机械,米,22335,28.6,2010年
57,罐头,吨,44261,27.2,2010年
58,盐酸（含量31%以上）,万吨,11,-2.8,2010年
59,化成箔,万平方米,2199,10.8,2010年
60,发电量,万千瓦小时,323928,8,2011年
61,原煤,万吨,74.55,16.9,2011年
62,精制茶,吨,49809,124.2,2011年
63,化学原料药,吨,3454,-8.8,2011年
64,卫生陶瓷,万件,1121,19.1,2011年
65,纱,吨,11760,-26.6,2011年
66,硫酸（折100%）,万吨,76,-2.2,2011年
67,磷酸铵肥,万吨,43,-6.7,2011年
68,合成氨,万吨,23,-0.9,2011年
69,水泥,万吨,348,-4,2011年
70,输送机械,吨,37627,111.6,2011年
71,罐头,吨,74859,116.1,2011年
72,盐酸（含量31%以上）,万吨,9.6,-6.1,2011年
73,化成箔,万平方米,4136,88.1,2011年
74,化成箔,万平方米,4136,88.1,2011年
75,发电量,万千瓦小时,306367,-5.4,2012年
76,原煤,万吨,94,16.3,2012年
77,精制茶,吨,64512,18.9,2012年
78,化学原料药,吨,5205,50.7,2012年
79,卫生陶瓷,万件,1255,11.9,2012年
80,纱,吨,15285,30,2012年
81,硫酸（折100%）,万吨,70.55,-7,2012年
82,磷酸铵肥,万吨,41.1,-3.8,2012年
83,合成氨,万吨,22.81,-1,2012年
84,水泥,万吨,371.65,6.9,2012年
85,输送机械,吨,103152,70.5,2012年
86,罐头,吨,51820,-30.8,2012年
87,盐酸（含量31%以上）,万吨,10.11,5,2012年
88,化成箔,万平方米,4458.5,7.8,2012年
89,发电量,万千瓦小时,321394,4.9,2013年
90,精制茶,吨,117026,14.1,2013年
91,卫生陶瓷制品,万件,1387.36,10.5,2013年
92,化学药品原药,吨,5672,9,2013年
93,输送机械(输送机和提升机),吨,89728,46.1,2013年
94,水泥,万吨,473.5,27.4,2013年
95,纱,吨,6275,-58.9,2013年
96,硫酸（折100%）,吨,516224,-26.8,2013年
97,合成氨（无水氨）,吨,223343,-2.1,2013年
98,磷酸一铵（实物量）,吨,1049236,-5.2,2013年
99,罐头,吨,76529,47.7,2013年
100,"盐酸（氯化氢,含量31%）",吨,77945,-22.9,2013年
101,化成箔,万平方米,4501,1,2013年
