xh,xsq,byxz,yeymc,yeyxxdz,dh,bjf,hsf
1,西陵区,公办,宜昌市桃花岭幼儿园,西陵区云集街道桃花岭社区桃花岭2号,6911819,2250,2200
2,西陵区,公办,宜昌市平湖幼儿园,西陵区夜明珠街道夜明珠社区朝阳路105-19号,6625108,2000,2200
3,西陵区,公办,宜昌市童欣幼儿园,西陵区学院街道墨池巷社区献福路11号,6743250,2250,2200
4,西陵区,公办,宜昌市城建幼儿园,西陵区学院街道气象台社区西陵一路46号,6448371,2250,2200
5,西陵区,公办,宜昌市基建幼儿园,西陵区西陵街道香锦社区体育场路2-1号,6435202,2250,2200
6,西陵区,公办,宜昌市卫生幼儿园,西陵区云集街道夷陵路社区夷陵大道84号,6253689,2250,2200
7,西陵区,公办,宜昌市粮食幼儿园,西陵区云集街道二马路社区沿江大道106号,6221206,2000,2200
8,西陵区,公办,宜昌市西陵区晴川明月幼儿园,西陵区葛洲坝街道东方社区东湖一路与珍珠路交汇处,13807201816,1500,2200
9,西陵区,公办,宜昌市西陵区和塘悦舍幼儿园,西陵区窑湾街道峡州社区唐家湾36号,6577299,1500,2200
10,西陵区,公办,宜昌市西陵区御景天地幼儿园,西陵区窑湾街道朝阳路社区大连路66号,6286883,1500,2200
11,西陵区,公办,宜昌市西陵区北辰港湾幼儿园,西陵区西陵街道船柴社区西陵二路107-8-2,18908601091,1500,2200
12,西陵区,公办,宜昌市西陵区见山幼儿园,西陵区窑湾街道金斗山社区峡州大道53号,17762898177,1500,2200
13,西陵区,公办,宜昌市葛洲坝中心幼儿园,西陵区葛洲坝街道清波社区镇平路48号,6798091,2250,2200
14,西陵区,公办,宜昌市葛洲坝东山幼儿园,西陵区夜明珠街道常家湾社区肖家岗路20号,6713366,2250,2200
15,西陵区,公办,宜昌市葛洲坝西坝幼儿园,西陵区西坝街道幸福路社区建设路19号,6716750,2250,2200
16,西陵区,公办,宜昌市葛洲坝希望幼儿园,西陵区夜明珠街道英雄山社区望洲岗路39号,6718650,2000,2200
17,西陵区,公办,宜昌市葛洲坝蓓蕾幼儿园,西陵区夜明珠街道常家湾社区肖家岗路9号,6796698,1500,2200
18,西陵区,公办,宜昌市幼儿园,宜昌市青岛路11号,6399638,2250,2200
19,西陵区,公办,宜昌市国姿幼儿园,城东大道11附2号,6341681－606,2250,2200
20,西陵区,公办,宜昌市西陵区恒大帝景幼儿园,山河园路16号,6741780,2000,2200
21,西陵区,公办,宜昌市西陵区保利时代幼儿园,汕头路18号,6620696-805,1500,2200
22,西陵区,公办,宜昌市西陵区巴黎香颂幼儿园,城东大道71号,6212373,1500,2200
23,西陵区,公办,宜昌市西陵区颐和雅郡幼儿园,发展大道28号,6341681-606,1500,2200
24,西陵区,公办,宜昌市西陵区文澜府幼儿园,厦门路25号,6098815,1500,2200
25,西陵区,民办,宜昌市西陵区东方幼儿园,西陵区夜明珠街道肖家岗社区31号,15907205188,2800,2300
26,西陵区,民办,宜昌市西陵区津桥幼儿园,西陵区西陵街道营盘路社区营盘路2号,6830666,3000,2500
27,西陵区,民办,宜昌市西陵区世家幼儿园,西陵区西陵街道土街头社区北门外正街11号,6300317,4000,2800
28,西陵区,民办,宜昌市西陵区民悦幼儿园,西陵区西陵街道船柴社区西陵二路85号,6302168,2980,2500
29,西陵区,民办,宜昌市西陵区小灵童幼儿园,西陵区窑湾街道唐家湾社区唐家湾路48号,6229958,2800,2200
30,西陵区,民办,宜昌市西陵区育才幼儿园,西陵区葛洲坝街道长樵溪社区东山大道20号,6719235,3500,2500
31,西陵区,民办,宜昌市西陵区阳光幼儿园,西陵区夜明珠街道夜明珠社区夜明珠56号,6719288,2900,2200
