xh,xdlb,fcxfbb,ycs,xlq,wjgq,djq,xtq,ylq,yax,xsx,zgx,cyx,wfx,yds,dys,zjs,szdg,ycgxqdg,dw,nf
1,幼儿园,合计,458,40,37,11,7,78,23,10,27,41,22,42,50,52,0,18,所,2020
2,幼儿园,公办,164,11,8,4,1,21,12,10,13,16,9,18,21,18,0,2,所,2020
3,幼儿园,民办,294,29,29,7,6,57,11,0,14,25,13,24,29,34,0,16,所,2020
4,幼儿园,普惠性民办幼儿园,214,19,14,7,6,45,9,0,12,22,9,20,22,26,0,3,所,2020
5,小学,合计,255,20,13,8,4,32,14,12,27,23,13,25,28,27,0,9,所,2020
6,小学,教学点数,35,0,0,0,0,0,1,1,1,16,8,0,8,0,0,0,个,2020
7,初中,合计,137,11,7,4,1,15,7,6,15,14,8,14,16,14,0,5,所,2020
8,高中,合计,34,0,3,1,2,5,1,1,2,2,1,3,2,2,8,1,所,2020
9,特殊教育学校,合计,10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,所,2020
10,中等职业学校,合计,16,0,0,0,0,0,1,1,1,1,1,1,1,1,8,0,所,2020
11,中等职业学校,公办,12,0,0,0,0,0,1,1,1,1,1,1,1,1,4,0,所,2020
12,中等职业学校,民办,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,所,2020
13,幼儿园,合计,464,42,41,14,7,80,24,10,29,38,22,44,44,50,0,19,所,2021
14,幼儿园,城区,241,42,41,12,7,46,0,0,0,0,0,23,25,28,0,17,所,2021
15,幼儿园,镇区,156,0,0,1,0,18,22,8,22,25,17,12,13,16,0,2,所,2021
16,幼儿园,乡村,67,0,0,1,0,16,2,2,7,13,5,9,6,6,0,0,所,2021
17,幼儿园,公办,182,13,11,6,1,24,14,10,14,16,9,19,21,19,0,5,所,2021
18,幼儿园,民办,282,29,30,8,6,56,10,0,15,22,13,25,23,31,0,14,所,2021
19,幼儿园,普惠性民办幼儿园,205,22,14,8,6,38,8,0,12,20,9,20,16,24,0,8,所,2021
20,小学,合计,245,20,13,8,4,32,15,12,27,21,8,25,26,24,0,10,所,2021
21,小学,城区,96,20,13,6,3,14,0,0,0,0,0,11,13,10,0,6,所,2021
22,小学,镇区,87,0,0,1,0,10,14,6,14,9,5,4,11,9,0,4,所,2021
23,小学,乡村,62,0,0,1,1,8,1,6,13,12,3,10,2,5,0,0,所,2021
24,小学,公办,244,19,13,8,4,32,15,12,27,21,8,25,26,24,0,10,所,2021
25,小学,民办,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,所,2021
26,初中,合计,137,11,7,4,1,15,8,6,15,14,8,15,15,12,0,6,所,2021
27,初中,城区,50,11,7,3,1,5,0,0,0,0,0,7,7,5,0,4,所,2021
28,初中,镇区,66,0,0,0,0,8,7,5,10,8,5,6,8,7,0,2,所,2021
29,初中,乡村,21,0,0,1,0,2,1,1,5,6,3,2,0,0,0,0,所,2021
30,初中,公办,131,11,7,3,1,15,7,6,15,14,8,14,14,11,0,5,所,2021
31,初中,民办,6,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,所,2021
32,高中,合计,33,0,3,1,2,5,1,1,2,2,1,3,2,2,7,1,所,2021
33,高中,城区,26,0,3,1,2,5,0,0,0,0,0,3,2,2,7,1,所,2021
34,高中,镇区,7,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,所,2021
35,高中,乡村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,所,2021
36,高中,公办,24,0,0,0,0,3,1,1,2,2,1,3,2,2,7,0,所,2021
37,高中,民办,9,0,3,1,2,2,0,0,0,0,0,0,0,0,0,1,所,2021
