xh,xdlb,byzszx,ycs,xlq,wjgq,djq,xtq,ylq,yax,xsx,zgx,syx,wfx,yds,dys,zjs,szdg,ycgxqdg,nf
1,幼儿园,入园人数,32067,3149,3452,715,639,6186,1196,937,2425,2144,1097,3594,2250,2324,,1959,2020年
2,幼儿园,入园人数（托班）,8,0,0,0,0,0,0,0,0,0,8,0,0,0,,0,2020年
3,幼儿园,入园人数（小班）,24705,2521,3245,628,630,4132,1068,776,1755,1308,742,2327,1909,2233,,1431,2020年
4,幼儿园,入园人数（中班）,4115,360,205,86,0,1008,93,76,460,459,180,454,253,85,,396,2020年
5,幼儿园,入园人数（大班）,3239,268,2,1,9,1046,35,85,210,377,167,813,88,6,,132,2020年
6,幼儿园,入园人数（混合班）,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2020年
7,幼儿园,在园人数,88746,9389,11280,2299,2092,13798,3764,2609,5944,5326,2988,8802,7731,8019,,4705,2020年
8,幼儿园,在园人数（女）,42573,4394,5454,1055,997,6625,1884,1265,2792,2566,1438,4233,3859,3848,,2163,2020年
9,幼儿园,在园人数（托班）,8,0,0,0,0,0,0,0,0,0,8,0,0,0,,0,2020年
10,幼儿园,在园人数（小班）,25269,2614,3287,632,633,4139,1099,777,1786,1332,785,2362,2035,2306,,1482,2020年
11,幼儿园,在园人数（中班）,28951,3024,3773,746,690,4404,1221,891,1857,1771,994,2649,2644,2707,,1580,2020年
12,幼儿园,在园人数（大班）,34518,3751,4220,921,769,5255,1444,941,2301,2223,1201,3791,3052,3006,,1643,2020年
13,幼儿园,在园人数（混合班）,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,2020年
14,幼儿园,离园人数,30738,3513,3505,639,861,4577,1172,950,2131,2254,1100,3105,2643,2701,,1587,2020年
15,小学,"毕业
生数",28052,3482,2738,593,616,3521,1256,992,2252,2410,1171,2551,3005,2322,0,1143,2020年
16,小学,招生数,28590,2986,4143,646,683,3856,1217,767,2000,2010,999,2686,2671,2398,0,1528,2020年
17,小学,"在校
生数",173427,18725,20849,3683,3799,22422,8043,5672,13214,13265,6852,16187,17367,15204,0,8145,2020年
18,小学,在校生数（女）,84278,9083,9968,1793,1834,10863,3871,2748,6443,6395,3366,7929,8649,7423,0,3913,2020年
19,小学,在校生数（一年级）,28601,2987,4143,647,683,3859,1217,768,2001,2011,1000,2687,2671,2399,0,1528,2020年
20,小学,在校生数（二年级）,29452,3103,3954,618,667,3856,1374,886,2117,2056,1051,2801,2775,2663,0,1531,2020年
21,小学,在校生数（三年级）,30072,3360,3668,603,618,3929,1404,995,2246,2269,1163,2894,2880,2648,0,1395,2020年
22,小学,在校生数（四年级）,27856,2972,3222,578,602,3585,1348,957,2149,2195,1159,2551,2777,2494,0,1267,2020年
23,小学,在校生数（五年级）,28582,3090,3008,577,598,3574,1377,1044,2323,2320,1195,2559,3188,2497,0,1232,2020年
24,小学,在校生数（六年级）,28864,3213,2854,660,631,3619,1323,1022,2378,2414,1284,2695,3076,2503,0,1192,2020年
25,小学,预计毕业生数,28864,3213,2854,660,631,3619,1323,1022,2378,2414,1284,2695,3076,2503,0,1192,2020年
26,初中,毕业生数,25537,2088,3190,939,728,3344,1022,848,2096,2257,905,2108,2897,2096,0,1019,2020年
27,初中,招生数,28096,2658,3546,768,806,3634,1191,958,2148,2386,1061,2522,2975,2198,0,1245,2020年
28,初中,在校生数,81441,7552,9989,2154,2386,10546,3344,2779,6145,6981,2977,7411,9042,6645,0,3490,2020年
