xh,kdmc,kddm,kddz,nf
1,三峡大学,420014,宜昌市大学路8号,2024年
2,三峡职业技术学院,420057,宜昌市体育场路31号,2024年
3,三峡旅游职业技术学院,420041,湖北省宜昌市汉宜大道205号,2024年
4,宜昌市三峡中等专业学校,420086,宜昌市夷陵区土门职教园三峡中等专业学校,2024年
5,宜都职教中心,420088,宜都市陆城街办宜华大道26号,2024年
6,秭归县职教中心,420098,宜昌市秭归县职业教育中心（秭归县茅坪镇兰惠路1号）,2024年
7,当阳市职业技术教育中心,420110,当阳市锦屏大道东段2号,2024年
8,枝江市职业教育中心,420116,湖北省枝江市民主大道109号,2024年
9,宜昌市机电工程学校,420128,宜昌市夷陵区龙泉镇士门职教园宜昌市机电工程学校,2024年
10,远安县职业教育中心,420129,湖北省宜昌市远安县鸣凤镇红阳路4号,2024年
11,兴山县职业教育中心,420132,兴山县古夫镇香溪大道16号,2024年
12,长阳县职教中心,420133,湖北省宜昌市长阳土家族自治县龙舟坪镇潘家塘路48号,2024年
13,五峰县职业教育中心,420136,宜昌市五峰土家族自治县武汉大道181号,2024年
14,三峡电力职业学院,420139,湖北省宜昌市绿萝路36号（三峡电力职业学院继续教育学院）,2024年
