xh,xdlb,xxss,byss,zss,zxss,jzgsxj,zrjs,xn
1,总   计,919,132232,145490,504779,45790,34665,2020/2021学年初
2,一、基础教育,894,99249,103631,389229,37701,29175,2020/2021学年初
3,（一）学前教育,458,30738,32067,88746,11509,5620,2020/2021学年初
4,（二）义务教育,392,53589,56686,254868,19138,18908,2020/2021学年初
5,1.小学,255,28052,28590,173427,10737,11335,2020/2021学年初
6,小学,255,25396,26314,158900,10737,10170,2020/2021学年初
7,九年一贯制学校,——,1537,1183,8193,——,714,2020/2021学年初
8,十二年一贯制学校,——,1119,1093,6334,——,451,2020/2021学年初
9,2.初中,137,25537,28096,81441,8401,7573,2020/2021学年初
10,初级中学,113,19903,22545,64885,6735,6012,2020/2021学年初
11,九年一贯制学校,24,1941,2144,6582,1666,743,2020/2021学年初
12,十二年一贯制学校,——,2746,2655,7719,——,619,2020/2021学年初
13,完全中学,——,947,752,2255,——,199,2020/2021学年初
14,（三）高中,34,14801,14751,44543,6799,4412,2020/2021学年初
15,1.高级中学,24,13638,13322,40456,4537,4015,2020/2021学年初
16,2.完全中学,2,101,135,374,256,30,2020/2021学年初
17,3.十二年一贯制学校,8,1062,1294,3713,2006,367,2020/2021学年初
18,（四）特殊教育学校,10,121,127,1072,255,235,2020/2021学年初
19,二、中等职业教育,19,9644,11341,31272,2514,2243,2020/2021学年初
20,中职学校,16,8468,9889,26362,2210,1969,2020/2021学年初
21,技工学校,3,1176,1452,4910,304,274,2020/2021学年初
22,三、高等教育,5,14820,19567,61099,5528,3207,2020/2021学年初
23,四、成人高等教育,1,8519,10951,23179,47,40,2020/2021学年初
24,总   计,915,135250,146568,520849,46811,35390,2021/2022学年初
25,一、基础教育,889,100438,103345,393254,39404,29995,2021/2022学年初
26,（一）学前教育,464,30620,28717,87703,12544,5969,2021/2022学年初
27,（二）义务教育,382,54832,59334,259478,19903,19366,2021/2022学年初
28,1.小学,245,28874,30407,175087,10965,11661,2021/2022学年初
29,小学,245,26250,27389,157767,10965,10328,2021/2022学年初
30,九年一贯制学校,——,1497,2007,11325,——,916,2021/2022学年初
31,十二年一贯制学校,——,1127,1011,5995,——,417,2021/2022学年初
32,2.初中,137,25958,28927,84391,8938,7705,2021/2022学年初
33,初级中学,111,20463,22588,66820,6799,6077,2021/2022学年初
34,九年一贯制学校,26,2267,3294,8281,2139,877,2021/2022学年初
35,十二年一贯制学校,——,2529,2383,7081,——,552,2021/2022学年初
36,完全中学,——,699,662,2209,——,199,2021/2022学年初
37,（三）高中,33,14781,15166,45051,6702,4429,2021/2022学年初
38,1.高级中学,24,13271,13641,40829,4566,4035,2021/2022学年初
39,2.完全中学,2,116,135,393,260,29,2021/2022学年初
40,3.十二年一贯制学校,7,1394,1390,3829,1876,365,2021/2022学年初
41,（四）特殊教育学校,10,205,128,1022,255,231,2021/2022学年初
42,二、中等职业教育,20,9867,10319,30889,2394,2067,2021/2022学年初
43,中职学校,16,8298,9027,26547,2198,1894,2021/2022学年初
44,技工学校,4,1569,1292,4342,196,173,2021/2022学年初
45,三、高等教育,5,16572,22310,71627,4966,3288,2021/2022学年初
46,四、成人高等教育,1,8373,10594,25079,47,40,2021/2022学年初
47,总   计,899,139049,149055,530933,47433,36184,2022/2023学年初
