xh,tsmc,zz,ssh,szwz
1,“詹守分堂”家族史略：1832-2009,詹同著,K810.2,地方文献阅览室/04排/B面-04列/5层
2,《水经注疏.江水》校注补,熊茂洽，曹诗图著,K928.4,地方文献阅览室/05排/A面-05列/1层
3,2011三峡·宜昌：正在崛起的世界水电旅游名城,姚朝云著,K928.7,地方文献阅览室/05排/A面-05列/2层
4,20世纪之交的三峡宜昌．第二部,李亚隆主编,K928.4,地方文献阅览室/05排/A面-05列/1层
5,20世纪之交的三峡宜昌．第一部,李亚隆主编,K928.4,地方文献阅览室/05排/A面-05列/1层
6,爱莲堂湖北秭归台子湾周氏宗祠,秭归台子湾周氏宗祠族谱编纂委员会编,K820.9,地方文献阅览室/04排/B面-05列/4层
7,爱莲堂湖北秭归台子湾周氏宗祠,秭归台子湾周氏宗祠族谱编纂委员会编,K820.9,地方文献阅览室/04排/B面-05列/4层
8,爱我远安,中共远安县委宣传部编,K296,地方文献阅览室/04排/B面-02列/5层
9,爱我远安,中共远安县委宣传部编,K296,地方文献阅览室/04排/B面-02列/5层
10,八十一年人生路：胡乔木生平,鲁书月主编,K827,地方文献阅览室/05排/A面-01列/4层
11,巴楚文化,林永仁，来层林著,K296,地方文献阅览室/04排/B面-03列/1层
12,巴楚文化源流,"彭万廷,冯万林主编",K296,地方文献阅览室/04排/B面-03列/2层
13,巴地沧桑,郑子华著,K287.3,地方文献阅览室/04排/B面-02列/2层
14,巴地域研究,邓祥龙著,K287.3,地方文献阅览室/04排/B面-02列/2层
15,巴人始祖在长阳,未知,K878,地方文献阅览室/05排/A面-02列/4层
16,巴土研究．第二辑,长阳土家族自治县民族文化研究会编,K296,地方文献阅览室/04排/B面-03列/3层
17,巴土研究．第四辑,长阳土家族自治县民族文化研究会编,K296,地方文献阅览室/04排/B面-03列/3层
18,巴渝风情,王群生著,K928.7,地方文献阅览室/04排/A面-05列/3层
19,白话二十五史精选,吴树平主编,K204.1,地方文献阅览室/04排/B面-01列/1层
20,百县市经济社会调查：兴山卷,方涛等主编,K296,地方文献阅览室/04排/B面-03列/1层
21,步入辉煌：今日香港速写,奎军，董岭编著,K296,地方文献阅览室/04排/B面-02列/4层
22,沧桑二马路,李明义主编,K296,地方文献阅览室/04排/B面-04列/2层
23,曹家洲曹氏族谱,当阳淯溪河《曹家洲曹氏族谱》第八次续修委员会编著,K820.9,地方文献阅览室/04排/B面-05列/2层
24,曹廷杰文化,覃明才主编,K296,地方文献阅览室/04排/B面-04列/2层
25,车溪风情,田继明，李敏著,K928.963,地方文献阅览室/05排/A面-05列/3层
26,车溪神韵：三峡宜昌生态休闲世纪之旅,未知,K928.79,地方文献阅览室/05排/A面-05列/3层
27,楚脉千秋,刘玉堂主编,K224,地方文献阅览室/04排/B面-01列/1层
28,楚史稿,李玉洁著,K290.2,地方文献阅览室/04排/B面-02列/2层
29,楚天骄子,杨兴政著,K820.8,地方文献阅览室/04排/B面-05列/1层
30,川汉铁路在宜昌,未知,K296/,地方文献阅览室/04排/B面-03列/5层
31,传奇楚商李本忠,肖波编著,K825.3,地方文献阅览室/05排/A面-01列/1层
32,春秋,《春秋》杂志社,K2,地方文献阅览室/04排/B面-03列/1层
33,从公安走出的院士与将军,赵荣福、张艾梅主编,K826.1,地方文献阅览室/05排/A面-01列/4层
34,村落空间与民间叙事逻辑,林继富著,K287.3,地方文献阅览室/04排/B面-02列/2层
35,大美宜昌画说当阳,三峡画院编,K926.3,地方文献阅览室/05排/A面-04列/2层
36,当阳旅游百问百答,鲍传华著,K928.9,地方文献阅览室/05排/A面-05列/3层
37,当阳市革命老区发展史,当阳市老区建设促进会编,K296,地方文献阅览室/04排/B面-04列/3层
38,当阳市老区建设促进会史料汇编：1997-2007,当阳市老区建设促进会编著,K296,地方文献阅览室/04排/B面-03列/2层
39,当阳文史．第5辑：清匪反霸斗争史料专辑,中国人民政治协商会议当阳县委员会文史研究委员会编,K296,地方文献阅览室/04排/B面-02列/4层
40,当阳文史．第八辑，当阳古今(上),中国人民政治协商会议湖北省当阳市委员会文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
41,当阳文史．第二辑,中国人民政治协商会议当阳县委员会文史研究委员会编,K296,地方文献阅览室/04排/B面-02列/4层
42,当阳文史．第九辑，当阳古今(中),湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
43,当阳文史．第六.七辑：纪念当阳解放四十周年,中国人民政治协商会议当阳县委员会文史研究委员会编,K296,地方文献阅览室/04排/B面-02列/4层
44,当阳文史．第十二辑，麦城今昔,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
45,当阳文史．第十辑，当阳古今(下),湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
46,当阳文史．第十六辑，当阳人民抗美援朝故实,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
47,当阳文史．第十三辑，干溪春秋,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
48,当阳文史．第十四辑，革命老区脚东,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
49,当阳文史．第十五辑，当阳抗日见闻录,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
50,当阳文史．第十一辑，赵春珊文史著作集,湖北省当阳市政协文史资料委员会编,K296,地方文献阅览室/04排/B面-02列/4层
51,当阳县志,湖北省当阳市地方志编纂委员会编纂,K296,地方文献阅览室/04排/B面-03列/2层
52,当阳赵家湖楚墓,未知,K878,地方文献阅览室/05排/A面-02列/4层
53,党和国家领导人视察宜昌,杨兴元主编,K296,地方文献阅览室/04排/B面-03列/2层
