xh,lb,dwmc,nf
1,综合改革示范校,湖北三峡职业技术学院,2023年
2,综合改革示范校,宜昌市第一中学,2023年
3,综合改革示范校,宜昌市葛洲坝中学,2023年
4,综合改革示范校,宜昌市人文艺术高中,2023年
5,综合改革示范校,当阳市第二高级中学,2023年
6,综合改革示范校,柿归县第二高级中学,2023年
7,综合改革示范校,远安县第一高级中学,2023年
8,综合改革示范校,宜昌市第二十五中学,2023年
9,综合改革示范校,宜昌市外国语初级中学,2023年
10,综合改革示范校,枝江市马家店初级中学,2023年
11,综合改革示范校,兴山县实验中学,2023年
12,综合改革示范校,西陵区绿萝路小学,2023年
13,综合改革示范校,伍家区实验小学中南校区,2023年
14,综合改革示范校,点军区五龙小学教育集团,2023年
15,综合改革示范校,猇亭区长堰堤小学,2023年
16,综合改革示范校,夷陵区实验小学,2023年
17,综合改革示范校,宜都市陆城第一小学,2023年
18,综合改革示范校,长阳土家族自治县实验小学,2023年
19,实践教学基地,中华鲟研究所,2023年
20,实践教学基地,宜昌三峡广播电视研学基地,2023年
21,实践教学基地,长江大保护教育基地,2023年
22,实践教学基地,黄柏河湿地公园,2023年
23,实践教学基地,百里荒研学旅行基地,2023年
24,实践教学基地,许家冲村研学旅行基地,2023年
25,实践教学基地,湖北大老岭国家自然保护区,2023年
26,实践教学基地,湖北五峰后河国家级自然保护区实践教育基地,2023年
27,实践教学基地,三峡国家村柑橘公园研学实践教育基地,2023年
28,实践教学基地,湖北枝江金湖国家湿地公园,2023年
29,实践教学基地,种归屈原镇西陵峡村,2023年
30,实践教学基地,宜昌市革命烈士纪念馆,2023年
31,实践教学基地,归州夏明翰故里红色文化研学基地,2023年
32,实践教学基地,枝江市安福寺镇徐家花屋革命遗址纪念园,2023年
33,实践教学基地,宜昌产投大数据产业园,2023年
34,实践教学基地,兴山昭君村民族团结实践教学基地,2023年
35,实践教学基地,湖北东方年华实践教学基地,2023年
36,实践教学基地,秭归屈姑集团实践教学基地,2023年
37,实践教学基地,宜都市油榨坪研学旅行暨劳动教育实践基地,2023年
38,实践教学基地,宜昌布谷鸟研学基地,2023年
