xh,ssxq,xxmc,szdq,xxlb,xxxz,sjzgbm,adress,link_phone,Complaint_Hotline,Zip_code,zsfs,xxjj,szf,xzf,zzs,official_website,wxewm,xxzp
1,局直属学校,长阳土家族自治县第一高级中学,长阳土家族自治县,高中,公办,长阳土家族自治县教育局,长阳龙舟坪镇久兰路133号教育园区,0717-5333096,0717-5335085,443501,统一招生、自主招生,"长阳土家族自治县第一高级中学（简称：长阳一中）诞生于1943年的抗战烽火之中。1945年，学校从县西边镇枝柘坪东迁至县城所在地龙舟坪，以清朝时期的九峰书院旧址为校址；1969年，校址再迁至九峰山北麓，1978年被确定为湖北省108所重点中学之一，1998年被评为首批“宜昌市名牌学校”，2005年荣获“湖北省示范高中”称号。2018年全县高中布局调整，学校第三次迁址，迁入占地超220亩、投资2.9亿元兴建的长阳教育园区高中部，开启新的篇章。学校现有37个教学班，在校学生2100多人，教职工210余人,专任教师175人，正高级教师2人，高级教师85人。学校坚持德育为首、立德树人，注重在学生思想道德教育中弘扬主旋律，贯穿社会主义核心价值体系的精髓，从德育目标、德育队伍建设、德育常规抓促、德育活动创新方面入手，坚持德育即生活的理念，以“励志、感恩、责任”为主题，彰显年级特色（高一习惯教育，高二理想教育，高三人生教育），在全员德育、成长导师制、德育评价、家长学校、德育实践上下功夫，德育促进效果充分彰显，形成德育品牌。学校坚持教学中心、高考重心，以质量立校为目标开展工作，推进高效课堂和集体备课，着力打造优秀的教师团队，积极引领青年教师专业成长，致力造就高素质的过硬教师队伍；实施精细管理，扎实推进新课程改革，打造活力课堂，着力提高学生全面综合素养和学科核心素养、学校核心素养。经过历史的风雨洗礼，这所巴楚名校已经积淀形成了丰厚的文化底蕴，锤炼了严谨治校的办学风格，为民族振兴作出了重大贡献。改革开放以来，学校先后被国务院授予“全国民族团结进步先进集体”、教育部认定为“国防教育先进校”，荣获“湖北省文明单位” 、“湖北省德育工作先进单位” 和 “全省优秀基层党组织”等称号。近年来，学校坚持“让每一个人得到尊重，让每一个人得到发展”的办学理念，致力构筑“为学生未来人生奠基，为学校当下发展给力”的共同价值追求，坚持质量立校、特色发展，努力营造健康高雅的育人氛围，着力夯实学生综合素养，强化绿色高考升学率。学校一本上线率、985/211和双一流院校上线人数节节攀升，在全市名列前茅。",300,900,410,http://cyyz.i.yce21.cn/,https://data.yichang.gov.cn/karma/pic/cb862612-4a02-4fef-9164-e9cf9496b7ec.png,https://data.yichang.gov.cn/karma/pic/e138a3b2-8e89-4501-aecf-32044880bcc9.jpeg
2,局直属学校,长阳土家族自治县第二高级中学,长阳土家族自治县,高中,公办,长阳土家族自治县教育局,长阳县龙舟坪镇廪君大道157号,0717-5319644,0717-5335085,443500,统一招生,"求学在二中 成材在九峰 长阳二中（民高）于2018年7月合并迁入龙舟坪镇廪君大道157号。位于长阳土家族自治县龙舟坪镇九峰山下廪君大道157号。
学校占地面积 70942 平方米，建筑面积 36088 平方米，现建有教学楼、实验楼、综合楼、食堂、男女生公寓等 9 栋田径运动场、球类运动场各一个，现有班级 35 个，学生 1830名，教职工 192 名。",预收300,900,350,http://www.changyang.gov.cn/ggqsyxxgk/show_xuexiao.html?xh=2,https://data.yichang.gov.cn/karma/pic/6509916a-344e-4b37-be7e-a36dcb735cd8.jpeg,https://data.yichang.gov.cn/karma/pic/eb1013ea-0649-4837-8e3e-75a6b3d69233.jpeg
3,局直属学校,长阳土家族自治县职业教育中心,长阳土家族自治县,高中,公办,长阳土家族自治县教育局,长阳龙舟坪镇潘家塘路48号,0717-5315948,0717-5335085,443501,统一招生、自主招生,"山河广阔，行者无疆。长阳土家族自治县职业教育中心在县委政府的高度关注和支持下不断砥砺前行，先后被教育部、湖北省教育厅、宜昌市人民政府、县政府、县教育局授予“全国民族团结进步先进集体”“湖北省民族文化进校园十佳示范学校”“湖北省卫生先进单位”“宜昌市教育现代化先进学校”“全县民族团结进步教育基地”“县人民政府教育督导先进单位”等荣誉称号。学校于2018年荣膺国家级示范中等职业学校。2022年10月，学校入列湖北省优质学校建设立项计划，计算机应用及幼儿保育两个专业纳入省优质专业建设立项计划。学校位于长阳土家族自治县龙舟坪镇创新产业园区，东靠宜长快速通道、南望清江画廊风景区、北接沪渝高速和宜万铁路，交通便利、环境优美，是宜昌市花园式学校。学校占地93989平方米，建筑面积57763平方米，净资产约1亿元。在校师生近3000人，共开设58个教学班，在编在岗教职工248人。拥有实习实训设备总值2022万元，工位1832个。纸质图书61285册，电子期刊50种，信息化教学资源共3TB。近年来，学校坚持“内涵立校、质量强校、特色兴校”的办学理念和“就业有技能、升学有途径、发展有基础”的育人目标，固本强基，增值赋能。现有5大专业群共9个专业，内设机电、旅游与酒店、计算机、幼儿保育、民族体艺、作物栽培、电工、汽修8个实训中心，校外17个实训基地。其中，幼儿保育专业被认定为宜昌市四星级专业，计算机应用等六个专业被认定为三星级专业。拥有省市县三级6个名师工作室，为宜昌市中职计算机应用专业和幼儿保育专业第九届中心教研组组长学校，湖北省第五届电子信息类副组长学校。2021年，学校服务乡村振兴事迹在央视展播，获宜昌市事业单位脱贫攻坚专项记功。2022年职教高考本科录取107人，位居全省第8名。2022年在全国职业院校技能大赛中职组手工制茶赛项和酒店服务赛项分获团体一等奖和团体二等奖,位列全国中职学校第98名。三十余载砥砺奋进，学校先后为各大院校、企业和地方培养了数万名优质技术技能人才，被誉为荆楚大地及武陵山区一流中职学校，正向国家级优质中等职业学校和优质专业创建目标迈进。",据实收取,免学费,350元/学期,http://www.cyzjzx.com/,https://data.yichang.gov.cn/karma/pic/21571b83-c5e1-4b29-9a0f-c485e3696aa8.jpeg,https://data.yichang.gov.cn/karma/pic/9aebf27b-9200-4900-ba6c-863d5ffe9657.png
4,局直属学校,长阳土家族自治县龙舟坪中学,长阳土家族自治县,初中,公办,长阳土家族自治县教育局,长阳龙舟坪镇四冲湾路110号,0717-5355099,0717-5335085,443500,统一招生,"脚踏实地追求至臻教育，尚德笃行培育栋梁之才
——长阳龙舟坪中学简介
夷水名疆，龙门古镇，长阳龙中兴盛于此。
殚精竭虑，开疆拓土，九峰文化植根于此。
龙舟坪中学前身为长阳县中，1943年兴办于枝柘坪覃家祠堂，1949年搬迁至此，至今已有近80年的办学历史。 占地面积19555㎡，校园花红柳绿，绿树成荫。现有34个教学班，学生1763余人，教职员工144人，高级教师,21人，市县名师37人。
学校以“九峰书院”的文化精神为载体，在传承龙中近80年文脉的基础上，逐步形成“九峰”校园文化体系。
多年的文化传承和打磨，学校确立了“木秀九峰·和谐发展”的办学理念，传承了“德智双全·身心两健”的校训，形成了“立根固本·笃行致远”的校风、“匠心独运·润物无声”的教风和“人人向上·日日自新”的学风。
龙舟坪中学以质量立校、用特色兴校，独创 “星级管理模式”，涵盖学生管理、教师管理和行政管理的各个方面。“争进位·创五星”，成就了一批又一批龙中人。
学校德育工作先后在《湖北日报》《湖北教育》进行了报道，学校被评为全县 “德育品牌学校”“市级示范学校”。学校教学质量在全县独占鳌头，执掌“教育教学质量先进单位”近20年，学校生本高效课堂案例在《中国教育报》报道。
学校先后被各级授予“宜昌市现代化初中”“宜昌市现代化先进学校”“宜昌市绿色学校”“宜昌市文明校园”“湖北省禁毒教育先进单位”“湖北省卫生先进单位”“湖北省节水示范学校”等荣誉称号。
脚踏实地追求至臻教育，九峰文脉不断延续；尚德笃行培育栋梁之才，龙中精神香飘四海！",0,0,0,,https://data.yichang.gov.cn/karma/pic/a0c92d2b-2003-4a23-9908-1c9e4dc277c8.png,https://data.yichang.gov.cn/karma/pic/5c119dbd-7b24-415b-b3e2-6db82b02638f.jpeg
5,局直属学校,长阳土家族自治县特殊教育学校,长阳土家族自治县,特殊教育学校,公办,长阳土家族自治县教育局,龙舟坪镇潘家塘路50号,0717-5103533,0717-5335085,443501,统一招生,长阳土家族自治县特殊教育学校始建于2000年9月，2012年5月迁址龙舟坪镇潘家塘路50号，新校占地4000平方米，总建筑面积3390平方米。学校配有多媒体感觉统合训练、评估个训、图书阅览、录播教室等20个功能室；有言语语言、多维星空认知、智力评估训练等先进的教学系统；有智能前台、网络监控、OA办公等现代化的管理系统。学校现有教职工33人，拥有一支专业能力突出、敢于担当、勇于奉献的教师队伍。现有各类残疾学生共118人，开设有早期康复教育、义务教育及职业教育等9个教学班。,0,0,0,http://tx.cye1.com/,https://data.yichang.gov.cn/karma/pic/a4de9794-a7d4-4946-a547-d567f659f5dc.jpeg,https://data.yichang.gov.cn/karma/pic/f7f07a5e-284d-456a-9a18-bb183629c84b.jpeg
6,实验小学教育集团,长阳土家族自治县实验小学,长阳土家族自治县,小学,公办,长阳土家族自治县教育局,长阳县龙舟坪镇东峰岭路22号,0717-5322784,0717-5335085,443500,统一招生,长阳实验小学始建于1954年，历经四次迁址，三次更名，1988年定名为县实验小学，坐落在龙舟坪镇东风岭，占地面积10773.14平方米，现有43个教学班，2607名学生，139名在编教职工。学校始终坚持以立德树人为根本，以精神文明建设为动力，以办人民满意的教育为目标，围绕“东风和韵，实验花开”办学理念，积极践行社会主义核心价值观，不断深化“和韵”文化内涵，引领区域教育改革与发展。,,,,,https://data.yichang.gov.cn/karma/pic/0ab2fc36-bf28-473a-bac3-55c38fa1c918.png,https://data.yichang.gov.cn/karma/pic/896a7704-db24-4c2e-80b9-6db832d647f2.png
7,实验小学教育集团,长阳土家族自治县龙舟坪小学,长阳土家族自治县,小学,公办,长阳土家族自治县教育局,长阳县龙舟坪镇龙舟大道56号,0717-5418299,0717-5335085,443500,统一招生,九峰院里写就教育百年史，清江河畔开启龙小新征程。一所融古韵与现代为一体的优质学校，矗立于清江之畔，九峰之巅，明清时期“九峰书院”旧址。学校建筑面积12990平方米，现有36个教学班，在籍学生1693人。我们以雄厚的师资水平作为立校之本，优中选优，拥有一支高素质、专业化的教师队伍。学校以“龙韵”文化为主题，“让每个孩子都生龙活虎”的办学愿景和“承龙之神韵 育龙之传人”的办学理念。,,,,,https://data.yichang.gov.cn/karma/pic/18f4668e-43c5-44ca-8e43-c33056bfab47.jpeg,https://data.yichang.gov.cn/karma/pic/f75501fe-1050-492e-9eb0-d5e71eb91a38.jpeg
8,龙舟坪学区,长阳土家族自治县龙舟坪镇津洋口初级中学,长阳土家族自治县,初中,公办,长阳土家族自治县教育局,长阳县龙舟坪镇久兰路50号,0717-5133281,0717-5335085,443500,统一招生,"长阳土家族自治县龙舟坪镇津洋口初级中学原址位于县城西区久兰路129号，坐落在泉溪河畔，香炉山下。学校创办于20世纪中期，初为小学，后改为农业初中，建址于津洋口赵家棚，先后命名为红光小学、红光中学。1969年毁于洪水后，迁至久兰路129号重建并命名为“三渔冲初级中学”，2002年教育体制改革后更名为“龙舟坪镇中心学校”，2018年9月，为配合长阳教育园区（初中部）建设，学校搬迁至原长阳二中（久兰路50号）借地办学。2020年8月，在县管校聘改革中，学校更名为“长阳土家族自治县龙舟坪镇津洋口初级中学”。 长阳教育园区（初中部）位于宜昌市长阳龙舟坪镇津洋口新区,王渔省道西侧。共分为六个部分，地面以上由教学楼、综合楼、学生食堂宿舍楼、报告厅风雨操场、看台、门房组成。新建津洋口初级中学办学规模为36个教学班，可容纳近2000名学生就读。总建筑面积44776.20平方米，其中地下室（含人防工程）面积11809.18平方米。工程总造价19575.25万元。地面以下局部设置一层地下室。一层地下室,将学生食堂宿舍楼与教学楼在地面以下连成整体,功能为停车库、设备用房,局部为平战结合甲类人防地下室。随着园区的建设进程，学校有望在2024年8月实现整体搬迁。",0,0,,https://i.yce21.cn/index.php?r=space/school/theme/index&sid=2f182243ec384321948129a12511dc53,https://data.yichang.gov.cn/karma/pic/045faff9-986a-49d2-92c2-e9ee34621f48.png,https://data.yichang.gov.cn/karma/pic/af0652a7-9c9c-4460-bc00-59e7d3ba463e.png
9,龙舟坪学区,长阳土家族自治县龙舟坪镇津洋口小学,长阳土家族自治县,小学,公办,长阳土家族自治县教育局,长阳县龙舟坪镇久兰路127号,0717-5318126,0717-5335085,443500,统一招生,"长阳土家族自治县龙舟坪镇津洋口小学，一所全日制农村完全小学。地处泉溪河注入清江之地，沐阳光恩泽，享泉溪浸润，历百年发展，规模日盛，影响愈兴。学校地处龙舟坪镇久兰路127号，服务范围为五村（三渔冲村、晒谷坪村、合子坳村、胡家棚村、黄家坪村一二九组），津洋口、枫竹园、丹水三社区及所辖机关、企事业单位。占地面积20778平方米，其中，运动面积为8000平方米，绿化用地面积1000平方米，建筑面积9914㎡，图书38000多册，固定资产总值1000多万元。学校现有学生1928人，32个教学班级，教职工107人,其中，中学高级教师8人，宜昌市级学科带头人3、明星管理者1人、e教能手1名、明星班主任1人，县级学科带头人13人，明星班主任4人，明星管理者1人，镇级名师1名、明星管理者1人。学校设施设备较齐全，共有两栋教学楼，两栋学生宿舍，师生食堂，各类功能室等。学校设有书记校长室、副校长室、行政办公室、德育室、教导室、安全办公室、总务室等7个管理办公室和12个教师办公室，内部管理体系完善。",0,0,0,,https://data.yichang.gov.cn/karma/pic/1ed43c34-8b57-484f-ac3b-09d803ee12c8.jpeg,https://data.yichang.gov.cn/karma/pic/9203dfe4-b69b-4f12-98a7-7d1c7ed769fc.jpeg
10,龙舟坪学区,长阳土家族自治县龙舟坪镇刘家冲小学,长阳土家族自治县,小学,公办,长阳土家族自治县教育局,长阳县白氏坪开发区长阳大道399号,0717-5308241,0717-5335085,443500,统一招生,长阳土家族自治县龙舟坪镇刘家冲小学位于白氏坪开发区，318国道边，长阳大道399号。学校始建于1956年，校园占地7840平方米，建筑面积3401.2平方米，现有6个教学班，学生224人，教师18人。学校以中华文明为根基，以民族文化为载体，确立了“石榴籽红一家亲”党建品牌。以“石榴花儿开 童心向未来”为办学理念，构建“石榴花开”课程体系，打造“石榴籽红”德育特色课程。,0,0,0,https://mp.weixin.qq.com/mp/homepage?__biz=Mzg3ODU3NjQzMg==&hid=2&sn=dc7b818e5aa85703a7d9854c19fba5f6&scene=18,https://data.yichang.gov.cn/karma/pic/f67f924c-67cb-4b3e-b405-8fe9bddccea2.jpeg,https://data.yichang.gov.cn/karma/pic/265cce36-b381-493f-ac23-8aa465c536b7.jpeg
