xh,kdmc,kddz,lxdh,nf
1,三峡旅游职业技术学院,宜昌市汉宜大道205号,07176061599,2024年
2,三峡电力职业学院,宜昌绿萝路36号,07176716877,2024年
3,三峡职业技术学院,宜昌市体育场路31号,07178853365,2024年
4,三峡中专,宜昌市汉宜大道205号,07176098735,2024年
5,宜昌科技职业学院,宜昌市汉宜大道205号,07177107266,2024年
6,宜昌市夷陵中学,宜昌市高新区生物产业园毓秀路,07176777597,2024年
7,宜昌市第一中学,宜昌市点军区思圣路1号,07176269368,2024年
8,宜昌市葛洲坝中学,宜昌市陵区城东大道51号,07176788015,2024年
9,宜昌市人文艺术高中,宜昌市西陵二路116号,07176065906,2024年
10,宜昌市外国语高中,宜昌市点军江南大道175,07176672652,2024年
11,宜昌市科技高中,宜昌市西陵二路4号,07176487143,2024年
12,三峡大学,宜昌市大学路18号,07176398957,2024年
