xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
1,/,宜昌大三峡国际旅行社有限公司,宜昌市西陵区东山大道80号,国内旅游业务、入境旅游业务、出境旅游业务（含赴台游）,6767573,
2,/,中国国旅（湖北）国际旅行社有限公司,宜昌市西陵区东山大道129-7号,国内旅游业务、入境旅游业务、出境旅游业务（含赴台游）,6908009,
3,/,湖北峡州国际旅行社有限公司,宜昌市西陵区夷陵路52号,国内旅游业务、入境旅游业务、出境旅游业务（含赴台游）,6467700,
4,/,湖北顺达国际旅行社有限公司,宜昌市西陵区云集路25号,国内旅游业务、入境旅游业务、出境旅游业务,6253300  6253678,
5,/,湖北峡州酒店产业集团海峡国际旅行社有限公司,宜昌市伍家岗区沿江大道124号（峡州银海丽景大酒店六楼）,国内旅游业务、入境旅游业务、出境旅游业务,6222792 6222334,
6,/,湖北长江观光国际旅行社有限公司,宜昌市西陵一路19号亚洲广场B座2601号,国内旅游业务、入境旅游业务、出境旅游业务,6223210 6223788,
7,/,宜昌康辉国际旅行社有限责任公司,湖北省宜昌市西陵区西陵一路51号（均瑶国际广场20层）,国内旅游业务、入境旅游业务,6589153,
8,/,宜昌天马国际旅行社有限责任公司,宜昌市西陵区胜利四路46号,国内旅游业务、入境旅游业务,6436886  6436499,
9,/,湖北神兴国际旅行社有限公司,兴山县古夫镇高铁站前地下室一层B1-20,国内旅游业务、入境旅游业务、出境旅游业务,6240111 6240333,
10,/,宜昌交运国际旅行社有限公司,宜昌市伍家岗区沿江大道142号,国内旅游业务、入境旅游业务、出境旅游业务,6461485,
11,/,宜昌江山国际旅行社有限公司,宜昌市沿江大道特168－7号万达广场C座7楼,国内旅游业务、入境旅游业务,6230788,
12,/,宜昌夕阳红国际旅行社有限公司,点军区五龙阳光小区商业A栋2楼（点军区文旅局）,国内旅游业务、入境旅游业务,6231921,
13,/,宜昌长江国际旅行社有限公司,湖北省宜昌市伍家岗区万寿桥街道沿江大道142号,国内旅游业务、入境旅游业务、,6226686,
