xh,dw,kdmc,kss,kcs,nf
2,城区,宜昌市夷陵中学,2040,68,2024年
3,城区,宜昌市第一中学,1925,66,2024年
4,城区,宜昌市葛洲坝中学,852,29,2024年
5,城区,宜昌市人文艺术高中,1080,36,2024年
6,城区,宜昌市科技高中,332,12,2024年
7,城区,三峡旅游职业技术学院,1800,60,2024年
8,城区,宜昌科技职业学院,1744,59,2024年
9,夷陵区,宜昌市三峡高级中学,1088,37,2024年
10,夷陵区,宜昌市夷陵区东湖高级中学,747,26,2024年
11,宜都市,宜都市第一中学,1826,61,2024年
12,当阳市,当阳市第一高级中学,1127,38,2024年
13,当阳市,当阳市第二高级中学,1443,50,2024年
14,枝江市,枝江市第一高级中学,1222,43,2024年
15,枝江市,枝江市第二高级中学,838,28,2024年
16,远安县,远安县第一高级中学,994,35,2024年
17,兴山县,兴山县第一中学,773,27,2024年
18,秭归县,秭归县第一中学,728,25,2024年
19,秭归县,秭归县第二高级中学,982,33,2024年
20,长阳县,长阳县第一高级中学,1260,43,2024年
21,长阳县,长阳县第二高级中学,823,29,2024年
22,五峰土家族自治县,五峰县高级中学,715,26,2024年
