xh,xsq,zy,zybm,gz,cyllb,nf
1,西陵区,育婴员,4-10-01-02,/,生命健康,2024年
2,西陵区,保育师,4-10-01-03,/,生命健康,2024年
3,西陵区,家政服务员,4-10-01-06,母婴护理员、整理收纳师,生命健康,2024年
4,西陵区,养老护理员,4-10-01-05,失智老人照护员,生命健康,2024年
5,西陵区,健康管理师,4-14-02-02,/,生命健康,2024年
6,西陵区,保健按摩师,4-10-04-02,脊柱按摩师、足部按摩师、反射疗法师,生命健康,2024年
7,西陵区,公共营养师,4-14-02-01,营养指导员,生命健康,2024年
8,西陵区,茶艺师,4-03-02-07,/,文化旅游,2024年
9,西陵区,中式烹调师,4-03-02-01,药膳制作师,文化旅游,2024年
10,西陵区,中式面点师,4-03-02-02,/,文化旅游,2024年
11,西陵区,西式面点师,4-03-02-04,/,文化旅游,2024年
12,西陵区,餐厅服务员,4-03-02-05,侍酒师,文化旅游,2024年
13,西陵区,客房服务员,4-03-01-02,/,文化旅游,2024年
14,西陵区,保安员,4-07-05-01,/,文化旅游,2024年
15,西陵区,茶叶加工工,6-02-06-10,茶叶初制工、茶叶精制工,文化旅游,2024年
16,西陵区,美容师,4-10-03-01,皮肤管理师,文化旅游,2024年
17,西陵区,美发师,4-10-03-02,/,文化旅游,2024年
18,西陵区,道路客运汽车驾驶员,4-02-02-03,大中型客车司机、公交车司机、巡游出租车司机,文化旅游,2024年
19,西陵区,物流服务师,4-02-06-03,/,文化旅游,2024年
20,西陵区,电子商务师,4-01-02-02,网商、跨境电子商务师,大数据及算力经济,2024年
21,西陵区,互联网营销师,4-01-02-07,直播销售员,大数据及算力经济,2024年
22,西陵区,全媒体运营师,4-13-05-04,/,大数据及算力经济,2024年
23,西陵区,计算机维修工,4-12-02-01,计算机板级维修工、计算机芯片级维修工,大数据及算力经济,2024年
24,西陵区,管工,6-29-03-04,/,现代化工新材料,2024年
25,西陵区,电工,6-31-01-03,/,新能源及高端装备,2024年
26,西陵区,焊工,6-18-02-04,电焊工、气焊工、钎焊工、焊接设备操作工、锅炉（承压）设备焊工,新能源及高端装备,2024年
27,西陵区,车工,6-18-01-01,数控车工,新能源及高端装备,2024年
28,西陵区,铣工,6-18-01-02,数控铣工,新能源及高端装备,2024年
29,西陵区,磨工,6-18-01-04,宝石轴承磨工、光学磨工、数控磨工、光学切割工、研磨工,新能源及高端装备,2024年
30,西陵区,铸造工,6-18-02-01,熔炼浇注工、铸造型（芯）砂工、铸造工装工、铸造造型（芯）工、铸件清理工,新能源及高端装备,2024年
