xh,gl,ml,kl,mc,ywm,sbtz,xx,fb,bwdj,sy,tp
1,哺乳纲,灵长目,猴科,猕猴,Rhesus Monkey,"体长43—55cm,尾长15—24cm。头部呈棕色，颜面瘦削，头顶没有向四周辐射的旋毛。额略突，肩部较短，尾较长。背上部棕灰色或棕黄色，下部橙黄色或橙红色，腹面呈淡灰黄色。四肢均具5指，有扁平的指甲。面部、两耳多为肉色，臀胝发达，多为肉红色。",多栖息在石山峭壁、溪旁沟谷、江河岸边的密林中或疏林岩山上，属群居性动物。繁殖和缺食季节，往往集群分布，活动范围较大。以树叶、嫩枝、野菜等为食，也吃小鸟、鸟蛋和各种昆虫，甚至蚯蚓、蚂蚁。,兴山、稀归、五峰、长阳、宜都、枝江、当阳、远安、夷陵区、宜昌城区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属易危。",张明涛,https://data.yichang.gov.cn/karma/pic/b956f3e2-156f-4345-aedd-5268c4e8b6ef.jpeg
2,哺乳纲,灵长目,猴科,藏酋猴,Tibetan Macaque,"体长52—70cm,尾长6—7cm,体型粗壮，头大，耳小，有颊囊，成体两颊和额下有一圈髭毛呈须状。颜面随年龄不同而异色，性成熟时呈鲜红色，进入老年时变为紫色、肉色、黑色。雄猴头部深棕色，背部棕褐色，腹面及四肢内侧淡黄色，四肢外侧及手、脚的背面棕色。",活动于深山的阔叶林、针阔叶混交林或稀树多岩的地方。喜群栖，由20—30只组成，大群可达百余只，每群有2或3只成年雄猴为首领。喜在地面活动，在崖壁缝隙、陡崖或大树上过夜。以多种植物的叶、芽、果、枝及竹笋为食，亦食鸟及鸟卵、昆虫等动物性食物。,五峰。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属易危。",洪子波,https://data.yichang.gov.cn/karma/pic/4ff5ddbf-eeac-4b67-87a2-5eac1c7c80f1.jpeg
3,哺乳纲,灵长目,猴科,川金丝猴,Sichuan Snub-nosed Monkey,体长平均68cm，尾长平均68.5cm，为体型中等的猴类。头圆，耳短，鼻孔向上仰，颜面部为蓝色，无颊囊。颊部及颈侧棕红，肩背具长毛，色泽金黄，尾与体等长或更长。,常年栖息于海拔1500—3300m的原始森林和次生林中。树栖，很少下地，白天活动，群栖生活。以植物性食物为主，多以树木的嫩叶、幼芽和花序为食；秋季偶尔捕食幼鸟、鸟蛋和昆虫等。,兴山。,国家一级重点保护野生动物，CITES附录Ⅰ，IUCN等级属易危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/669d2120-3e52-4a90-a42c-6cdd42cb778d.jpeg
4,哺乳纲,鳞甲目,鲮鲤科,中华穿山甲,Chinese  Pangolin,体长42—92cm，尾长28—35cm。体披鳞甲，吻细长，脑颅大，呈圆锥形。形体狭长，四肢粗短，尾扁平而长，背面略隆起。攀附蜷曲有力，平时走路掌背着地，受惊蜷成球状。颌颊、耳眼、胸腹直至尾基，以及四肢内侧均无鳞，但有稀毛。,栖息于阔叶林、针叶林、竹林、草原和农田等各种生境。喜炎热，能爬树，能在泥土中挖深2—4m、直径20—30cm的洞。以长舌舐食蚁、蜜蜂或其他昆虫为食。,五峰。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属极危。,李风,https://data.yichang.gov.cn/karma/pic/b16c5e76-5d69-4f41-8b76-5958df33dee5.jpeg
5,哺乳纲,食肉目,犬科,狼,Gray wolf,体长100—140cm。四肢修长，趾行性，利于快速奔跑。头腭尖形，颜面部长，鼻端突出，耳尖且直立。犬齿及裂齿发达，上臼齿具明显齿尖，下臼齿内侧具一小齿尖及后跟尖，臼齿齿冠直径大于外侧门齿高度。毛粗而长。前足4—5趾，后足一般4趾。爪粗而钝，不能或略能伸缩。,是食肉目中分布最为广泛的动物，即使在所有哺乳动物中，其分布范围也仅仅小于人和其他少数几种啮齿类动物。在北半球的部分地区，包括草原、苔原、针叶林和落叶林、沼泽和沙漠中，都有它们的身影。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属近危。,郭莎,https://data.yichang.gov.cn/karma/pic/284fa39d-0a72-4502-9847-89f6282a0177.jpeg
6,哺乳纲,食肉目,犬科,豺,Dhole,体长85—130cm，尾长45—50cm。外形与狗相近，吻较狼短而头较宽，耳短而圆，身躯较狼为短。四肢较短，尾比狼略长，但不超过体长的一半。其毛长而密，略似狐尾。背毛红棕色，毛尖黑色，腹毛较浅淡。下臼齿每侧仅2枚。,栖息于山区、丘陵等地。活动于草坡、灌木丛。性凶残，喜群居，多由较为强壮而狡猾的“头领”带领一个或几个家族临时聚集而成，少则2—3只，多时10—30只。常晨昏觅食，多集群围捕麂和鹿。,历史文献记载，无观测记录。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属濒危。,田耀平,https://data.yichang.gov.cn/karma/pic/e8d17a8c-bf47-4364-8a66-d1a73f615274.jpeg
7,哺乳纲,食肉目,犬科,貉,raccoon dog,"体长40—60cm。外形似狐，前额和鼻吻部白色，眼周黑色。颊部覆有蓬松的长毛，形成环状领。背的前部有一交叉形图案。胸部、腿和足暗褐色，背部和尾部的毛尖黑色，尾长小于头体长的33%,且覆有蓬松的毛。背毛浅棕灰色，混有黑色毛尖。",栖息于阔叶林中开阔且接近水源的地方，或开阔草甸、茂密的灌丛带和芦苇地。取食小动物，包括啮齿动物，小鸟、蟹、昆虫等，也食浆果、真菌等植物性食料。常居于其他动物的废弃旧洞，或营巢于石隙、树洞里。,当阳、夷陵区、枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,李风,https://data.yichang.gov.cn/karma/pic/91d19fa6-929e-43a9-93db-4f0287665721.jpeg
8,哺乳纲,食肉目,犬科,赤狐,Red Fox,体长60—70cm。体形纤长，吻尖而长，鼻骨细长，额骨前部平缓，中间有一狭沟。耳较太，高而尖，直立。四肢较短，尾较长，略超过体长之半。尾形粗大，覆毛长而遵松。躯体覆有长的针毛，冬毛具丰厚的底绒。耳背上半部黑色，与头部毛色明显不同，尾梢白色。,主要以鼠、黄鼠等各种野鼠和野兔为主要食物，也吃蛙、鱼、鸟、鸟蛋、昆虫等。栖息环境非常多样，如森林、草原、荒漠、高山、丘陵、平原及村庄附近，甚至城郊，皆可栖息。,五峰,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,拍信文创,https://data.yichang.gov.cn/karma/pic/6643fbb9-1d73-4d25-a7e5-89be8d8d1a3d.jpeg
9,哺乳纲,食肉目,熊科,亚洲黑熊,Asiatic Black Bear,体长55—120 cm，尾长7—8cm。身体粗壮，头部宽圆，吻较短。体毛黑亮而长，下颌白色，胸部有一块“V”字形白斑。鼻端裸露，足垫厚实，前后足具5趾，爪尖锐不能伸缩，前足爪长于后足爪。,林栖动物，主要栖息于阔叶林和针阔混交林中。杂食性动物，以植物性食物为主，包括各种植物的叶、芽、果实、根及菇类，也会捕食虾、蟹、鱼、鸟和啮齿类动物等，还会挖掘蚁窝和蜂巢。,兴山、五峰、宜都、长阳。,国家二级重点保护野生动物，CITES附录Ⅰ，IUCN等级属易危。,拍信文创,https://data.yichang.gov.cn/karma/pic/224e09bf-2eba-45ec-9f7e-515ab4279b5c.jpeg
10,哺乳纲,食肉目,鼬科,欧亚水獭,Eurasian Otter,体长56—80cm，尾长30—40cm。头宽扁，眼耳都小。体表有又粗又密的针毛，背部为暗褐色，腹部呈淡棕色。喉、颈、胸部近白色。上唇为白色，喙角生有发达的触须，四肢粗短，趾爪长而稍锐利。尾长而扁平，基部粗，至尾端渐渐变细。,属于半水栖动物，栖居在水流较缓、水生植物贫乏而鱼类较多的河流、沼泽、池塘、湖泊等淡水水域，或是两岸林木繁茂的小溪，有时也栖息在竹林、草灌丛中。以鱼为主食，也捕食蟹、蛙、蛇、水禽等各种小型动物。,五峰。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属濒危。,拍信文创,https://data.yichang.gov.cn/karma/pic/02da438b-6829-4328-ad13-319aa647cfd4.jpeg
