mc,tyshxydm,shzzlb,stlb,ywzgdw,djgljg,cldjsj
宜昌市招标投标协会,5142050005000283XP,社会团体,行业协会商会,直接登记,宜昌市民政局,2012-06-29
宜昌市河南商会,51420500050006611G,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2012-07-06
宜昌市戏剧家协会,51420500050012683Q,社会团体,学术性,宜昌市文联,宜昌市民政局,2012-07-11
宜昌国际商会,51420500050037274P,社会团体,行业协会商会,宜昌市商务局,宜昌市民政局,2012-07-11
宜昌市传统文化研究会,51420500058117594F,社会团体,学术性,宜昌市文化和旅游局,宜昌市民政局,2012-12-06
宜昌市河北商会,51420500060661644Q,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-01-11
宜昌市钓鱼运动协会,514205000661369478,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2013-03-21
宜昌市孝感商会,514205000684159237,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-05-12
宜昌市医药健康商会,51420500075454007M,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-08-03
宜昌市企业联合会,51420500078906777U,社会团体,行业协会商会,直接登记,宜昌市民政局,2013-09-12
宜昌市四川商会,51420500082318353A,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-11-01
宜昌市生态畜牧产业协会,51420500082326804X,社会团体,行业协会商会,直接登记,宜昌市民政局,2013-11-07
宜昌市城市规划协会,51420500083819299M,社会团体,行业协会商会,直接登记,宜昌市民政局,2013-11-18
宜昌市园林商会,514205000856079271,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-12-03
宜昌市社会体育指导员协会,5142050008721879X2,社会团体,专业性,宜昌市文化和旅游局,宜昌市民政局,2013-12-09
宜昌市仙桃商会,51420500089990134Y,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2013-12-25
宜昌市警察协会,51420500090590840B,社会团体,联合性,宜昌市公安局,宜昌市民政局,2014-01-22
宜昌市水运协会,51420500094982219U,社会团体,行业协会商会,直接登记,宜昌市民政局,2014-03-19
宜昌市百合产业协会,51420500099339572Q,社会团体,行业协会商会,直接登记,宜昌市民政局,2014-05-12
宜昌市林产品专业技术协会,51420500309756498B,社会团体,专业性,宜昌市林业和园林局,宜昌市民政局,2014-07-31
宜昌市重庆商会,51420500309764711P,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2014-08-08
宜昌市商品砼商会,51420500309805560R,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2014-12-15
宜昌市安徽商会,51420500309851970B,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2014-06-05
宜昌市党外知识分子联谊会,51420500309854928L,社会团体,联合性,中共宜昌市委统战部,宜昌市民政局,2014-06-23
宜昌市心理卫生协会,5142050030986152X1,社会团体,联合性,宜昌市卫生健康委员会,宜昌市民政局,2014-07-02
宜昌市快递协会,51420500316414138E,社会团体,行业协会商会,直接登记,宜昌市民政局,2014-10-16
宜昌市新生代企业家商会,5142050031649959XE,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2014-09-15
宜昌市医药商业协会,51420500316524716J,社会团体,行业协会商会,直接登记,宜昌市民政局,2014-09-22
宜昌市户外志愿救援协会,514205003165412173,社会团体,联合性,共青团宜昌市委,宜昌市民政局,2014-09-18
宜昌市房地产业协会,514205003165851645,社会团体,行业协会商会,直接登记,宜昌市民政局,2014-11-27
宜昌市天门商会,51420500326080522J,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2015-01-22
宜昌市青年创业者协会,51420500326095337K,社会团体,行业协会商会,直接登记,宜昌市民政局,2011-04-21
宜昌市人力资源管理研究会,51420500326108353U,社会团体,学术性,宜昌市社科联,宜昌市民政局,2015-01-12
宜昌市政协书画摄影协会,51420500331736354A,社会团体,专业性,宜昌市政协办,宜昌市民政局,2015-02-15
宜昌市职业经理人协会,51420500331742009E,社会团体,行业协会商会,直接登记,宜昌市民政局,2015-02-04
宜昌市屈原学会,51420500331775126R,社会团体,学术性,宜昌市社科联,宜昌市民政局,2015-03-25
宜昌市湖南商会,514205003317961628,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2015-02-15
宜昌市毽球协会,514205003318847285,社会团体,联合性,宜昌市文化和旅游局,宜昌市民政局,2010-04-26
宜昌市食堂餐饮协会,514205003434975731,社会团体,行业协会商会,直接登记,宜昌市民政局,2015-07-16
宜昌市盲人协会,51420500343509677E,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2015-07-13
宜昌市精神残疾人及亲友协会,51420500343509730A,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2015-07-13
宜昌市聋人协会,51420500343509829T,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2015-07-13
宜昌市智力残疾人及亲友协会,5142050034351090X3,社会团体,联合性,宜昌市残疾人联合会,宜昌市民政局,2015-07-13
宜昌市汽车行业商会,51420500352321393F,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2015-08-10
宜昌市关公文化研究会,51420500352336421K,社会团体,学术性,宜昌市社科联,宜昌市民政局,2015-08-04
宜昌市关爱单亲家庭协会,514205003523585406,社会团体,联合性,宜昌市妇女联合会,宜昌市民政局,2015-09-17
宜昌市陕西商会,51420500352360552B,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2015-11-02
宜昌市文化创意产业协会,51420500352360587X,社会团体,行业协会商会,宜昌市文化和旅游局,宜昌市民政局,2015-10-27
宜昌市道教协会,514205003523609900,社会团体,联合性,宜昌市民宗委,宜昌市民政局,2015-11-02
宜昌市白莲花爱心公益服务协会,51420500352389232Q,社会团体,联合性,直接登记,宜昌市民政局,2015-12-17
宜昌市畜牧产业协会,51420500352401158J,社会团体,行业协会商会,直接登记,宜昌市民政局,2015-10-19
宜昌市江西商会,51420500399720877W,社会团体,行业协会商会,宜昌市工商联,宜昌市民政局,2014-06-03
宜昌市建筑业协会,51420500503606629T,社会团体,行业协会商会,直接登记,宜昌市民政局,1991-04-20
宜昌市税务学会,51420500503606637M,社会团体,学术性,国家税务总局宜昌市税务局,宜昌市民政局,1991-04-11
宜昌市爆破学会,51420500503606653B,社会团体,学术性,宜昌市科学技术协会,宜昌市民政局,1991-04-09
宜昌市老科技工作者协会,514205005036066616,社会团体,联合性,宜昌市科学技术协会,宜昌市民政局,1991-04-15
宜昌市会计学会,5142050050360667XX,社会团体,学术性,宜昌市财政局,宜昌市民政局,1991-04-16
宜昌市专家金融家实业家联谊会,514205005036067179,社会团体,联合性,宜昌市社科联,宜昌市民政局,1995-08-07
宜昌市健康促进与控制吸烟协会,51420500503606768H,社会团体,学术性,宜昌市卫生健康委员会,宜昌市民政局,1999-10-27
宜昌市质量强市促进会（宜昌市质量协会）,51420500503606813J,社会团体,行业协会商会,直接登记,宜昌市民政局,1991-04-23
