xxfbsj,tqsk,tqyb
20220101,昨日我市晴转多云，最高气温11～15℃，最低气温-1～2℃。,预计今明两天我市多云到晴，1～16℃；后天多云转小雨，3～14℃。宜昌市气象台发布
20220102,昨日我市晴到多云，最高气温14～17℃，最低气温-1～2℃。,预计今天我市多云到晴，2～13℃；明天多云转小雨，3～11℃；后天小雨，4～8℃。宜昌市气象台发布
20220103,昨日我市晴到多云，最高气温12～15℃，最低气温-1～3℃。,预计今天白天我市多云，夜间有小雨，2～13℃；明天小雨，局部中雨，4～9℃，高海拔地区有雨夹雪或雪；后天多云，4～10℃。宜昌市气象台发布
20220104,昨日白天我市多云转阴，夜间有小雨，最高气温10～13℃，最低气温0～4℃。,预计今天白天我市大部小雨，局部中雨，夜间小雨转阴天，4～8℃，高海拔地区有雨夹雪或雪；明天多云到阴天，4～10℃；后天阴天有短时小雨，4～8℃，高海拔地区有雨夹雪或雪。宜昌市气象台发布
20220105,昨日我市小到中雨，部分高海拔乡镇小雪，大部有霾，最高气温7～9℃，最低气温4～6℃。,预计今天我市多云到阴天，4～10℃；明后两天阴天有间断小雨，3～8℃，高海拔地区有雨夹雪或雪。宜昌市气象台发布
20220106,昨日我市阴天，最高气温7～10℃，最低气温3～6℃。,预计今天我市阴天，五峰、长阳等南部县市有小雨，4～7℃；明天阴天有小雨，4～8℃，高海拔地区有雨夹雪或雪；后天阴天，3～8℃。宜昌市气象台发布
20220107,昨日我市阴天，南部县市有短时小雨，最高气温5～7℃，最低气温3～6℃。,预计今天白天我市阴天，夜间有分散性小雨，4～8℃，高海拔地区有雨夹雪或小雪；明天短时小雨转多云，3～7℃，后天多云转小雨，3～11℃。宜昌市气象台发布
20220108,昨日我市阴天转小雨，最高气温7～10℃，最低气温4～5℃。,预计今天白天我市短时小雨转阴天，4～8℃，高海拔地区有雨夹雪或小雪；明天多云到阴天，4～12℃，后天小雨转阴天，3～8℃。宜昌市气象台发布
20220109,昨日我市大部小雨转阴天，高海拔地区有雨夹雪或雪，今天早晨局部有雾，最高气温5～8℃。,预计今天我市多云转阴天，夜间西部有小雨，4～11℃；明天小雨转多云，2～9℃，高海拔地区有雨夹雪或雪；后天多云到晴，2～12℃。宜昌市气象台发布
20220110,昨日我市阴天到多云，夜间西部有分散小雨，最高气温8～11℃。,预计今天我市阴天有分散性小雨，2～9℃，高海拔地区有雨夹雪或雪；明天多云到晴，2～12℃；后天阴天，局部有短时小雨，1～9℃。宜昌市气象台发布
20220111,昨日我市分散小雨转多云，夜间至今天早晨中东部县市出现大雾，最高气温10～11℃，兴山15℃。,预计今天我市多云到晴，2～13℃；明天多云到阴天，有短时小雨，3～10℃；后天阴天转小雨，2～7℃，山区有小到中雪。宜昌市气象台发布
20220112,昨日我市多云，夜间至今天早晨中东部县市出现大雾，最高气温10～13℃，当阳8℃。,预计今天我市多云到阴天，有短时小雨，2～8℃；明天阴天转小雨或雨夹雪，1～6℃，山区有中到大雪；后天雨夹雪转多云，1～5℃。宜昌市气象台发布
20220113,昨日我市阴天间多云，昨日早晨宜昌城区、夷陵、长阳、宜都、枝江、远安出现大雾，最高气温5～8℃，兴山、秭归和五峰13℃。,预计今天我市多云夜间转雨夹雪或小雪，山区有中到大雪，1～8℃；明天雨夹雪转多云，3～8℃；后天阴转小雨，2～9℃。宜昌市气象台发布
20220114,昨日我市大部阴天转小雨或雨夹雪，山区中到大雪，最高气温6～8℃。,预计今天我市小雪转多云，山区有中到大雪，1～6℃；明天多云到阴天，夜间南部转小雨，2～9℃；后天阴天到多云，南部短时小雨转阴天，3～9℃。宜昌市气象台发布
20220115,昨日我市雨夹雪或小雪转阴天，山区小到中雪，最高气温4～9℃。,预计今天我市多云转阴，夜间南部有小雨，高海拔地区有雨夹雪或雪，2～11℃；明天多云，南部有短时小雨，3～12℃；后天多云到晴，3～13℃。宜昌市气象台发布
20220116,昨日我市多云，最高气温9～11℃。,预计今天我市阴天到多云，7～12℃；明后天多云到晴，3～14℃。宜昌市气象台发布
20220117,昨日我市大部多云，最高气温11～14℃。,预计今明两天我市多云到晴，4～14℃；后天多云，4～15℃。宜昌市气象台发布
20220118,昨日我市大部多云到晴，最高气温13～16℃，今天早晨中东部县市出现大雾。,预计今明两天我市多云到晴，早晨有雾，1～14℃；后天阴转小雨，4～8℃。宜昌市气象台发布
20220119,昨日我市晴到多云，早晨出现大雾，最高气温大部11～13℃，兴山和五峰15～16℃。,预计今天我市中东部地区雾转多云，1～11℃，西部晴到多云，3～14℃；明天阴转小雨，6～10℃，高海拔雨夹雪或雪；后天小到中雨，4～6℃，高海拔地区中雪。宜昌市气象台发布
20220120,昨日我市中东部地区雾转多云，西部地区晴到多云，最高气温大部8～13℃，秭归、五峰、兴山16～19℃。,预计今天我市大部阴转小雨，5～9℃，高海拔阴天转雨夹雪或雪；明天小到中雨，3～7℃，高海拔中到大雪；后天小雨，3～6℃，高海拔地区小到中雪。宜昌市气象台发布
20220121,昨日我市大部阴天转小到中雨，最高气温大部8～10℃，半高山以上小雪。,预计今明两天我市小到中雨，3～6℃，半高山以上中到大雪；后天小雨，2～5℃，半高山以上中到大雪。宜昌市气象台发布
20220122,昨日我市北部阴天有小雨，南部中雨，五峰局部大雨，最高气温大部4～6℃，兴山8℃，半高山以上小到中雪。,预计今明两天我市阴天有小到中雨，2～5℃，半高山以上中到大雪；后天阴天转小雨，2～6℃，半高山以上中到大雪。宜昌市气象台发布
20220123,昨日我市小到中雨，局部大雨，半高山以上小到中雪，夜间宜都、当阳、夷陵出现短暂雨夹雪，最高气温大部3～6℃，最低气温1～4℃。,预计今天我市阴天有雨夹雪，1～4℃，半高山以上小到中雪；明天阴天有间断小雨雪，1～5℃；后天小到中雨转雨夹雪或雪，1～3℃，山区大雪。宜昌市气象台发布
20220124,昨日我市阴天有间断小雨雪，半高山以上小雪，最高气温大部5～7℃，最低气温3～4℃。,预计今天我市阴天转小雨，3～6℃，半高山以上小到中雪；明天小到中雨转雨夹雪或雪，1～3℃，半高山以上大雪；后天雨夹雪转中到大雪，0～3℃，山区大雪。宜昌市气象台发布
20220125,昨日我市大部阴天，西部及南部县市有小雨(雪)，最高气温大部5～8℃，最低气温2～5℃。,预计今天我市小到中雨转雨夹雪或雪，1～5℃，半高山以上大雪；明天雨夹雪转中到大雪，0～4℃，山区大雪；后天大雪，局部暴雪，-1～2℃。宜昌市气象台发布
20220126,昨日我市小到中雨转雨夹雪，市城区、夷陵区、五峰转雪并出现积雪，半高山以上地区大雪，最高气温大部3～5℃，兴山7℃；最低气温0～2℃，兴山4℃。,预计今天我市大部雨夹雪转中到大雪，0～3℃，山区大到暴雪；明天大雪，局部暴雪，-1～1℃；后天中雪，-2～0℃。宜昌市气象台发布
20220127,昨日我市阴天有小雨或雨夹雪，除兴山和枝江以外，大部县市均出现短暂小雪，山区有大到暴雪；最高气温大部4～6℃，兴山7℃；最低气温0～2℃，兴山4℃。,预计今天白天我市大部雨夹雪转小到中雪，山区中到大雪，1～4℃；今天夜间到明天白天中到大雪，局部暴雪，-2～2℃；明天夜间到后天小到中雪转阴天，-2～2℃。宜昌市气象台发布
20220128,昨日白天我市小雨或雨夹雪转阴天，夜间兴山、秭归、远安小到中雪，其余县市中到大雪；最高气温大部3～6℃，兴山7℃；最低气温0～1℃。,预计今天我市北部阴有中雪，南部阴有中到大雪，-1～2℃；明天小雪转阴天，-2～4℃；后天多云，-2～6℃。宜昌市气象台发布
