xh,xsq,zhzs,zdzs,zywrw,sj
1,五峰土家族自治县,4.59,1.69,PM2.5,2021.01
2,兴山县,4.71,1.69,PM2.5,2021.01
3,长阳土家族自治县,4.74,1.77,PM2.5,2021.01
4,秭归县,4.85,1.8,PM2.5,2021.01
5,枝江市,5.02,1.69,PM2.5,2021.01
6,猇亭区,5.21,1.97,PM2.5,2021.01
7,远安县,5.36,1.86,PM2.5,2021.01
8,当阳市,5.74,2,PM2.5,2021.01
9,宜都市,5.74,2.11,PM2.5,2021.01
10,高新区,5.95,2.31,PM2.5,2021.01
11,点军区,5.96,2.46,PM2.5,2021.01
12,伍家岗区,6.02,2.43,PM2.5,2021.01
13,西陵区,6.35,2.46,PM2.5,2021.01
14,夷陵区,6.6,2.6,PM2.5,2021.01
15,兴山县,3.08,1,PM2.5,2021.02
16,五峰土家族自治县,3.19,1.11,PM2.5,2021.02
17,长阳土家族自治县,3.6,1.34,PM2.5,2021.02
18,远安县,3.61,1.23,PM2.5,2021.02
19,秭归县,3.79,1.34,PM2.5,2021.02
20,枝江市,3.85,1.31,PM2.5,2021.02
21,猇亭区,3.93,1.51,PM2.5,2021.02
22,高新区,4.04,1.6,PM2.5,2021.02
23,当阳市,4.09,1.29,PM2.5,2021.02
24,宜都市,4.29,1.54,PM2.5,2021.02
25,伍家岗区,4.3,1.6,PM2.5,2021.02
26,点军区,4.35,1.69,PM2.5,2021.02
27,夷陵区,4.43,1.66,PM2.5,2021.02
28,西陵区,4.54,1.66,PM2.5,2021.02
29,五峰土家族自治县,2.55,0.63,PM2.5,2021.03
30,兴山县,2.87,0.69,"PM10,PM2.5",2021.03
31,长阳土家族自治县,2.97,0.91,PM2.5,2021.03
32,秭归县,3.38,0.89,PM2.5,2021.03
33,远安县,3.48,1.11,PM10,2021.03
34,枝江市,3.75,1.04,PM10,2021.03
35,猇亭区,3.78,1.23,PM2.5,2021.03
36,高新区,3.92,1.31,PM2.5,2021.03
37,伍家岗区,3.95,1.26,PM2.5,2021.03
38,点军区,3.99,1.23,PM2.5,2021.03
39,当阳市,4,1.09,PM10,2021.03
40,宜都市,4.03,1.2,PM2.5,2021.03
41,夷陵区,4.16,1.24,PM10,2021.03
42,西陵区,4.2,1.29,PM2.5,2021.03
43,五峰土家族自治县,2.09,0.62,O3,2021.04
44,兴山县,2.5,0.65,O3,2021.04
45,长阳土家族自治县,2.7,0.69,O3,2021.04
46,远安县,2.93,0.79,PM10,2021.04
47,秭归县,3.19,0.8,NO2,2021.04
48,枝江市,3.25,0.8,O3,2021.04
49,点军区,3.25,0.83,PM2.5,2021.04
50,宜都市,3.25,0.86,PM2.5,2021.04
51,猇亭区,3.25,0.91,PM2.5,2021.04
52,夷陵区,3.34,0.86,PM2.5,2021.04
53,伍家岗区,3.43,0.89,PM2.5,2021.04
54,当阳市,3.44,0.8,PM10,2021.04
55,高新区,3.47,1.03,PM2.5,2021.04
56,西陵区,3.51,0.89,PM2.5,2021.04
57,五峰土家族自治县,2.21,0.66,O3,2021.05
58,兴山县,2.67,0.74,O3,2021.05
59,长阳土家族自治县,2.92,0.79,O3,2021.05
60,枝江市,3.28,0.89,O3,2021.05
61,猇亭区,3.57,0.94,PM2.5,2021.05
62,远安县,3.57,1.03,PM2.5,2021.05
63,秭归县,3.58,0.89,O3,2021.05
64,夷陵区,3.67,0.94,PM2.5,2021.05
65,宜都市,3.67,0.97,PM2.5,2021.05
66,点军区,3.7,0.9,O3,2021.05
67,伍家岗区,3.7,0.94,PM2.5,2021.05
68,高新区,3.71,0.97,PM2.5,2021.05
69,当阳市,3.83,0.94,PM10,2021.05
70,西陵区,3.87,0.97,PM2.5,2021.05
71,五峰土家族自治县,2.14,0.84,O3,2021.06
72,兴山县,2.26,0.81,O3,2021.06
73,长阳土家族自治县,2.53,1,O3,2021.06
74,宜都市,2.94,0.96,O3,2021.06
75,高新区,2.97,1.19,O3,2021.06
76,远安县,3.07,0.98,O3,2021.06
77,夷陵区,3.12,1.1,O3,2021.06
78,枝江市,3.12,1.16,O3,2021.06
79,西陵区,3.18,1.09,O3,2021.06
80,伍家岗区,3.2,1.06,O3,2021.06
81,秭归县,3.22,0.99,O3,2021.06
82,点军区,3.25,1.19,O3,2021.06
83,猇亭区,3.27,1.11,O3,2021.06
84,当阳市,3.31,1.04,O3,2021.06
85,长阳土家族自治县,1.61,0.63,O3,2021.07
86,五峰土家族自治县,1.84,0.61,O3,2021.07
87,兴山县,1.85,0.61,O3,2021.07
88,远安县,2.12,0.68,O3,2021.07
89,枝江市,2.13,0.78,O3,2021.07
90,宜都市,2.14,0.8,O3,2021.07
91,伍家岗区,2.27,0.8,O3,2021.07
92,秭归县,2.29,0.66,O3,2021.07
93,夷陵区,2.3,0.82,O3,2021.07
94,猇亭区,2.3,0.83,O3,2021.07
95,高新区,2.32,0.9,O3,2021.07
96,西陵区,2.33,0.83,O3,2021.07
97,点军区,2.33,0.9,O3,2021.07
98,当阳市,2.57,0.71,O3,2021.07
