rq,xq,tq,qw
20230101,日,阴天有小雨，半高山以上有雨夹雪或雪,4～7℃
20230102,一,阴天有短时小雨，高山有零星小雨雪,4～10℃
20230103,二,多云转阴天,5～11℃
20230104,三,阴天，局部有短时小雨,5～10℃
20230105,四,多云转晴,4～14℃
20230106,五,晴天,4～18℃
20230107,六,晴天,5～20℃
20230108,日,晴转多云,6～19℃
20230109,一,多云到晴,4～18℃
20230110,二,多云,4～16℃
20230111,三,多云转阴，夜间有短时小雨,5～13℃
20230112,四,阴天有短时小雨,8～13℃
20230113,五,小雨，局部中雨,9～11℃
20230114,六,阴天夜间转小到中雪,-2～8℃
20230115,日,小雪转阴天,-2～1℃
20230116,一,阴天到多云,-2～4℃
20230117,二,阴天到多云,1～9℃
20230118,三,阴天到多云,3～8℃
20230119,四,多云到晴,0～14℃
20230120,五,多云转小雨,0～7℃
20230121,六,阴天转小雨，半高山以上小雪、局部中雪,3～7℃
20230122,日,阴天有间断小雨，半高山以上小雪,3～6℃
20230123,一,阴天转多云，局部有短时小雨雪,2～10℃
20230124,二,晴天,-1～7℃
20230125,三,晴转多云,-3～8℃
20230126,四,多云转阴天,-1～7℃
20230127,五,多云,0～9℃
20230128,六,晴到多云,-1～11℃
20230129,日,晴到多云,-1～15℃
20230130,一,晴到多云,2～17℃
20230131,二,晴到多云,3～18℃
20230201,三,多云转阴天,6～13℃
20230202,四,阴天有小雨,2～7℃
20230203,五,阴天转多云,1～8℃
20230204,六,阴天有短时小雨,2～9℃
20230205,日,小雨转阴天,3～11℃
20230206,一,阴天有短时小雨,4～13℃
20230207,二,阴天转小到中雨,7～13℃
20230208,三,北部小雨，南部小到中雨,5～8℃
20230209,四,高海拔地区有雨夹雪或雪小雨转多云,2～7℃
20230210,五,高海拔地区雨夹雪或雪转多云多云,2～10℃
20230211,六,阴天有短时小雨,4～8℃
20230212,日,阴天转小雨，局部中雨高海拔地区夜间转雪,5～9℃
20230213,一,小雨，半高山以上有小雪,2～5℃
20230214,二,阴天转多云,2～9℃
20230215,三,多云转阴天,0～11℃
20230216,四,阴天,1～10℃
20230217,五,多云,4～15℃
20230218,六,阴天,7～13℃
20230219,日,多云,6～14℃
20230220,一,多云转阴天，西部有短时小雨,6～13℃
20230221,二,阴天，局部有短时小雨,6～11℃
20230222,三,阴天转小雨，半高山及以上雨夹雪或雪,5～7℃
20230223,四,小雨转阴天，半高山及以上雨夹雪或雪,4～7℃
20230224,五,多云到晴,3～17℃
20230225,六,阴天到多云,5～14℃
20230226,日,多云到晴,3～15℃
20230227,一,多云转阴天，夜间西部有小雨,4～14℃
20230228,二,小雨转阴天,8～14℃
20230301,三,阴天有小雨,8～13℃
20230302,四,阴天，局部小雨,7～16℃
20230303,五,多云到晴,7～20℃
20230304,六,晴天,9～24℃
20230305,日,晴天,9～25℃
20230306,一,多云转阵雨或雷阵雨,11～25℃
20230307,二,阴天到多云，局部有短时小雨,12～24℃
20230308,三,多云到晴,11～26℃
20230309,四,晴到多云,12～28℃
20230310,五,多云转阴天,13～26℃
20230311,六,多云,11～26℃
20230312,日,多云转晴,11～18℃
20230313,一,晴天,4～20℃
20230314,二,晴到多云,8～24℃
20230315,三,晴转多云,9～25℃
20230316,四,小到中雨,11～14℃
20230317,五,小雨转多云,10～19℃
20230318,六,小雨转阴天，五峰、长阳中雨,6～10℃
20230319,日,阴天，局部阵雨,8～13℃
20230320,一,阴天，夜间转小雨,10～15℃
20230321,二,小到中雨,11～15℃
20230322,三,小到中雨,9～14℃
20230323,四,小雨，局部中雨,7～13℃
20230324,五,阴天有小雨,7～13℃
20230325,六,阴天到多云，局部有零星小雨,6～15℃
20230326,日,多云到阴天，西部有阵雨,7～19℃
20230327,一,多云，局部有阵雨,10～20℃
20230328,二,阴天间多云，局部有阵雨,10～16℃
20230329,三,阴天有间断小雨,11～15℃
20230330,四,多云,11～19℃
20230331,五,多云到晴,12～22℃
20230401,六,晴到多云，夜间局部有阵雨,12～26℃
20230402,日,阵雨转中到大雨，局部暴雨,14～18℃
20230403,一,中到大雨转小雨,12～18℃
20230404,二,阴天有小雨,11～16℃
20230405,三,阴天有小雨,11～16℃
20230406,四,阴天转多云,10～19℃
20230407,五,多云,11～20℃
20230408,六,多云到晴,11～21℃
20230409,日,晴到多云,12～25℃
20230410,一,晴到多云，局部阵雨或雷阵雨,15～29℃
20230411,二,晴到多云,14～28℃
20230412,三,晴到多云，夜间有短时阵雨,15～27℃
20230413,四,阵雨转多云,16～27℃
20230414,五,北部多云到晴，南部阵雨转多云,14～25℃
20230415,六,晴到多云,14～30℃
20230416,日,晴天,16～33℃
20230417,一,多云转阵雨或雷阵雨,17～28℃
20230418,二,多云，局部有短时阵雨,18～30℃
20230419,三,晴到多云,18～32℃
20230420,四,多云转阵雨或雷阵雨,16～31℃
20230421,五,小到中雨，局部大雨,10～16℃
20230422,六,中雨，局部大雨,9～12℃
20230423,日,北部小雨，南部小到中雨,8～11℃
20230424,一,小雨，局部中雨,8～12℃
20230425,二,多云到晴,9～21℃
20230426,三,晴转多云,13～27℃
20230427,四,阴天有阵雨,15～20℃
20230428,五,多云,14～25℃
20230429,六,多云到晴,12～26℃
20230430,日,晴到多云,13～29℃
20230501,一,多云转阵雨或雷阵雨,14～26℃
20230502,二,北部阵雨，南部中到大雨,16～21℃
20230503,三,北部阵雨，南部中到大雨,17～21℃
20230504,四,阴天，局部小雨,18～23℃
20230505,五,阴天，局部小雨,18～25℃
20230506,六,小到中雨转阴天,14～19℃
20230507,日,阴天有小雨,14～19℃
20230508,一,多云,14～24℃
20230509,二,多云,15～24℃
20230510,三,阴天有小雨,15～19℃
20230511,四,小雨转多云,14～20℃
20230512,五,多云到晴,15～27℃
20230513,六,晴到多云,17～31℃
20230514,日,晴到多云,19～32℃
20230515,一,晴到多云,20～33℃
20230516,二,多云有阵雨或雷阵雨,19～24℃
20230517,三,多云到晴,19～30℃
20230518,四,多云到晴,20～31℃
20230519,五,多云间晴,20～30℃
20230520,六,多云转阵雨或雷阵雨,20～32℃
20230521,日,中到大雨，局部暴雨,16～23℃
20230522,一,阴天到多云,17～24℃
20230523,二,多云，局部阵雨,17～24℃
20230524,三,晴到多云,18～29℃
20230525,四,晴到多云，局部阵雨,21～31℃
20230526,五,晴到多云，局部阵雨,23～32℃
20230527,六,阴天间多云有阵雨，局部中雨,21～25℃
20230528,日,阴天有分散性阵雨，局部中雨,22～28℃
20230529,一,多云转阴天，局部阵雨,22～29℃
20230530,二,阵雨转多云,22～29℃
20230531,三,多云,21～31℃
20230601,四,多云到晴,22～31℃
20230602,五,多云,23～32℃
20230603,六,阴天，局部阵雨,19～24℃
20230604,日,阴天转中到大雨,19～23℃
20230605,一,中雨，局部大雨,18～22℃
20230606,二,多云,18～28℃
20230607,三,多云，局部阵雨,20～30℃
20230608,四,多云，南部阵雨,20～30℃
20230609,五,多云到晴,20～32℃
20230610,六,晴到多云，午后局部雷阵雨,24～37℃
20230611,日,多云转阵雨或雷阵雨,24～34℃
20230612,一,阵雨,22～31℃
20230613,二,多云到晴,22～32℃
20230614,三,多云到晴,23～33℃
20230615,四,多云转阵雨或雷阵雨,23～32℃
20230616,五,阵雨,22～30℃
20230617,六,阴天转中到大雨，西部、南部暴雨,20～24℃
20230618,日,北部中雨，南部大雨，局部暴雨,20～23℃
20230619,一,阴天到多云，南部小雨转多云,22～30℃
20230620,二,多云,23～31℃
20230621,三,多云有阵雨或雷阵雨,24～32℃
20230622,四,多云，局部阵雨,24～31℃
20230623,五,多云转阵雨,24～32℃
20230624,六,多云转阵雨,21～31℃
20230625,日,阵雨,22～30℃
20230626,一,多云到晴,23～32℃
20230627,二,晴到多云，局部阵雨或雷阵雨,24～35℃
20230628,三,多云转阵雨或雷阵雨,24～33℃
20230629,四,阵雨转中雨，局部大雨,25～31℃
20230630,五,中到大雨,24～27℃
20230701,六,东部多云有阵雨，西部中到大雨，局部暴雨,23～31℃
20230702,日,南部多云有阵雨，北部中雨，局部大雨,24～33℃
20230703,一,多云转雷阵雨，西部中雨,25～35℃
20230704,二,中到大雨，局部暴雨,24～28℃
20230705,三,多云到晴，局部阵雨,23～34℃
20230706,四,多云转中雨,24～33℃
20230707,五,小到中雨,25～30℃
20230708,六,北部多云到晴，南部多云有分散性阵雨,25～34℃
20230709,日,多云有阵雨，西部、南部雨量中等,26～35℃
20230710,一,多云到晴,27～35℃
20230711,二,多云到晴,27～36℃
20230712,三,多云到晴，午后局部阵雨,28～36℃
20230713,四,晴到多云，午后有雷阵雨,28～37℃
20230714,五,多云有阵雨,28～37℃
20230715,六,多云到睛,23～36℃
20230716,日,多云到晴,24～36℃
20230717,一,多云，南部阵雨,25～35℃
20230718,二,多云，南部阵雨,25～34℃
20230719,三,睛到多云,25～35℃
20230720,四,晴到多云，西部阵雨或雷阵雨,26～36℃
20230721,五,阵雨,27～37℃
20230722,六,多云到晴,25～36℃
20230723,日,多云到晴,26～37℃
20230724,一,多云有阵雨,25～35℃
20230725,二,多云有阵雨,25～34℃
20230726,三,多云,26～35℃
20230727,四,多云有阵雨,26～34℃
20230728,五,多云有阵雨,26～34℃
20230729,六,多云有阵雨,25～33℃
20230730,日,多云有阵雨,25～34℃
20230731,一,多云有阵雨，局部雨量中等,26～34℃
20230801,二,多云，局部阵雨,25～33℃
20230802,三,晴到多云，局部阵雨,26～35℃
20230803,四,多云有阵雨，局部中雨或大雨,25～35℃
20230804,五,中阵雨，局部大雨,26～32℃
20230805,六,多云到晴,27～37℃
20230806,日,晴到多云,26～37℃
20230807,一,多云，局部阵雨,26～34℃
20230808,二,多云有阵雨,26～33℃
20230809,三,多云有中阵雨,26～33℃
20230810,四,多云,25～34℃
20230811,五,晴到多云,25～35℃
20230812,六,多云转分散性中到大雨，局部暴雨,25～36℃
20230813,日,多云，南部阵雨转多云,25～34℃
20230814,一,多云，西部阵雨,26～33℃
20230815,二,多云，西部阵雨,26～34℃
20230816,三,多云到晴,26～35℃
20230817,四,多云到晴,25～36℃
20230818,五,多云有分散性阵雨,25～34℃
20230819,六,多云有分散性阵雨，局部雨量中等,25～34℃
20230820,日,多云有分散性阵雨，西部、北部中到大雨，局部暴雨,25～33℃
20230821,一,阵雨转多云,25～31℃
20230822,二,多云到晴,24～34℃
20230823,三,多云，局部阵雨,25～34℃
20230824,四,多云有阵雨,25～33℃
20230825,五,阵雨,24～30℃
20230826,六,中到大雨，西部、北部大到暴雨,23～27℃
20230827,日,北部中雨，南部中到大雨,22～25℃
20230828,一,多云,21～30℃
20230829,二,多云到晴,19～31℃
20230830,三,睛到多云,19～31℃
20230831,四,多云到晴,20～31℃
20230901,五,晴到多云,20～32℃
20230902,六,多云，局部短时阵雨,20～32℃
20230903,日,多云到晴,20～34℃
20230904,一,晴转多云,20～34℃
20230905,二,多云有分散性阵雨,21～33℃
20230906,三,多云有分散性阵雨,22～33℃
20230907,四,晴到多云,21～34℃
20230908,五,晴到多云,21～34℃
20230909,六,多云到睛，局部阵雨,24～34℃
20230910,日,多云有分散性阵雨,25～35℃
20230911,一,多云转中阵雨，局部雨量较大,23～31℃
20230912,二,小到中雨，局部大雨,22～26℃
20230913,三,阴天到多云,21～29℃
20230914,四,多云到晴,21～32℃
20230915,五,多云到睛,22～32℃
20230916,六,多云到晴，局部阵雨,22～33℃
20230917,日,晴到多云,22～32℃
20230918,一,多云转雷阵雨，北部、西部雨量较大,23～31℃
20230919,二,大雨，局部暴雨,21～25℃
20230920,三,中雨，西部大雨,19～23℃
20230921,四,阴天到多云，西部阵雨,20～26℃
20230922,五,多云有分散性阵雨,20～29℃
20230923,六,北部大雨，南部中雨,17～21℃
20230924,日,阴天，局部阵雨,18～21℃
20230925,一,多云，局部阵雨,19～23℃
20230926,二,多云，局部阵雨,20～28℃
20230927,三,多云有分散性阵雨,20～29℃
20230928,四,小到中雨，局部大雨,18～25℃
20230929,五,多云,15～25℃
20230930,六,小到中雨，北部大雨,20～26℃
20231001,日,小到中雨,18～22℃
20231002,一,东部小雨，西部中到大雨,18～21℃
20231003,二,东部小雨，西部中雨,19～21℃
20231004,三,阴天有小雨,18～24℃
20231005,四,阴天，局部小雨,17～21℃
20231006,五,阴天，局部小雨,17～22℃
20231007,六,阴天转多云,13～22℃
20231008,日,晴转多云,14～25℃
20231009,一,多云转阴天,15～25℃
20231010,二,阴天有短时小雨,16～23℃
20231011,三,阴天有短时小雨,15～23℃
20231012,四,多云,14～24℃
20231013,五,多云,13～25℃
20231014,六,多云到晴,14～27℃
20231015,日,晴到多云,15～28℃
20231016,一,多云到晴,15～27℃
20231017,二,多云到阴天，局部有零星小雨,15～26℃
20231018,三,阴天转小到中雨，局部大雨,15～23℃
20231019,四,小雨转多云,12～21℃
20231020,五,多云到晴,11～25℃
20231021,六,多云转阴天,11～22℃
20231022,日,多云,12～24℃
20231023,一,阴天有分散性小雨,13～22℃
20231024,二,多云,14～26℃
20231025,三,阴天转小雨，局部中雨,16～25℃
20231026,四,小雨,15～22℃
20231027,五,小雨,13～20℃
20231028,六,阴天，局部有短时小雨,16～23℃
20231029,日,多云,15～26℃
20231030,一,多云到晴,14～28℃
20231031,二,多云到晴,14～28℃
20231101,三,多云到晴,15～29℃
20231102,四,多云转小雨,16～28℃
20231103,五,小到中雨,15～21℃
20231104,六,阴天有小到中雨，南部中到大雨,14～19℃
20231105,日,小雨转多云,10～18℃
20231106,一,多云到晴,10～19℃
20231107,二,阴天有短时小雨,10～18℃
20231108,三,多云间晴,11～20℃
20231109,四,多云到阴天,11～21℃
20231110,五,多云,12～22℃
20231111,六,阴天有小雨，高山转雨夹雪或雪,7～10℃
20231112,日,阴天有小雨，高山有雨夹雪或雪,7～10℃
20231113,一,阴天转多云,3～11℃
20231114,二,多云到晴,3～14℃
20231115,三,阴天有小雨，高山有雨夹雪或雪,6～11℃
20231116,四,多云到晴,3～15℃
20231117,五,晴到多云,4～18℃
20231118,六,多云到晴,7～19℃
20231119,日,晴到多云,8～23℃
20231120,一,晴到多云,9～23℃
20231121,二,多云转阴天,10～21℃
20231122,三,阴天有小雨，局部中雨,11～19℃
20231123,四,北部多云到晴，南部短时小雨转多云,6～20℃
20231124,五,多云,6～16℃
20231125,六,阴天有小雨,9～12℃
20231126,日,多云,8～15℃
20231127,一,晴到多云,7～22℃
20231128,二,晴到多云,7～17℃
20231129,三,多云到阴天,8～15℃
20231130,四,阴天，局部有短时小雨,7～12℃
20231201,五,多云到阴天，局部小雨,6～13℃
20231202,六,阴天到多云，局部有短时小雨,4～12℃
20231203,日,多云转短时小雨,7～13℃
20231204,一,北部多云转睛，南部阴天转睛,6～16℃
20231205,二,晴到多云,6～17℃
20231206,三,晴到多云,7～18℃
20231207,四,晴到多云,8～19℃
20231208,五,多云到晴,8～18℃
20231209,六,多云转小雨,10～20℃
20231210,日,中雨，局部大雨,6～12℃
20231211,一,小雨转阴天,4～8℃
20231212,二,多云到阴天，夜间南部小雨,3～11℃
20231213,三,阴天有小雨,6～8℃
20231214,四,中雨，局部大雨,3～7℃
20231215,五,小雨，西部山区有雨夹雪或雪,3～6℃
20231216,六,多云,-1～5℃
20231217,日,阴天，局部有短时小雨雪,-1～2℃
20231218,一,阴天，局部有零星小雨雪,0～3℃
20231219,二,多云到晴,-1～9℃
20231220,三,多云到晴,-2～7℃
20231221,四,晴到多云,-2～5℃
20231222,五,多云,-2～5℃
20231223,六,多云到晴,-1～8℃
20231224,日,晴到多云,0～10℃
20231225,一,晴转多云,2～11℃
20231226,二,阴天，局部有短时小雨,4～11℃
20231227,三,多云到晴,2～11℃
20231228,四,多云到晴,2～12℃
20231229,五,多云到晴,3～15℃
20231230,六,多云，早晨部分地区有雾,5～16℃
20231231,日,多云，夜间转小雨，早晨部分地区有雾,5～14℃
20240101,一,阴天有小雨,6～12℃
20240102,二,阴天转多云,5～12℃
20240103,三,晴转多云,4～14℃
20240104,四,多云,4～14℃
20240105,五,阴天有小雨,5～12℃
20240106,六,阴天到多云,5～14℃
20240107,日,阴天有小雨,4～11℃
20240108,一,多云,4～12℃
20240109,二,多云到晴,3～15℃
20240110,三,晴转多云,3～14℃
20240111,四,阴天有小雨,4～12℃
20240112,五,多云,4～14℃
20240113,六,多云到阴天，早晨部分地区有雾,6～16℃
20240114,日,多云到阴天，早晨部分地区有雾,6～16℃
20240115,一,多云转小雨,4～9℃
20240116,二,小到中雨，半高山以上局部有冻雨,4～7℃
20240117,三,阴天有小到中雨,4～7℃
20240118,四,中雨转小雨,3～6℃
20240119,五,阴天有小雨，山区有雨夹雪或雪,2～5℃
20240120,六,阴天，局部有雨夹雪或雪,1~5℃
20240121,日,阴天有小到中雪，西部山区中到大雪,-1～5℃
20240122,一,小雪转阴天,-4～2℃
20240123,二,多云,-4～3℃
20240124,三,多云到阴天，局部有零星小雪,-2～4℃
20240125,四,阴天间多云，局部有零星小雪,-1～5℃
20240126,五,多云,0～8℃
20240127,六,阴天转多云，高山局部小雪,3～12℃
20240128,日,阴天，高山局部小雪,3～10℃
20240129,一,阴天有小雨，高山小雪,4～6℃
20240130,二,多云转阴天，早上中东部地区有雾,3～9℃
20240131,三,阴天有小雨,5～8℃
20240201,四,小到中雨，夜间山区转中雪,1～6℃
20240202,五,小到中雨，山区有中到大雪,0～4℃
20240203,六,小雪转大雪，局部暴雪,-2～0℃
20240204,日,小雪转阴天,-4～1℃
20240205,一,多云转阴天，夜间山区转小雪,-3～2℃
20240206,二,阴天有小雪,-1～2℃
20240207,三,阴天，局部有小雪,0～3℃
20240208,四,多云,-1～5℃
20240209,五,多云,0～6℃
20240210,六,晴到多云，早晨有雾,1～16℃
20240211,日,晴到多云,2～15℃
20240212,一,多云到阴天,4～12℃
20240213,二,多云间晴，早晨有雾,5～16℃
20240214,三,多云，夜间转小雨,6～18℃
20240215,四,阴天有分散性小雨,8～13℃
20240216,五,阴天转多云,6～14℃
20240217,六,晴转多云,6～17℃
20240218,日,多云转阵雨或雷阵雨,11～24℃
20240219,一,阴天有阵雨，局部中雨,6～18℃
20240220,二,小到中雨转冻雨或冰粒,3～10℃
20240221,三,冻雨或雨夹雪转中雪,-1～3℃
20240222,四,阴天有小到中雪,-2～0℃
20240223,五,阴天有小雪,-2～-1℃
20240224,六,短时小雪转阴天,-2～2℃
20240225,日,阴天，夜间有小雨或雨夹雪，半高山以上小到中雪,-1～5℃
20240226,一,阴天间多云,1～7℃
20240227,二,阴天转小雨,2～6℃
20240228,三,小到中雨，半高山以上有雨夹雪、冰粒、冻雨,2～5℃
20240229,四,阴天有间断小雨雪,1～5℃
20240301,五,阴天,1～8℃
20240302,六,晴到多云，早晨局部有雾,2～13℃
20240303,日,多云到晴，早晨局部有雾,4～14℃
20240304,一,多云转小雨，南部局部中雨,6～16℃
20240305,二,阴天有小雨,8～12℃
20240306,三,多云,7～15℃
20240307,四,阴天,7～14℃
20240308,五,阴天，局部有短时小雨,7～14℃
20240309,六,多云到阴天,7～16℃
20240310,日,阴天转多云，局部有短时小雨,7～15℃
20240311,一,多云到晴，早晨局部有雾,7～23℃
20240312,二,晴到多云，早晨局部有雾,8～20℃
20240313,三,阴天有短时小雨,10～19℃
20240314,四,阴天有短时小雨,10～16℃
20240315,五,阴天有小雨,10～17℃
20240316,六,多云转小雨,11～21℃
20240317,日,北部阴天有小雨，南部阴天有小到中雨,9～16℃
20240318,一,短时小雨转多云,9～13℃
20240319,二,晴到多云,8～21℃
20240320,三,晴转多云,8～20℃
20240321,四,阴天到多云,9～14℃
20240322,五,多云到阴天,10～16℃
20240323,六,多云有雷阵雨，局部中雨,15～25℃
20240324,日,多云转中到大雨，局部暴雨,10～18℃
20240325,一,北部小雨转多云，南部小到中雨转多云,7～13℃
20240326,二,多云转小雨，早晨部分地区有雾,9～19℃
20240327,三,短时小雨转多云,10～19℃
20240328,四,多云到晴,12～24℃
20240329,五,多云，局部有阵雨,13～25℃
20240330,六,晴到多云，有分散性阵雨或雷阵雨,15～30℃
20240331,日,晴到多云，西部有阵雨或雷阵雨,16～30℃
20240401,一,中到大雨，局部暴雨,16～22℃
20240402,二,中雨，局部大雨或暴雨,14～19℃
20240403,三,阴天,11～21℃
20240404,四,阴天有小雨,10～15℃
20240405,五,阴天，局部有小雨,10～16℃
20240406,六,阴天到多云，局部短时小雨,10～21℃
20240407,日,阴天间多云，局部短时小雨,12～22℃
20240408,一,多云,13～24℃
20240409,二,阴天有短时小雨,14～21℃
20240410,三,阴天间多云,15～22℃
20240411,四,阴天有阵雨,15～23℃
20240412,五,多云,16～26℃
20240413,六,阵雨或雷阵雨,15～22℃
20240414,日,晴到多云，局部阵雨,15～28℃
20240415,一,多云，局部阵雨,17～26℃
20240416,二,晴到多云，局部阵雨,18～27℃
20240417,三,阵雨或雷阵雨,19～24℃
20240418,四,中雨，局部大雨,18～23℃
20240419,五,小雨转阴天,16～23℃
20240420,六,多云转阴天，局部阵雨,16～23℃
20240421,日,多云,17～26℃
20240422,一,多云,16～27℃
20240423,二,晴到多云,15～29℃
20240424,三,多云，局部阵雨,16～28℃
