xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
1,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
2,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
3,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
4,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
5,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,氨氮(0.26-1.22),3,0.63-1.11,下雨、面源污染,2024年1月
6,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,总磷(0.01-0.14),2,0.101-0.114,下雨、面源污染,2024年1月
7,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,氨氮(0.26-0.5),2,0.63-0.75,下雨、面源污染、回水区,2024年1月
8,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.30%,总磷(0.02-0.27),2,0.102-0.127,下雨、面源污染、回水区,2024年1月
9,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
10,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
11,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
12,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
13,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年1月
14,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年1月
15,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,93.50%,氨氮(0.04),1,1.04,下雨、面源污染,2024年1月
16,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,93.50%,总磷(0.205-0.27),2,0.241-0.254,下雨、面源污染,2024年1月
17,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
18,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,氨氮(0.32),1,0.66,下雨、面源污染,2024年1月
19,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年1月
20,湖库,市控,善溪冲水库,善溪冲水库,猇亭区,Ⅲ类,Ⅱ类,--,--,--,--,--,--,--,--,2024年1月
21,湖库,市控,官庄水库,官庄水库,夷陵区,Ⅲ类,Ⅱ类,--,--,--,--,--,--,--,--,2024年1月
22,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
23,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
24,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
25,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
26,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
27,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
28,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
29,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
30,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
31,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
32,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年2月
33,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年2月
