xh,px,xsq,jsntqzf,bysj
1,1,*点军区,-40.4,2024年1月
2,2,秭归县,-39.8,2024年1月
3,3,远安县,-37.9,2024年1月
4,4,*伍家岗区,-37,2024年1月
5,5,*高新区,-34.7,2024年1月
6,6,兴山县,-34.2,2024年1月
7,7,枝江市,-33.3,2024年1月
8,8,*猇亭区,-33.3,2024年1月
9,9,五峰县,-31.7,2024年1月
10,10,*西陵区,-29.9,2024年1月
11,11,长阳县,-29.6,2024年1月
12,12,当阳市,-23,2024年1月
13,13,宜都市,-18.7,2024年1月
14,14,*夷陵区,-11.2,2024年1月
15,,国家考核区域,-31.6,2024年1月
16,,全市平均,-30.8,2024年1月
17,1,*点军区,-45,2024年2月
18,2,*高新区,-43.9,2024年2月
19,3,*伍家岗区,-42.9,2024年2月
20,4,兴山县,-42.6,2024年2月
21,5,远安县,-42.6,2024年2月
22,6,秭归县,-41.7,2024年2月
23,7,五峰县,-40.3,2024年2月
24,8,*猇亭区,-38,2024年2月
25,9,*西陵区,-36.7,2024年2月
26,10,宜都市,-33,2024年2月
27,11,长阳县,-31,2024年2月
28,12,当阳市,-18.5,2024年2月
29,13,*夷陵区,-17.6,2024年2月
30,14,枝江市,-14.8,2024年2月
31,,国家考核区域,-38,2024年2月
32,,全市平均,-34.4,2024年2月
33,1,远安县,-14.5,2024年3月
34,2,*伍家岗区,-1.3,2024年3月
35,3,秭归县,1.8,2024年3月
36,4,五峰县,1.9,2024年3月
37,5,枝江市,6.8,2024年3月
38,6,*猇亭区,7.5,2024年3月
39,7,*高新区,9.5,2024年3月
40,8,兴山县,10.9,2024年3月
41,9,*西陵区,11.1,2024年3月
42,10,长阳县,14.1,2024年3月
43,11,当阳市,14.6,2024年3月
44,12,*点军区,17.3,2024年3月
45,13,宜都市,20.8,2024年3月
46,14,*夷陵区,31.7,2024年3月
47,,国家考核区域,12.2,2024年3月
48,,全市平均,10.1,2024年3月
49,1,秭归县,-32.7,2024年4月
50,2,五峰县,-30.2,2024年4月
51,3,远安县,-26.7,2024年4月
52,4,长阳县,-19.2,2024年4月
53,5,枝江市,-17.5,2024年4月
54,6,*西陵区,-12,2024年4月
55,7,*点军区,-10.4,2024年4月
56,8,*高新区,-6.4,2024年4月
57,9,*伍家岗区,-5.8,2024年4月
58,10,宜都市,-3.6,2024年4月
59,11,当阳市,-1.8,2024年4月
60,12,兴山县,5.3,2024年4月
61,13,*夷陵区,7.5,2024年4月
62,14,*猇亭区,7.5,2024年4月
63,,国家考核区域,-4.1,2024年4月
64,,全市平均,-10,2024年4月
65,1,*伍家岗区,2.3,2024年5月
66,2,秭归县,9.1,2024年5月
67,3,*点军区,9.8,2024年5月
68,4,五峰县,10,2024年5月
69,5,*西陵区,10,2024年5月
70,6,长阳县,12.8,2024年5月
71,7,宜都市,14,2024年5月
72,8,远安县,21.1,2024年5月
73,9,*高新区,21.1,2024年5月
74,10,*猇亭区,21.7,2024年5月
75,11,*夷陵区,24.3,2024年5月
76,12,枝江市,26.2,2024年5月
77,13,兴山县,27.6,2024年5月
78,14,当阳市,36.6,2024年5月
79,,国家考核区域,14.6,2024年5月
80,,全市平均,15.4,2024年5月
81,1,五峰县,-4,2024年6月
82,2,长阳县,0,2024年6月
83,3,*伍家岗区,3.4,2024年6月
84,4,*点军区,6.5,2024年6月
85,5,秭归县,12,2024年6月
86,6,*夷陵区,13.8,2024年6月
87,7,远安县,16.1,2024年6月
88,8,*猇亭区,17.6,2024年6月
89,9,兴山县,20,2024年6月
90,10,*高新区,20.7,2024年6月
91,11,枝江市,22.2,2024年6月
92,12,*西陵区,22.2,2024年6月
93,13,宜都市,44,2024年6月
94,14,当阳市,51.7,2024年6月
95,,国家考核区域,13.3,2024年6月
96,,全市平均,17.9,2024年6月
97,1,*伍家岗区,-40.7,2024年7月
98,2,长阳县,-34.8,2024年7月
99,3,*西陵区,-30,2024年7月
100,4,远安县,-28.1,2024年7月
101,5,*猇亭区,-26.5,2024年7月
102,6,五峰县,-22.7,2024年7月
103,7,*点军区,-21.4,2024年7月
104,8,宜都市,-20.7,2024年7月
105,9,秭归县,-18.2,2024年7月
106,10,*高新区,-14.8,2024年7月
107,11,*夷陵区,-11.5,2024年7月
108,12,枝江市,-8.3,2024年7月
109,13,兴山县,-4.5,2024年7月
110,14,当阳市,3.6,2024年7月
111,,国家考核区域,-24.1,2024年7月
112,,全市平均,-22.2,2024年7月
113,1,*伍家岗区,-34.4,2024年8月
114,2,*西陵区,-22.9,2024年8月
115,3,五峰县,-19.2,2024年8月
116,4,长阳县,-16.1,2024年8月
117,5,宜都市,-13.5,2024年8月
118,6,*夷陵区,-12.9,2024年8月
119,7,枝江市,-11.8,2024年8月
120,8,*猇亭区,-10.8,2024年8月
121,9,*点军区,-6.5,2024年8月
122,10,*高新区,-6.2,2024年8月
123,11,秭归县,0,2024年8月
124,12,远安县,12.1,2024年8月
125,13,当阳市,12.5,2024年8月
126,14,兴山县,31.8,2024年8月
127,,国家考核区域,-15.2,2024年8月
128,,全市平均,-6.5,2024年8月
129,1,长阳县,5.9,2024年9月
130,2,*西陵区,12.1,2024年9月
131,3,*点军区,21.2,2024年9月
132,4,宜都市,25,2024年9月
133,5,*猇亭区,27.8,2024年9月
134,6,*夷陵区,31,2024年9月
135,7,*高新区,34.5,2024年9月
136,8,远安县,37.5,2024年9月
137,9,秭归县,45.5,2024年9月
138,10,兴山县,47.4,2024年9月
139,11,五峰县,50,2024年9月
140,12,枝江市,56.7,2024年9月
141,13,*伍家岗区,60.9,2024年9月
142,14,当阳市,75,2024年9月
143,,国家考核区域,29,2024年9月
144,,全市平均,44.4,2024年9月
145,1,五峰县,-4,2024年10月
146,2,秭归县,3.3,2024年10月
147,3,宜都市,7,2024年10月
148,4,*夷陵区,8.1,2024年10月
149,5,长阳县,8.6,2024年10月
150,6,*高新区,11.1,2024年10月
151,7,枝江市,11.4,2024年10月
152,8,*点军区,17.1,2024年10月
153,9,当阳市,20,2024年10月
154,10,兴山县,20.8,2024年10月
155,11,远安县,22.2,2024年10月
156,12,*西陵区,24.2,2024年10月
157,13,*伍家岗区,32.4,2024年10月
158,14,*猇亭区,41.9,2024年10月
159,,国家考核区域,25,2024年10月
160,,全市平均,17.1,2024年10月
161,1,五峰县,-26.8,2024年11月
162,2,当阳市,-18.5,2024年11月
163,3,宜都市,-15.5,2024年11月
164,4,兴山县,-14.3,2024年11月
165,5,猇亭区,-11.1,2024年11月
166,6,高新区,-10.5,2024年11月
167,7,西陵区,-10.3,2024年11月
168,8,远安县,-9.4,2024年11月
169,9,枝江市,-8.5,2024年11月
170,10,长阳县,-7.4,2024年11月
171,11,夷陵区,-5.8,2024年11月
172,12,伍家岗区,-1.7,2024年11月
173,13,秭归县,0,2024年11月
174,14,点军区,19.1,2024年11月
175,,国家考核区域,-5.4,2024年11月
176,,全市平均,-9.3,2024年11月
177,1,宜都市,-10.1,2024年12月
178,2,长阳县,-8,2024年12月
179,3,*高新区,-5.2,2024年12月
180,4,秭归县,-5,2024年12月
181,5,*夷陵区,-4.3,2024年12月
182,6,*猇亭区,-3.5,2024年12月
183,6,*伍家岗区,-3.5,2024年12月
184,8,*西陵区,-2.3,2024年12月
185,9,五峰县,0,2024年12月
186,10,枝江市,2.5,2024年12月
187,11,兴山县,5.6,2024年12月
188,12,*点军区,15.2,2024年12月
189,13,当阳市,19,2024年12月
190,14,远安县,24.2,2024年12月
191,,国家考核区域,-1.1,2024年12月
192,,全市平均,1.2,2024年12月
193,1,宜都市,11,2025年1月
194,2,*夷陵区,14.6,2025年1月
195,3,*猇亭区,17.8,2025年1月
196,4,五峰县,26.8,2025年1月
197,5,枝江市,28.4,2025年1月
198,6,兴山县,28.8,2025年1月
199,7,*西陵区,29.2,2025年1月
200,8,*伍家岗区,29.9,2025年1月
201,9,*高新区,30.9,2025年1月
202,10,当阳市,33,2025年1月
203,11,长阳县,34.1,2025年1月
204,12,秭归县,50.8,2025年1月
205,13,*点军区,53.1,2025年1月
206,14,远安县,79.7,2025年1月
207,,主城区平均,26.4,2025年1月
208,,全市平均,31.3,2025年1月
209,1,枝江市,13,2025年2月
210,2,五峰县,15.9,2025年2月
211,3,宜都市,17.1,2025年2月
212,4,当阳市,17.3,2025年2月
213,5,*猇亭区,19.4,2025年2月
214,6,*伍家岗区,21.3,2025年2月
215,7,*夷陵区,21.4,2025年2月
216,8,长阳县,25,2025年2月
217,9,*西陵区,30.2,2025年2月
218,10,*高新区,35.9,2025年2月
219,11,兴山县,36.1,2025年2月
220,12,*点军区,36.8,2025年2月
221,13,远安县,57.4,2025年2月
222,14,秭归县,59.5,2025年2月
223,,国家考核区域,27,2025年2月
224,,全市平均,21,2025年2月
225,1,*点军区,-31.8,2025年3月
226,2,宜都市,-26.9,2025年3月
227,3,五峰县,-22.6,2025年3月
228,4,*猇亭区,-20.9,2025年3月
229,5,长阳县,-19.2,2025年3月
230,6,*西陵区,-18.8,2025年3月
231,7,*伍家岗区,-17.9,2025年3月
232,8,*高新区,-17.3,2025年3月
233,9,*夷陵区,-16.9,2025年3月
234,10,当阳市,-16,2025年3月
235,11,枝江市,-15.2,2025年3月
236,12,兴山县,-13.7,2025年3月
237,13,秭归县,-3.4,2025年3月
238,14,远安县,3.1,2025年3月
239,,国家考核区域,-28.9,2025年3月
240,,全市平均,-25.3,2025年3月
241,1,*猇亭区,19.3,2025年4月
242,2,宜都市,32.1,2025年4月
243,3,*伍家岗区,36.7,2025年4月
244,4,兴山县,37.5,2025年4月
245,5,*点军区,39.5,2025年4月
246,6,*西陵区,40.9,2025年4月
247,7,当阳市,41.8,2025年4月
248,8,枝江市,42.6,2025年4月
249,9,*夷陵区,46.5,2025年4月
250,10,*高新区,47.7,2025年4月
251,11,五峰县,53.3,2025年4月
252,12,长阳县,57.1,2025年4月
253,13,秭归县,67.6,2025年4月
254,14,远安县,75,2025年4月
255,,国家考核区域,36.2,2025年4月
256,,全市平均,44.4,2025年4月
257,1,*猇亭区,-1.8,2025年5月
258,2,当阳市,1.8,2025年5月
259,3,*点军区,2.2,2025年5月
260,4,枝江市,3.8,2025年5月
261,5,宜都市,4.1,2025年5月
262,6,*夷陵区,6.5,2025年5月
263,7,*高新区,8.7,2025年5月
264,8,五峰县,9.1,2025年5月
265,9,长阳县,11.4,2025年5月
266,10,*西陵区,11.4,2025年5月
267,11,兴山县,13.5,2025年5月
268,12,*伍家岗区,18.2,2025年5月
269,13,秭归县,22.2,2025年5月
270,14,远安县,23.9,2025年5月
271,,国家考核区域,6.4,2025年5月
272,,全市平均,8.9,2025年5月
273,1,当阳市,-50,2025年6月
274,2,兴山县,-43.3,2025年6月
275,3,*猇亭区,-27.5,2025年6月
276,4,五峰县,-25,2025年6月
277,5,宜都市,-25,2025年6月
278,6,枝江市,-24.2,2025年6月
279,7,*点军区,-24.2,2025年6月
280,8,*西陵区,-21.2,2025年6月
281,9,*夷陵区,-21.2,2025年6月
282,10,秭归县,-17.9,2025年6月
283,11,*高新区,-17.1,2025年6月
284,12,*伍家岗区,-16.7,2025年6月
285,13,长阳县,-11.1,2025年6月
286,14,远安县,-5.6,2025年6月
287,,国家考核区域,-20.6,2025年6月
288,,全市平均,-24.2,2025年6月
289,1,兴山县,-52.4,2025年7月
290,2,当阳市,-13.8,2025年7月
291,3,宜都市,-8.7,2025年7月
292,4,五峰县,-5.9,2025年7月
293,5,*点军区,0,2025年7月
294,6,*夷陵区,0,2025年7月
295,7,*猇亭区,0,2025年7月
296,8,枝江市,4.5,2025年7月
297,9,*西陵区,4.8,2025年7月
298,10,秭归县,5.6,2025年7月
299,11,*高新区,8.7,2025年7月
300,12,远安县,30.4,2025年7月
301,13,*伍家岗区,37.5,2025年7月
302,14,长阳县,40,2025年7月
303,,国家考核区域,4.5,2025年7月
304,,全市平均,4.8,2025年7月
305,1,兴山县,-65.5,2025年8月
306,2,五峰县,-28.6,2025年8月
307,3,*点军区,-27.6,2025年8月
308,4,长阳县,-26.9,2025年8月
309,5,秭归县,-24,2025年8月
310,6,*西陵区,-22.2,2025年8月
311,7,宜都市,-21.9,2025年8月
312,8,当阳市,-19.4,2025年8月
313,9,*猇亭区,-18.2,2025年8月
314,10,枝江市,-16.7,2025年8月
315,11,*高新区,-16.7,2025年8月
316,12,*夷陵区,-14.8,2025年8月
317,13,远安县,-13.5,2025年8月
318,14,*伍家岗区,0,2025年8月
319,,国家考核区域,-17.9,2025年8月
320,,全市平均,-24.1,2025年8月
