xh,px,xsq,bynd,bysj
1,1,兴山县,52,2024年1月
2,2,五峰县,56,2024年1月
3,3,秭归县,59,2024年1月
4,4,远安县,64,2024年1月
5,5,*点军区,81,2024年1月
6,6,*伍家岗区,87,2024年1月
7,7,长阳县,88,2024年1月
8,8,枝江市,88,2024年1月
9,9,*西陵区,89,2024年1月
10,10,*猇亭区,90,2024年1月
11,11,*高新区,94,2024年1月
12,12,当阳市,97,2024年1月
13,13,*夷陵区,103,2024年1月
14,14,宜都市,109,2024年1月
15,,国家考核区域,91,2024年1月
16,,全市平均,83,2024年1月
17,1,兴山县,35,2024年2月
18,2,秭归县,42,2024年2月
19,3,五峰县,43,2024年2月
20,4,远安县,54,2024年2月
21,5,*点军区,55,2024年2月
22,6,长阳县,60,2024年2月
23,7,*伍家岗区,60,2024年2月
24,8,*猇亭区,62,2024年2月
25,9,*西陵区,62,2024年2月
26,10,*高新区,64,2024年2月
27,11,宜都市,69,2024年2月
28,12,枝江市,69,2024年2月
29,13,*夷陵区,70,2024年2月
30,14,当阳市,75,2024年2月
31,,国家考核区域,62,2024年2月
32,,全市平均,59,2024年2月
33,1,兴山县,51,2024年3月
34,2,五峰县,53,2024年3月
35,3,秭归县,58,2024年3月
36,4,远安县,65,2024年3月
37,5,长阳县,73,2024年3月
38,6,*伍家岗区,78,2024年3月
39,7,枝江市,79,2024年3月
40,8,*西陵区,80,2024年3月
41,9,*高新区,81,2024年3月
42,10,*夷陵区,83,2024年3月
43,11,*猇亭区,86,2024年3月
44,12,*点军区,88,2024年3月
45,13,宜都市,93,2024年3月
46,14,当阳市,94,2024年3月
47,,国家考核区域,83,2024年3月
48,,全市平均,76,2024年3月
49,1,五峰县,30,2024年4月
50,2,秭归县,37,2024年4月
51,3,兴山县,40,2024年4月
52,4,长阳县,42,2024年4月
53,5,*夷陵区,43,2024年4月
54,6,*点军区,43,2024年4月
55,7,远安县,44,2024年4月
56,8,*西陵区,44,2024年4月
57,9,*高新区,44,2024年4月
58,10,枝江市,47,2024年4月
59,11,*伍家岗区,49,2024年4月
60,12,宜都市,53,2024年4月
61,13,当阳市,55,2024年4月
62,14,*猇亭区,57,2024年4月
63,,国家考核区域,47,2024年4月
64,,全市平均,45,2024年4月
65,1,五峰县,33,2024年5月
66,2,秭归县,36,2024年5月
67,3,兴山县,37,2024年5月
68,4,长阳县,44,2024年5月
69,5,*西陵区,44,2024年5月
70,6,*伍家岗区,44,2024年5月
71,7,*点军区,45,2024年5月
72,8,远安县,46,2024年5月
73,9,*夷陵区,46,2024年5月
74,10,*高新区,46,2024年5月
75,11,宜都市,49,2024年5月
76,12,枝江市,53,2024年5月
77,13,当阳市,56,2024年5月
78,14,*猇亭区,56,2024年5月
79,,国家考核区域,47,2024年5月
80,,全市平均,45,2024年5月
81,1,五峰县,24,2024年6月
82,2,长阳县,27,2024年6月
83,3,秭归县,28,2024年6月
84,4,兴山县,30,2024年6月
85,5,*伍家岗区,30,2024年6月
86,6,枝江市,33,2024年6月
87,7,*西陵区,33,2024年6月
88,8,*夷陵区,33,2024年6月
89,9,*点军区,33,2024年6月
90,10,*高新区,35,2024年6月
91,11,宜都市,36,2024年6月
92,12,远安县,36,2024年6月
93,13,*猇亭区,40,2024年6月
94,14,当阳市,44,2024年6月
95,,国家考核区域,34,2024年6月
96,,全市平均,33,2024年6月
97,1,长阳县,15,2024年7月
98,2,*伍家岗区,16,2024年7月
99,3,五峰县,17,2024年7月
100,4,秭归县,18,2024年7月
101,5,兴山县,21,2024年7月
102,6,*西陵区,21,2024年7月
103,7,枝江市,22,2024年7月
104,8,*点军区,22,2024年7月
105,9,宜都市,23,2024年7月
106,10,远安县,23,2024年7月
107,11,*夷陵区,23,2024年7月
108,12,*高新区,23,2024年7月
109,13,*猇亭区,25,2024年7月
110,14,当阳市,29,2024年7月
111,,国家考核区域,22,2024年7月
112,,全市平均,21,2024年7月
113,1,*伍家岗区,21,2024年8月
114,2,五峰县,21,2024年8月
115,3,秭归县,25,2024年8月
116,4,长阳县,26,2024年8月
117,5,*西陵区,27,2024年8月
118,6,*夷陵区,27,2024年8月
119,7,*点军区,29,2024年8月
120,8,兴山县,29,2024年8月
121,9,枝江市,30,2024年8月
122,10,*高新区,30,2024年8月
123,11,宜都市,32,2024年8月
124,12,*猇亭区,33,2024年8月
125,13,当阳市,36,2024年8月
126,14,远安县,37,2024年8月
127,,国家考核区域,28,2024年8月
128,,全市平均,29,2024年8月
129,1,五峰县,27,2024年9月
130,2,兴山县,28,2024年9月
131,3,秭归县,32,2024年9月
132,4,长阳县,36,2024年9月
133,5,*伍家岗区,37,2024年9月
134,6,*西陵区,37,2024年9月
135,7,*夷陵区,38,2024年9月
136,8,*高新区,39,2024年9月
137,9,*点军区,40,2024年9月
138,10,远安县,44,2024年9月
139,11,宜都市,45,2024年9月
140,12,*猇亭区,46,2024年9月
141,13,枝江市,47,2024年9月
142,14,当阳市,49,2024年9月
143,,国家考核区域,40,2024年9月
144,,全市平均,39,2024年9月
145,1,五峰县,24,2024年10月
146,2,兴山县,29,2024年10月
147,3,秭归县,31,2024年10月
148,4,长阳县,38,2024年10月
149,5,*夷陵区,40,2024年10月
150,5,*高新区,40,2024年10月
151,7,*点军区,41,2024年10月
152,7,*西陵区,41,2024年10月
153,9,远安县,44,2024年10月
154,10,*伍家岗区,45,2024年10月
155,11,宜都市,46,2024年10月
156,12,当阳市,48,2024年10月
157,13,枝江市,49,2024年10月
158,14,*猇亭区,61,2024年10月
159,,国家考核区域,45,2024年10月
160,,全市平均,41,2024年10月
161,1,五峰县,30,2024年11月
162,1,兴山县,30,2024年11月
163,2,秭归县,39,2024年11月
