xh,px,xsq,jsntqzf,bysj
1,1,长阳县,-37,2024年1月
2,2,秭归县,-32.9,2024年1月
3,3,五峰县,-31.7,2024年1月
4,4,*猇亭区,-31.6,2024年1月
5,5,当阳市,-30.6,2024年1月
6,6,兴山县,-30.2,2024年1月
7,7,枝江市,-27.6,2024年1月
8,8,*点军区,-26.7,2024年1月
9,9,*夷陵区,-23.2,2024年1月
10,10,*高新区,-22.9,2024年1月
11,11,宜都市,-22.4,2024年1月
12,12,*伍家岗区,-22.3,2024年1月
13,13,*西陵区,-21.9,2024年1月
14,14,远安县,-1.9,2024年1月
15,,国家考核区域,-25,2024年1月
16,,全市平均,-25.8,2024年1月
17,1,*猇亭区,-40.5,2024年2月
18,2,宜都市,-40.5,2024年2月
19,3,兴山县,-40.4,2024年2月
20,4,长阳县,-39.1,2024年2月
21,5,*高新区,-37.5,2024年2月
22,6,*伍家岗区,-36.2,2024年2月
23,7,秭归县,-35.8,2024年2月
24,8,*西陵区,-35.5,2024年2月
25,9,五峰县,-34.8,2024年2月
26,10,*点军区,-34.2,2024年2月
27,11,远安县,-33.3,2024年2月
28,12,*夷陵区,-33.3,2024年2月
29,13,当阳市,-32.4,2024年2月
30,14,枝江市,-8.2,2024年2月
31,,国家考核区域,-35.9,2024年2月
32,,全市平均,-35.3,2024年2月
33,1,当阳市,-6.1,2024年3月
34,2,远安县,3,2024年3月
35,3,宜都市,4.3,2024年3月
36,4,长阳县,10.8,2024年3月
37,5,兴山县,11.1,2024年3月
38,6,*猇亭区,15.9,2024年3月
39,7,枝江市,23.3,2024年3月
40,8,五峰县,26.1,2024年3月
41,9,秭归县,26.7,2024年3月
42,10,*点军区,31.6,2024年3月
43,11,*伍家岗区,31.7,2024年3月
44,12,*夷陵区,35.1,2024年3月
45,13,*高新区,36.6,2024年3月
46,14,*西陵区,40.5,2024年3月
47,,国家考核区域,30,2024年3月
48,,全市平均,18.4,2024年3月
49,1,远安县,-23.1,2024年4月
50,2,五峰县,-21.1,2024年4月
51,3,长阳县,-14.3,2024年4月
52,4,兴山县,-9.1,2024年4月
53,5,秭归县,-7.4,2024年4月
54,6,当阳市,-6.9,2024年4月
55,7,宜都市,-3,2024年4月
56,8,枝江市,0,2024年4月
57,9,*猇亭区,3.4,2024年4月
58,10,*高新区,7.4,2024年4月
59,11,*点军区,8.3,2024年4月
60,12,*伍家岗区,14.3,2024年4月
61,13,*夷陵区,16.7,2024年4月
62,14,*西陵区,25,2024年4月
63,,国家考核区域,11.5,2024年4月
64,,全市平均,-3.7,2024年4月
65,1,当阳市,-16,2024年5月
66,2,长阳县,-3.8,2024年5月
67,3,兴山县,0,2024年5月
68,4,远安县,0,2024年5月
69,5,宜都市,3.6,2024年5月
70,6,*猇亭区,7.4,2024年5月
71,7,枝江市,10.3,2024年5月
72,8,秭归县,13,2024年5月
73,9,五峰县,14.3,2024年5月
74,10,*伍家岗区,14.8,2024年5月
75,11,*西陵区,21.7,2024年5月
76,12,*夷陵区,27.3,2024年5月
77,13,*高新区,29.2,2024年5月
78,14,*点军区,36.4,2024年5月
79,,国家考核区域,20.8,2024年5月
80,,全市平均,13,2024年5月
81,1,兴山县,-6.2,2024年6月
82,2,当阳市,-5.9,2024年6月
83,3,长阳县,-5.6,2024年6月
84,4,五峰县,8.3,2024年6月
85,5,*猇亭区,10.5,2024年6月
86,6,枝江市,16.7,2024年6月
87,7,远安县,21.4,2024年6月
88,8,宜都市,27.8,2024年6月
89,9,*高新区,33.3,2024年6月
90,10,秭归县,35.3,2024年6月
91,11,*伍家岗区,41.2,2024年6月
92,12,*点军区,53.8,2024年6月
93,13,*西陵区,57.1,2024年6月
94,14,*夷陵区,69.2,2024年6月
95,,国家考核区域,37.5,2024年6月
96,,全市平均,25,2024年6月
97,1,长阳县,-61.1,2024年7月
98,2,当阳市,-58.8,2024年7月
99,3,*猇亭区,-47.1,2024年7月
100,4,兴山县,-27.3,2024年7月
101,5,秭归县,-26.7,2024年7月
102,6,宜都市,-20,2024年7月
103,7,*高新区,-18.8,2024年7月
104,8,远安县,-16.7,2024年7月
105,9,枝江市,-14.3,2024年7月
106,10,*伍家岗区,-13.3,2024年7月
107,11,五峰县,-11.1,2024年7月
108,12,*点军区,-10,2024年7月
109,13,*西陵区,-8.3,2024年7月
110,14,*夷陵区,10,2024年7月
111,,国家考核区域,-15.4,2024年7月
112,,全市平均,-28.6,2024年7月
113,1,长阳县,-45.8,2024年8月
114,2,*猇亭区,-31.8,2024年8月
115,3,*点军区,-22.2,2024年8月
116,4,枝江市,-21.7,2024年8月
117,5,*夷陵区,-20,2024年8月
118,6,宜都市,-18.2,2024年8月
119,7,五峰县,-15.4,2024年8月
120,8,远安县,-13.3,2024年8月
121,9,*高新区,-9.5,2024年8月
122,10,*西陵区,-5.9,2024年8月
123,11,秭归县,-5.9,2024年8月
124,12,*伍家岗区,-5.3,2024年8月
125,13,兴山县,0,2024年8月
126,14,当阳市,0,2024年8月
127,,国家考核区域,-15.8,2024年8月
128,,全市平均,-15.8,2024年8月
129,1,长阳县,4.3,2024年9月
130,2,远安县,18.8,2024年9月
131,3,宜都市,26.1,2024年9月
132,4,*夷陵区,37.5,2024年9月
133,5,*猇亭区,41.2,2024年9月
134,6,秭归县,41.2,2024年9月
135,7,兴山县,41.7,2024年9月
136,8,*高新区,57.9,2024年9月
137,9,*伍家岗区,58.8,2024年9月
138,10,*点军区,60,2024年9月
139,11,枝江市,61.9,2024年9月
140,12,当阳市,63.2,2024年9月
141,13,*西陵区,66.7,2024年9月
142,14,五峰县,80,2024年9月
143,,国家考核区域,47.1,2024年9月
144,,全市平均,47.1,2024年9月
145,1,远安县,-4.5,2024年10月
146,2,秭归县,-4.2,2024年10月
147,3,兴山县,0,2024年10月
148,4,枝江市,6.1,2024年10月
149,5,五峰县,7.1,2024年10月
150,6,*高新区,7.7,2024年10月
151,7,*夷陵区,13,2024年10月
152,7,长阳县,13,2024年10月
153,7,*猇亭区,13,2024年10月
154,10,宜都市,13.8,2024年10月
155,11,*点军区,18.2,2024年10月
156,12,当阳市,19.2,2024年10月
157,13,*伍家岗区,20.8,2024年10月
158,14,*西陵区,23.8,2024年10月
159,,国家考核区域,17.4,2024年10月
160,,全市平均,13,2024年10月
161,1,当阳市,-30.2,2024年11月
162,2,远安县,-25,2024年11月
163,3,兴山县,-8.7,2024年11月
164,4,伍家岗区,-5,2024年11月
165,5,点军区,-2.7,2024年11月
166,6,高新区,-2.6,2024年11月
167,7,五峰县,0,2024年11月
168,7,西陵区,0,2024年11月
169,7,枝江市,0,2024年11月
170,8,宜都市,2.2,2024年11月
171,9,夷陵区,8.8,2024年11月
172,10,长阳县,12.5,2024年11月
173,11,猇亭区,18.8,2024年11月
174,12,秭归县,23.1,2024年11月
175,,国家考核区域,0,2024年11月
176,,全市平均,0,2024年11月
177,1,远安县,-17.6,2024年12月
178,2,当阳市,-11.4,2024年12月
179,3,*点军区,-7.5,2024年12月
180,4,*西陵区,-7.4,2024年12月
181,5,*伍家岗区,-6.9,2024年12月
182,6,*夷陵区,-6,2024年12月
183,7,*高新区,-5.1,2024年12月
184,8,兴山县,-2.3,2024年12月
185,9,长阳县,0,2024年12月
186,10,宜都市,3,2024年12月
187,11,枝江市,3.4,2024年12月
188,12,*猇亭区,5.5,2024年12月
189,13,秭归县,10.9,2024年12月
190,14,五峰县,22,2024年12月
191,,国家考核区域,-5.8,2024年12月
192,,全市平均,-1.7,2024年12月
193,1,兴山县,9.1,2025年1月
194,2,枝江市,12.7,2025年1月
195,3,*夷陵区,13.2,2025年1月
196,4,*西陵区,13.3,2025年1月
197,5,*伍家岗区,17.5,2025年1月
198,6,*猇亭区,17.9,2025年1月
199,7,当阳市,19.1,2025年1月
200,8,*高新区,19.8,2025年1月
201,9,宜都市,21.1,2025年1月
202,10,*点军区,21.6,2025年1月
203,11,远安县,30.8,2025年1月
204,12,五峰县,34.1,2025年1月
205,13,长阳县,36.5,2025年1月
206,14,秭归县,36.7,2025年1月
207,,主城区平均,17.3,2025年1月
208,,全市平均,19.7,2025年1月
209,1,枝江市,-7.1,2025年2月
210,2,*点军区,0,2025年2月
211,3,当阳市,2.2,2025年2月
212,4,*夷陵区,5.8,2025年2月
213,5,兴山县,6.5,2025年2月
214,6,*伍家岗区,7.8,2025年2月
215,7,*西陵区,10,2025年2月
216,8,五峰县,13.3,2025年2月
217,9,*高新区,14.5,2025年2月
218,10,长阳县,16.7,2025年2月
219,11,宜都市,19.1,2025年2月
220,12,*猇亭区,20.5,2025年2月
221,13,秭归县,20.6,2025年2月
222,14,远安县,26.5,2025年2月
223,,国家考核区域,12,2025年2月
224,,全市平均,-2,2025年2月
225,1,*点军区,-36,2025年3月
226,2,*高新区,-30.4,2025年3月
227,3,*西陵区,-28.8,2025年3月
228,4,当阳市,-26.1,2025年3月
229,5,*夷陵区,-26,2025年3月
230,6,*伍家岗区,-24.1,2025年3月
231,7,枝江市,-20.8,2025年3月
232,8,远安县,-20.6,2025年3月
233,9,*猇亭区,-17.6,2025年3月
234,10,长阳县,-17.1,2025年3月
235,11,兴山县,-16.7,2025年3月
236,11,宜都市,-16.7,2025年3月
237,12,秭归县,-15.8,2025年3月
238,13,五峰县,-13.8,2025年3月
239,,国家考核区域,-28.8,2025年3月
240,,全市平均,-32.7,2025年3月
241,1,*夷陵区,3.6,2025年4月
242,2,宜都市,6.2,2025年4月
243,3,*西陵区,6.7,2025年4月
244,4,*点军区,7.7,2025年4月
