xh,px,xsq,jsntqzf,bysj
1,1,*高新区,-21.2,2024年1月
2,2,*西陵区,-20.8,2024年1月
3,3,宜都市,-19.6,2024年1月
4,4,长阳县,-19.4,2024年1月
5,5,远安县,-16.1,2024年1月
6,6,兴山县,-15.1,2024年1月
7,7,*夷陵区,-14.4,2024年1月
8,8,*猇亭区,-14,2024年1月
9,9,*伍家岗区,-13.4,2024年1月
10,10,枝江市,-13.3,2024年1月
11,11,*点军区,-12,2024年1月
12,12,秭归县,-9.4,2024年1月
13,13,五峰县,0,2024年1月
14,14,当阳市,0,2024年1月
15,,国家考核区域,-12.5,2024年1月
16,,全市平均,-13.6,2024年1月
17,1,远安县,-14.8,2024年2月
18,2,五峰县,-13,2024年2月
19,3,*高新区,-12.3,2024年2月
20,4,秭归县,-11.1,2024年2月
21,5,兴山县,-10.2,2024年2月
22,6,长阳县,-10.2,2024年2月
23,7,*西陵区,-8.2,2024年2月
24,8,*点军区,-6.2,2024年2月
25,9,*夷陵区,-4.7,2024年2月
26,10,*伍家岗区,-2.9,2024年2月
27,11,宜都市,-2.1,2024年2月
28,12,枝江市,-1.8,2024年2月
29,13,*猇亭区,1,2024年2月
30,14,当阳市,5.3,2024年2月
31,,国家考核区域,-7.7,2024年2月
32,,全市平均,-6.8,2024年2月
33,1,*伍家岗区,-8.1,2024年3月
34,2,*西陵区,-5.6,2024年3月
35,3,五峰县,-5.4,2024年3月
36,4,*夷陵区,-4.7,2024年3月
37,5,远安县,-3.8,2024年3月
38,6,长阳县,-3.6,2024年3月
39,7,*高新区,-1.5,2024年3月
40,8,*点军区,-0.8,2024年3月
41,9,宜都市,3.3,2024年3月
42,10,秭归县,4.2,2024年3月
43,11,*猇亭区,4.7,2024年3月
44,12,枝江市,5.2,2024年3月
45,13,兴山县,13.3,2024年3月
46,14,当阳市,17,2024年3月
47,,国家考核区域,-4,2024年3月
48,,全市平均,0.8,2024年3月
49,1,五峰县,-9.8,2024年4月
50,2,兴山县,-8,2024年4月
51,3,*西陵区,-4.9,2024年4月
52,4,秭归县,-2.8,2024年4月
53,5,*伍家岗区,-2.7,2024年4月
54,6,长阳县,-2.7,2024年4月
55,7,远安县,-2,2024年4月
56,8,枝江市,-1.3,2024年4月
57,9,*高新区,1.3,2024年4月
58,10,当阳市,2.2,2024年4月
59,11,*猇亭区,5.3,2024年4月
60,12,*夷陵区,5.4,2024年4月
61,13,*点军区,7.9,2024年4月
62,14,宜都市,10.2,2024年4月
63,,国家考核区域,3.5,2024年4月
64,,全市平均,0,2024年4月
65,1,*猇亭区,6.9,2024年5月
66,2,远安县,13.9,2024年5月
67,3,*西陵区,14.2,2024年5月
68,4,宜都市,18.3,2024年5月
69,5,兴山县,20,2024年5月
70,6,当阳市,20,2024年5月
71,7,*高新区,20.8,2024年5月
72,8,*伍家岗区,21.9,2024年5月
73,9,五峰县,22.2,2024年5月
74,10,长阳县,22.6,2024年5月
75,11,枝江市,22.7,2024年5月
76,12,*夷陵区,24.8,2024年5月
77,13,*点军区,28.3,2024年5月
78,14,秭归县,31.2,2024年5月
79,,国家考核区域,20.3,2024年5月
80,,全市平均,20.4,2024年5月
81,1,当阳市,-7.4,2024年6月
82,2,*猇亭区,-6.1,2024年6月
83,3,枝江市,-5.8,2024年6月
84,4,兴山县,-2.9,2024年6月
85,5,长阳县,-2.4,2024年6月
86,6,远安县,0.6,2024年6月
87,7,五峰县,1.6,2024年6月
88,8,宜都市,2.5,2024年6月
89,9,*伍家岗区,3.8,2024年6月
90,10,*高新区,4,2024年6月
91,11,*西陵区,4.4,2024年6月
92,12,秭归县,4.6,2024年6月
93,13,*夷陵区,6.3,2024年6月
94,14,*点军区,8.2,2024年6月
95,,国家考核区域,3.1,2024年6月
96,,全市平均,1.3,2024年6月
97,1,五峰县,-30.3,2024年7月
98,2,枝江市,-30.3,2024年7月
99,3,*伍家岗区,-25.9,2024年7月
100,4,长阳县,-23.8,2024年7月
101,5,*高新区,-23.1,2024年7月
102,6,*猇亭区,-20.3,2024年7月
103,7,*西陵区,-20.1,2024年7月
104,8,远安县,-16.2,2024年7月
105,9,当阳市,-15.9,2024年7月
106,10,*点军区,-14.5,2024年7月
107,11,秭归县,-13.2,2024年7月
108,12,宜都市,-12.7,2024年7月
109,13,*夷陵区,-12,2024年7月
110,14,兴山县,-9.8,2024年7月
111,,国家考核区域,-20.5,2024年7月
112,,全市平均,-19.3,2024年7月
113,1,枝江市,-17,2024年8月
114,2,五峰县,-12.9,2024年8月
115,3,当阳市,-10.6,2024年8月
116,4,远安县,-9.3,2024年8月
117,5,宜都市,-8.9,2024年8月
118,6,*高新区,-8.9,2024年8月
119,7,*点军区,-8.4,2024年8月
120,8,*西陵区,-7.4,2024年8月
121,9,兴山县,-6.3,2024年8月
122,10,*猇亭区,-4.3,2024年8月
123,11,*夷陵区,-3.8,2024年8月
124,12,长阳县,-2.6,2024年8月
125,13,秭归县,-1.4,2024年8月
126,14,*伍家岗区,-1.3,2024年8月
127,,国家考核区域,-6.7,2024年8月
128,,全市平均,-7.1,2024年8月
129,1,枝江市,9.9,2024年9月
130,2,*西陵区,9.9,2024年9月
131,3,当阳市,12.8,2024年9月
132,4,五峰县,12.9,2024年9月
133,5,*点军区,14.8,2024年9月
134,6,远安县,15.9,2024年9月
135,7,宜都市,17.4,2024年9月
136,8,*高新区,18.5,2024年9月
137,9,兴山县,18.6,2024年9月
138,10,*夷陵区,18.9,2024年9月
139,11,秭归县,19.9,2024年9月
140,12,*伍家岗区,20.7,2024年9月
141,13,*猇亭区,24.7,2024年9月
142,14,长阳县,28,2024年9月
143,,国家考核区域,16.8,2024年9月
144,,全市平均,17.1,2024年9月
145,1,*猇亭区,-5.7,2024年10月
146,2,当阳市,-4.3,2024年10月
147,3,枝江市,-4,2024年10月
148,4,*西陵区,-3.8,2024年10月
149,5,远安县,-1.5,2024年10月
150,6,五峰县,0,2024年10月
151,7,*夷陵区,3.7,2024年10月
152,8,*伍家岗区,5.2,2024年10月
153,9,*高新区,6.2,2024年10月
154,10,秭归县,7.8,2024年10月
155,11,*点军区,9,2024年10月
156,12,宜都市,10.4,2024年10月
157,13,长阳县,10.8,2024年10月
158,14,兴山县,42.3,2024年10月
159,,国家考核区域,2.9,2024年10月
160,,全市平均,3.8,2024年10月
161,1,枝江市,10.7,2024年11月
162,2,远安县,15.3,2024年11月
163,3,猇亭区,16.4,2024年11月
164,4,五峰县,18.7,2024年11月
165,5,兴山县,20.8,2024年11月
166,6,当阳市,22,2024年11月
167,7,伍家岗区,25.5,2024年11月
168,8,西陵区,31.2,2024年11月
169,9,夷陵区,36.1,2024年11月
170,10,高新区,37.6,2024年11月
171,11,宜都市,38.9,2024年11月
172,12,点军区,45.7,2024年11月
173,13,长阳县,46.7,2024年11月
174,14,秭归县,69.1,2024年11月
175,,国家考核区域,30.4,2024年11月
176,,全市平均,29.5,2024年11月
177,1,秭归县,-3.8,2024年12月
178,2,枝江市,-3.4,2024年12月
179,3,*西陵区,-2.7,2024年12月
180,4,*猇亭区,-1.1,2024年12月
181,5,长阳县,3.5,2024年12月
182,6,*夷陵区,6.7,2024年12月
183,7,宜都市,8.6,2024年12月
184,8,远安县,9,2024年12月
185,9,当阳市,11.7,2024年12月
186,10,五峰县,13.5,2024年12月
187,11,*伍家岗区,13.9,2024年12月
188,12,兴山县,14.1,2024年12月
189,13,*高新区,17.9,2024年12月
190,14,*点军区,34.8,2024年12月
191,,国家考核区域,13.5,2024年12月
192,,全市平均,7.8,2024年12月
193,1,远安县,6.1,2025年1月
194,2,枝江市,9.6,2025年1月
195,3,兴山县,11,2025年1月
196,4,五峰县,13.1,2025年1月
197,5,当阳市,13.6,2025年1月
198,6,*猇亭区,15.4,2025年1月
199,7,秭归县,19.5,2025年1月
200,8,*夷陵区,21.3,2025年1月
201,9,*西陵区,21.4,2025年1月
202,10,宜都市,26.8,2025年1月
203,11,*点军区,27.3,2025年1月
204,12,*高新区,28,2025年1月
205,13,*伍家岗区,31,2025年1月
206,14,长阳县,33.3,2025年1月
207,,主城区平均,23.1,2025年1月
208,,全市平均,19.1,2025年1月
209,1,枝江市,-18.8,2025年2月
210,2,*伍家岗区,-17,2025年2月
211,3,*猇亭区,-14.2,2025年2月
212,4,宜都市,-11.1,2025年2月
213,5,远安县,-10.1,2025年2月
214,6,当阳市,-10,2025年2月
215,7,*夷陵区,-8.8,2025年2月
216,8,*点军区,-7.5,2025年2月
217,9,*西陵区,-6.5,2025年2月
218,10,*高新区,-4.8,2025年2月
219,11,五峰县,-1.1,2025年2月
220,12,秭归县,2.2,2025年2月
221,13,长阳县,3,2025年2月
222,14,兴山县,4.4,2025年2月
223,,国家考核区域,-9.9,2025年2月
224,,全市平均,-5.2,2025年2月
225,1,*点军区,-13.4,2025年3月
226,2,兴山县,-10.8,2025年3月
227,3,*猇亭区,-8.3,2025年3月
228,4,*伍家岗区,-8,2025年3月
229,5,秭归县,-7.2,2025年3月
230,6,枝江市,-6.4,2025年3月
231,7,长阳县,-5.2,2025年3月
232,8,当阳市,-3.8,2025年3月
233,9,远安县,-3.1,2025年3月
234,10,*高新区,-0.8,2025年3月
235,11,*西陵区,0,2025年3月
236,12,宜都市,1.6,2025年3月
237,13,五峰县,5.7,2025年3月
238,14,*夷陵区,7.3,2025年3月
239,,国家考核区域,0.8,2025年3月
240,,全市平均,0,2025年3月
241,1,兴山县,-7.1,2025年4月
242,2,*夷陵区,-3.8,2025年4月
243,3,*伍家岗区,-3.5,2025年4月
244,4,枝江市,-3.4,2025年4月
245,5,*高新区,-2.5,2025年4月
246,6,*点军区,-0.7,2025年4月
247,7,宜都市,5.7,2025年4月
248,8,当阳市,5.7,2025年4月
249,9,五峰县,6.7,2025年4月
250,10,*西陵区,8.8,2025年4月
251,11,长阳县,9.6,2025年4月
252,12,*猇亭区,10.8,2025年4月
253,13,秭归县,12.1,2025年4月
254,14,远安县,14.6,2025年4月
255,,国家考核区域,0.7,2025年4月
256,,全市平均,3.5,2025年4月
257,1,*伍家岗区,-19.7,2025年5月
258,2,*点军区,-19.2,2025年5月
259,3,*夷陵区,-17.7,2025年5月
260,4,枝江市,-12,2025年5月
261,5,*猇亭区,-10.6,2025年5月
262,6,*高新区,-10.4,2025年5月
263,7,五峰县,-9.1,2025年5月
264,8,当阳市,-7.8,2025年5月
265,9,*西陵区,-7.1,2025年5月
266,10,宜都市,-3.6,2025年5月
267,11,远安县,-2.9,2025年5月
268,12,秭归县,-1.8,2025年5月
269,13,长阳县,3,2025年5月
270,14,兴山县,7.2,2025年5月
271,,国家考核区域,-14.6,2025年5月
272,,全市平均,-8.2,2025年5月
273,1,*高新区,-12.6,2025年6月
274,2,*夷陵区,-10.7,2025年6月
275,3,*点军区,-9.9,2025年6月
276,4,*西陵区,-9.6,2025年6月
277,5,*伍家岗区,-8.5,2025年6月
278,6,远安县,-5.1,2025年6月
279,7,*猇亭区,-4.5,2025年6月
280,8,宜都市,-3.7,2025年6月
281,9,枝江市,0,2025年6月
282,10,长阳县,1.2,2025年6月
283,11,当阳市,6.7,2025年6月
284,12,秭归县,7.5,2025年6月
285,13,五峰县,9.7,2025年6月
286,14,兴山县,12.9,2025年6月
287,,国家考核区域,-9.7,2025年6月
288,,全市平均,-2.5,2025年6月
289,1,*点军区,10.8,2025年7月
290,2,*夷陵区,13.6,2025年7月
291,3,*猇亭区,17.2,2025年7月
292,4,远安县,20.2,2025年7月
293,5,*西陵区,20.2,2025年7月
294,6,*伍家岗区,22,2025年7月
295,7,枝江市,23.2,2025年7月
296,8,*高新区,23.3,2025年7月
297,9,兴山县,24.8,2025年7月
298,10,当阳市,28.3,2025年7月
299,11,秭归县,30.5,2025年7月
300,12,宜都市,31.8,2025年7月
301,13,五峰县,36.8,2025年7月
302,14,长阳县,49,2025年7月
303,,国家考核区域,17.5,2025年7月
304,,全市平均,24.8,2025年7月
305,1,*猇亭区,-24.2,2025年8月
306,2,*伍家岗区,-15.1,2025年8月
307,3,当阳市,-13.9,2025年8月
308,4,*夷陵区,-13.7,2025年8月
309,5,枝江市,-13.6,2025年8月
310,6,长阳县,-7.9,2025年8月
311,7,远安县,-7.4,2025年8月
312,8,*高新区,-7.4,2025年8月
313,9,五峰县,-6.5,2025年8月
314,10,*西陵区,-6,2025年8月
315,11,秭归县,-5.8,2025年8月
316,12,宜都市,-5.6,2025年8月
317,13,兴山县,-5.1,2025年8月
318,14,*点军区,2,2025年8月
319,,国家考核区域,-10.4,2025年8月
320,,全市平均,-9.8,2025年8月
