xh,px,xsq,bynd,bysj
1,1,兴山县,73,2024年1月
2,2,宜都市,82,2024年1月
3,3,五峰县,84,2024年1月
4,4,*伍家岗区,84,2024年1月
5,5,*西陵区,84,2024年1月
6,6,长阳县,87,2024年1月
7,7,秭归县,87,2024年1月
8,8,当阳市,88,2024年1月
9,9,*点军区,88,2024年1月
10,10,*夷陵区,89,2024年1月
11,11,*高新区,93,2024年1月
12,12,远安县,99,2024年1月
13,13,*猇亭区,104,2024年1月
14,14,枝江市,104,2024年1月
15,,国家考核区域,91,2024年1月
16,,全市平均,89,2024年1月
17,1,五峰县,87,2024年2月
18,2,兴山县,88,2024年2月
19,3,秭归县,88,2024年2月
20,4,*西陵区,90,2024年2月
21,5,*点军区,91,2024年2月
22,6,宜都市,94,2024年2月
23,7,长阳县,97,2024年2月
24,8,远安县,98,2024年2月
25,9,当阳市,99,2024年2月
26,10,*高新区,100,2024年2月
27,11,*猇亭区,101,2024年2月
28,12,*伍家岗区,102,2024年2月
29,13,*夷陵区,102,2024年2月
30,14,枝江市,108,2024年2月
31,,国家考核区域,96,2024年2月
32,,全市平均,96,2024年2月
33,1,五峰县,106,2024年3月
34,2,兴山县,111,2024年3月
35,3,*西陵区,117,2024年3月
36,4,*点军区,119,2024年3月
37,5,*夷陵区,123,2024年3月
38,6,秭归县,125,2024年3月
39,7,*伍家岗区,125,2024年3月
40,8,宜都市,126,2024年3月
41,9,远安县,128,2024年3月
42,10,当阳市,131,2024年3月
43,11,*高新区,131,2024年3月
44,12,*猇亭区,133,2024年3月
45,13,长阳县,134,2024年3月
46,14,枝江市,141,2024年3月
47,,国家考核区域,120,2024年3月
48,,全市平均,125,2024年3月
49,1,五峰县,120,2024年4月
50,2,兴山县,127,2024年4月
51,3,*西陵区,136,2024年4月
52,4,*猇亭区,139,2024年4月
53,5,秭归县,140,2024年4月
54,6,当阳市,140,2024年4月
55,7,宜都市,140,2024年4月
56,8,远安县,144,2024年4月
57,9,*伍家岗区,144,2024年4月
58,10,长阳县,146,2024年4月
59,11,枝江市,147,2024年4月
60,12,*点军区,151,2024年4月
61,13,*夷陵区,156,2024年4月
62,14,*高新区,158,2024年4月
63,,国家考核区域,147,2024年4月
64,,全市平均,142,2024年4月
65,1,兴山县,138,2024年5月
66,2,五峰县,143,2024年5月
67,3,长阳县,168,2024年5月
68,4,宜都市,168,2024年5月
69,5,秭归县,168,2024年5月
70,6,*西陵区,169,2024年5月
71,7,*猇亭区,170,2024年5月
72,8,远安县,172,2024年5月
73,9,*点军区,177,2024年5月
74,10,*伍家岗区,178,2024年5月
75,11,当阳市,180,2024年5月
76,12,枝江市,184,2024年5月
77,13,*夷陵区,186,2024年5月
78,14,*高新区,192,2024年5月
79,,国家考核区域,178,2024年5月
80,,全市平均,171,2024年5月
81,1,五峰县,124,2024年6月
82,2,兴山县,132,2024年6月
83,3,当阳市,150,2024年6月
84,4,*猇亭区,155,2024年6月
85,5,远安县,157,2024年6月
86,6,秭归县,159,2024年6月
87,7,枝江市,162,2024年6月
88,8,长阳县,164,2024年6月
89,9,宜都市,164,2024年6月
90,10,*伍家岗区,164,2024年6月
91,11,*西陵区,167,2024年6月
92,12,*夷陵区,169,2024年6月
93,13,*点军区,172,2024年6月
94,14,*高新区,182,2024年6月
95,,国家考核区域,165,2024年6月
96,,全市平均,159,2024年6月
97,1,五峰县,76,2024年7月
98,2,长阳县,96,2024年7月
99,3,枝江市,99,2024年7月
100,4,兴山县,101,2024年7月
101,5,秭归县,105,2024年7月
102,6,当阳市,106,2024年7月
103,7,远安县,109,2024年7月
104,8,*伍家岗区,109,2024年7月
105,9,宜都市,110,2024年7月
106,10,*西陵区,119,2024年7月
107,11,*高新区,120,2024年7月
108,12,*猇亭区,122,2024年7月
109,13,*夷陵区,125,2024年7月
110,14,*点军区,130,2024年7月
111,,国家考核区域,120,2024年7月
112,,全市平均,109,2024年7月
113,1,五峰县,108,2024年8月
114,2,兴山县,118,2024年8月
115,3,枝江市,132,2024年8月
116,4,远安县,136,2024年8月
117,5,秭归县,138,2024年8月
118,6,当阳市,144,2024年8月
119,7,宜都市,144,2024年8月
120,8,*西陵区,151,2024年8月
121,9,*点军区,152,2024年8月
122,10,长阳县,152,2024年8月
123,11,*伍家岗区,152,2024年8月
124,12,*夷陵区,153,2024年8月
125,13,*猇亭区,157,2024年8月
126,14,*高新区,163,2024年8月
127,,国家考核区域,154,2024年8月
128,,全市平均,143,2024年8月
129,1,五峰县,140,2024年9月
130,2,兴山县,140,2024年9月
131,3,枝江市,167,2024年9月
132,4,*西陵区,167,2024年9月
133,5,当阳市,167,2024年9月
134,6,远安县,168,2024年9月
135,7,秭归县,169,2024年9月
136,8,宜都市,175,2024年9月
137,9,*夷陵区,176,2024年9月
138,10,*伍家岗区,181,2024年9月
139,11,长阳县,183,2024年9月
140,12,*点军区,186,2024年9月
141,13,*猇亭区,187,2024年9月
142,14,*高新区,192,2024年9月
143,,国家考核区域,181,2024年9月
144,,全市平均,171,2024年9月
145,1,五峰县,109,2024年10月
146,2,兴山县,111,2024年10月
147,3,秭归县,124,2024年10月
148,4,*西陵区,127,2024年10月
149,5,远安县,132,2024年10月
150,6,当阳市,134,2024年10月
151,7,宜都市,138,2024年10月
152,8,*夷陵区,140,2024年10月
153,9,*伍家岗区,142,2024年10月
154,10,枝江市,144,2024年10月
155,11,长阳县,144,2024年10月
156,12,*点军区,146,2024年10月
157,13,*猇亭区,150,2024年10月
158,14,*高新区,154,2024年10月
159,,国家考核区域,143,2024年10月
160,,全市平均,135,2024年10月
161,1,兴山县,87,2024年11月
162,2,五峰县,108,2024年11月
163,3,远安县,113,2024年11月
164,4,秭归县,115,2024年11月
165,5,当阳市,122,2024年11月
166,6,枝江市,124,2024年11月
167,7,宜都市,125,2024年11月
168,8,西陵区,126,2024年11月
169,9,伍家岗区,128,2024年11月
170,10,夷陵区,132,2024年11月
171,11,长阳县,135,2024年11月
172,11,猇亭区,135,2024年11月
173,12,点军区,137,2024年11月
174,13,高新区,139,2024年11月
175,,国家考核区域,133,2024年11月
176,,全市平均,123,2024年11月
177,1,*西陵区,72,2024年12月
178,2,兴山县,73,2024年12月
179,3,宜都市,76,2024年12月
180,3,秭归县,76,2024年12月
181,5,*夷陵区,80,2024年12月
182,6,*伍家岗区,82,2024年12月
183,7,枝江市,84,2024年12月
184,7,五峰县,84,2024年12月
185,8,远安县,85,2024年12月
186,9,当阳市,86,2024年12月
187,10,长阳县,89,2024年12月
188,11,*高新区,92,2024年12月
189,11,*猇亭区,92,2024年12月
190,12,*点军区,93,2024年12月
191,,国家考核区域,84,2024年12月
192,,全市平均,83,2024年12月
193,1,兴山县,81,2025年1月
194,2,五峰县,95,2025年1月
195,3,当阳市,100,2025年1月
196,4,*西陵区,102,2025年1月
197,5,宜都市,104,2025年1月
198,5,秭归县,104,2025年1月
199,6,远安县,105,2025年1月
200,7,*夷陵区,108,2025年1月
201,8,*伍家岗区,110,2025年1月
202,9,*点军区,112,2025年1月
203,10,枝江市,114,2025年1月
204,11,长阳县,116,2025年1月
205,12,*高新区,119,2025年1月
206,13,*猇亭区,120,2025年1月
207,,主城区平均,112,2025年1月
208,,全市平均,106,2025年1月
209,1,*点军区,86,2025年2月
210,1,*西陵区,86,2025年2月
211,2,*伍家岗区,88,2025年2月
212,2,五峰县,88,2025年2月
213,2,宜都市,88,2025年2月
214,3,远安县,89,2025年2月
215,4,当阳市,90,2025年2月
216,5,枝江市,91,2025年2月
217,5,*猇亭区,91,2025年2月
218,6,*夷陵区,93,2025年2月
219,7,兴山县,94,2025年2月
220,7,秭归县,94,2025年2月
221,8,*高新区,99,2025年2月
222,9,长阳县,102,2025年2月
223,,国家考核区域,91,2025年2月
224,,全市平均,91,2025年2月
225,1,兴山县,99,2025年3月
226,2,*点军区,103,2025年3月
227,3,五峰县,112,2025年3月
228,4,*伍家岗区,115,2025年3月
229,5,秭归县,116,2025年3月
230,6,*西陵区,117,2025年3月
231,7,*猇亭区,122,2025年3月
232,8,远安县,124,2025年3月
233,9,当阳市,126,2025年3月
234,10,长阳县,127,2025年3月
235,11,宜都市,128,2025年3月
236,12,*高新区,130,2025年3月
237,13,*夷陵区,132,2025年3月
238,14,枝江市,132,2025年3月
239,,国家考核区域,121,2025年3月
240,,全市平均,120,2025年3月
241,1,兴山县,118,2025年4月
242,2,五峰县,128,2025年4月
243,3,*伍家岗区,139,2025年4月
244,4,枝江市,142,2025年4月
245,5,宜都市,148,2025年4月
246,5,*西陵区,148,2025年4月
247,5,当阳市,148,2025年4月
248,6,*夷陵区,150,2025年4月
249,6,*点军区,150,2025年4月
250,7,*猇亭区,154,2025年4月
