FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
宜昌市,165603,1,6296,长江,1
枝江市,40,6,1,百里洲渠,
枝江市,123,6,13,采穴河,1
秭归县,31,6,7,龙马溪,1
夷陵区-邓村乡-红桂香村/夷陵区-邓村乡-小渔村村/夷陵区-太平溪镇-小溪口村/夷陵区-太平溪镇-韩家湾村,140,6,22,百岁溪,1
夷陵区-邓村乡-谭家垭村/夷陵区-邓村乡-红桂香村,35,7,10,小河（夷陵）,1
夷陵区,21,6,6,太平溪,1
夷陵区,7,6,1,松树沟,1
秭归县-茅坪镇-四溪村/秭归县-茅坪镇-建东村/秭归县-茅坪镇-陈家坝村/秭归县-茅坪镇-九里村/秭归县-茅坪镇-杨贵店村/夷陵区-三斗坪镇-柏果淌村,124,6,25,茅坪河,1
秭归县-茅坪镇-罗家村/秭归县-茅坪镇-花果园村/秭归县-茅坪镇-陈家冲村/秭归县-茅坪镇-金缸城村/秭归县-茅坪镇-长岭村,34,7,8,三溪河（陈家冲河）,1
点军区-桥边镇-新村村/点军区-点军街道-紫阳村,21,6,6,紫阳河,1
兴山县,37,7,6,平阳河,1
兴山县,3213,2,108,香溪河,1
秭归县-屈原镇-凤凰溪村/秭归县-屈原镇-屈原村,87,6,14,七里峡河（七里峡）,1
兴山县,15,6,3,螃蟹溪沟（螃蟹溪）,1
兴山县-峡口镇-黄家河村/兴山县-峡口镇-建阳坪村,37,6,11,黄家河（兴山）,1
兴山县-峡口镇-漆树坪村/兴山县-峡口镇-杨道河村,11,6,3,董家沟,1
兴山县,295,6,35,王家河,1
兴山县-水月寺镇-高岚村,10,7,3,小溪沟（小溪河）,1
兴山县-水月寺镇-高岚村/兴山县-水月寺镇-郑家淌村,11,7,3,郑家埫河（广沟）,1
兴山县-水月寺镇-水月寺社区居委会/兴山县-水月寺镇-龙头坪村/兴山县-水月寺镇-椴树垭村/兴山县-水月寺镇-道路坪村/兴山县-水月寺镇-南对河村,83,7,22,野马洞河,1
兴山县,12,8,4,红水河,1
兴山县,14,8,5,碾盘沟,1
兴山县-水月寺镇-南对河村/兴山县-水月寺镇-高家坪村/兴山县-水月寺镇-野竹池村,67,7,13,简家河,1
兴山县,12,8,1,野竹池河,1
