BAS_AD_NAME,BAS_AREA,BAS_GRAD,BAS_NAME
远安县,161,6,丁家河
长阳自治县,23,6,七丘河（塘坊河）
夷陵区/秭归县,87,6,七里峡河
西陵区,5,8,三岔河
长阳自治县,20,6,三岔溪
夷陵区/兴山县/秭归县/,5063,2,三峡库区
点军区,51,7,三涧溪
秭归县,10,7,三溪河
远安县,48,6,三道河
当阳市,23,7,上咀河
兴山县/秭归县,66,6,下归坪河
点军区/夷陵区,119,6,下溪
夷陵区,137,6,下牢溪
长阳自治县,26,7,下芦溪
宜都市,25,7,丑溪
西陵区,216,3,东山运河
枝江市,90,7,东干渠
夷陵区,22,8,东河
长阳自治县,111,6,东流溪
兴山县,25,7,中岔河
五峰自治县,50,7,中溪
长阳自治县,38,6,中溪河
长阳自治县/五峰自治县,45,7,中溪河（五峰）
长阳县,503,3,丹水
长阳县,802,4,丹水片区
枝江市,92,6,之字溪
夷陵区,412,6,乐天溪
夷陵区,473,4,乐天溪片区
猇亭区/,22,7,九冲河
远安县,86,6,九子溪
秭归县/长阳自治县,461,2,九畹溪
秭归县,1606,3,九畹溪单元
秭归县,954,4,九畹溪片区
宜都市,282,6,九道河
枝江市,21,7,九龙港
点军区,14,6,习家河
远安县,31,6,乾沟河
远安县,38,7,二虎冲
夷陵区,15,6,五柱溪
兴山县,23,7,五童河
远安县,81,6,五里河
夷陵区/枝江市,36,7,五龙溪
枝江市,18,7,仙女主排渠
当阳市,22,7,何家冲
宜都市,26,8,何家冲（宜都）
当阳市,15,7,余家谭河
点军区,11,7,六里河
夷陵区,26,7,内滩河
夷陵区,31,6,军田坝河
夷陵区,11,6,冷水溪
长阳县,25,6,分水溪
远安县,18,8,刘家河
五峰自治县,31,7,前河
夷陵区/当阳市,59,6,勾家冲
当阳市,37,6,北冲
夷陵区,23,6,十字沟河
长阳自治县,236,7,南汊溪
五峰自治县,243,4,南河片区
宜昌市/恩施州,62,6,南渡江
当阳市/枝江市,53,7,卢家港
兴山县,21,7,卢沟
长阳县,49,7,双柳溪
宜昌市/恩施州,306,7,叶溪河
长阳县,18,6,吊岩沟
长阳县,23,7,后峰溪
伍家岗区/猇亭区/夷陵区,104,6,后河
长阳县,19,6,向家河
长阳县,36,6,向家溪
当阳市,18,7,吕家冲
秭归县,62,6,周坪河
当阳市/枝江市,30,7,周家河
猇亭区/兴山县,102,6,咸水河
秭归县,36,7,咸池沟
长阳自治县,321,8,咸池河
兴山县,139,6,响水河
长阳自治县,154,6,响石溪
猇亭区/高新区,56,6,善溪冲
夷陵区,37,6,土门河
长阳县,25,6,城子河
宜都市,20,6,堰石溪（杨家湖）
秭归县,20,7,墓坪河
夷陵区,32,7,夏家河
远安县,38,7,大汉口河
宜都市,65,6,大溪河
猇亭区/当阳市,62,6,大石头河
夷陵区,17,7,天桥沟
长阳自治县/五峰自治县,441,6,天池河
长阳县/五峰自治县,541,4,天池河片区
夷陵区,21,6,太平溪
夷陵区/秭归县,441,4,太平溪片区
长阳自治县,109,6,头道河（沿头溪）
长阳自治县,79,6,子厂溪（淋湘溪）
兴山县,26,6,孔子河
兴山县,65,6,孔雀岭河
夷陵区,52,8,孙家河
兴山县/秭归县,18,6,孙家河（秭归）
宜都市,16,6,宋山冲
宜都市,12,7,宏庙子冲
远安县/夷陵区,21,7,宗家河
当阳市,35,6,官道河
长阳县,20,6,对舞溪
秭归县,26,7,小太坪河
夷陵区,91,7,小峰河
长阳自治县,35,7,小河
五峰自治县,116,6,小河（五峰）
夷陵区,35,7,小河（夷陵）
远安县,29,7,小秦沟
当阳市,30,6,峡口河
远安县,21,6,巩峪河
远安县,187,4,巩河
宜昌市/恩施州,11,7,常滩河
当阳市,14,7,干柴沟
宜昌市/荆州市,25,7,干沟河
五峰自治县,162,6,干沟河（五峰）
长阳自治县,236,7,干河沟
秭归县,33,6,干溪沟
长阳县,39,9,干溪河
宜昌市/恩施州,34,6,平阳河
远安县,17,7,庄屋河
长阳自治县,34,6,庄溪
宜昌市/恩施州,4,6,庙坪河
五峰自治县,26,7,廖叶池
兴山县,32,7,张家河
枝江市,28,6,彭余港
夷陵区,33,7,彭家河
秭归县,36,7,打河溪
