xh,xsq,pm25,pm10,o3,no2,so2,co,bysj
1,宜都市,98,134,102,25,7,1.4,2023年1月
2,五峰土家族自治县,60,82,84,16,8,1.4,2023年1月
3,长阳土家族自治县,100,125,108,26,4,1.2,2023年1月
4,兴山县,63,79,86,18,11,1.4,2023年1月
5,秭归县,73,98,96,31,6,1.6,2023年1月
6,远安县,53,103,118,13,9,1.6,2023年1月
7,当阳市,98,126,88,21,10,1.7,2023年1月
8,枝江市,98,132,120,28,9,1.6,2023年1月
9,*猇亭区,98,135,121,28,10,1.4,2023年1月
10,*西陵区,96,127,106,32,6,1.6,2023年1月
11,*伍家岗区,103,138,97,39,6,1.6,2023年1月
12,*夷陵区,99,116,104,30,7,1.5,2023年1月
13,*点军区,101,136,100,28,6,1.7,2023年1月
14,*高新区,105,144,118,30,8,1.6,2023年1月
15,宜昌,100,133,104,31,7,1.6,2023年1月
16,均值,89,120,103,26,8,1.5,2023年1月
17,宜都市,79,103,96,29,6,1.1,2023年2月
18,五峰土家族自治县,46,72,100,15,8,1.2,2023年2月
19,长阳土家族自治县,69,87,108,26,5,1,2023年2月
20,兴山县,52,61,98,19,10,1,2023年2月
21,秭归县,53,72,99,32,7,1.3,2023年2月
22,远安县,51,94,115,14,10,1.5,2023年2月
23,当阳市,68,92,94,26,15,1.4,2023年2月
24,枝江市,61,81,110,27,7,1.1,2023年2月
25,*猇亭区,74,100,100,32,10,1.1,2023年2月
26,*西陵区,76,98,98,35,5,1.1,2023年2月
27,*伍家岗区,80,105,105,36,9,1,2023年2月
28,*夷陵区,78,85,107,31,7,1,2023年2月
29,*点军区,76,100,97,29,5,1.1,2023年2月
30,*高新区,88,114,114,34,7,1.2,2023年2月
31,国家考核区域,78,100,104,33,7,1.1,2023年2月
32,均值,68,90,103,28,8,1.2,2023年2月
33,宜都市,47,80,122,21,7,1,2023年3月
34,五峰土家族自治县,24,55,112,12,8,1.1,2023年3月
35,长阳土家族自治县,37,64,139,15,4,0.8,2023年3月
36,兴山县,27,46,98,15,6,0.7,2023年3月
37,秭归县,30,57,120,31,6,1.2,2023年3月
38,远安县,33,76,133,11,10,0.9,2023年3月
39,当阳市,49,82,112,26,16,1,2023年3月
40,枝江市,43,74,134,23,8,0.9,2023年3月
41,*猇亭区,44,80,127,33,12,0.9,2023年3月
42,*西陵区,38,73,124,32,8,0.8,2023年3月
43,*伍家岗区,42,82,136,36,9,0.9,2023年3月
44,*夷陵区,38,68,129,29,7,0.8,2023年3月
45,*点军区,38,75,120,26,6,0.8,2023年3月
