xh,px,xsq,nd,bqsj
1,1,兴山县,44,2024年1～2月
2,2,五峰县,50,2024年1～2月
3,3,秭归县,51,2024年1～2月
4,4,远安县,59,2024年1～2月
5,5,*点军区,70,2024年1～2月
6,6,长阳县,75,2024年1～2月
7,7,*伍家岗区,75,2024年1～2月
8,8,*猇亭区,77,2024年1～2月
9,9,*西陵区,77,2024年1～2月
10,10,枝江市,80,2024年1～2月
11,11,*高新区,80,2024年1～2月
12,12,当阳市,87,2024年1～2月
13,13,*夷陵区,88,2024年1～2月
14,14,宜都市,90,2024年1～2月
15,,国家考核区域,,2024年1～2月
16,,全市平均,,2024年1～2月
17,1,兴山县,47,2024年1～3月
18,2,五峰县,51,2024年1～3月
19,3,秭归县,54,2024年1～3月
20,4,远安县,61,2024年1～3月
21,5,长阳县,74,2024年1～3月
22,6,*伍家岗区,76,2024年1～3月
23,7,*点军区,77,2024年1～3月
24,8,*西陵区,78,2024年1～3月
25,9,枝江市,79,2024年1～3月
26,10,*猇亭区,80,2024年1～3月
27,11,*高新区,80,2024年1～3月
28,12,*夷陵区,86,2024年1～3月
29,13,当阳市,90,2024年1～3月
30,14,宜都市,91,2024年1～3月
31,,国家考核区域,80,2024年1～3月
32,,全市平均,73,2024年1～3月
33,1,兴山县,45,2024年1～4月
34,2,五峰县,46,2024年1～4月
35,3,秭归县,50,2024年1～4月
36,4,远安县,57,2024年1～4月
37,5,长阳县,66,2024年1～4月
38,6,*点军区,68,2024年1～4月
39,7,*伍家岗区,69,2024年1～4月
40,8,*西陵区,70,2024年1～4月
41,9,枝江市,71,2024年1～4月
42,10,*高新区,71,2024年1～4月
43,11,*猇亭区,74,2024年1～4月
44,12,*夷陵区,76,2024年1～4月
45,13,当阳市,81,2024年1～4月
46,14,宜都市,82,2024年1～4月
47,,国家考核区域,71,2024年1～4月
48,,全市平均,66,2024年1～4月
49,1,五峰县,43,2024年1～5月
50,2,兴山县,43,2024年1～5月
51,3,秭归县,47,2024年1～5月
52,4,远安县,55,2024年1～5月
53,5,长阳县,61,2024年1～5月
54,6,*伍家岗区,64,2024年1～5月
55,7,*点军区,64,2024年1～5月
56,8,*西陵区,65,2024年1～5月
57,9,*高新区,66,2024年1～5月
58,10,枝江市,67,2024年1～5月
59,11,*夷陵区,70,2024年1～5月
60,12,*猇亭区,71,2024年1～5月
61,13,宜都市,75,2024年1～5月
62,14,当阳市,76,2024年1～5月
63,,国家考核区域,67,2024年1～5月
64,,全市平均,62,2024年1～5月
65,1,五峰县,40,2024年1～6月
66,2,兴山县,41,2024年1～6月
67,3,秭归县,44,2024年1～6月
68,4,远安县,52,2024年1～6月
69,5,长阳县,56,2024年1～6月
70,6,*伍家岗区,58,2024年1～6月
71,7,*点军区,58,2024年1～6月
72,8,*西陵区,59,2024年1～6月
73,9,枝江市,61,2024年1～6月
74,10,*高新区,61,2024年1～6月
75,11,*夷陵区,63,2024年1～6月
76,12,*猇亭区,65,2024年1～6月
77,13,宜都市,68,2024年1～6月
78,14,当阳市,70,2024年1～6月
79,,国家考核区域,61,2024年1～6月
80,,全市平均,57,2024年1～6月
81,1,五峰县,37,2024年1～7月
82,2,兴山县,38,2024年1～7月
83,3,秭归县,40,2024年1～7月
84,4,远安县,47,2024年1～7月
85,5,长阳县,50,2024年1～7月
86,6,*伍家岗区,52,2024年1～7月
87,7,*点军区,52,2024年1～7月
88,8,*西陵区,53,2024年1～7月
89,9,枝江市,55,2024年1～7月
90,10,*高新区,55,2024年1～7月
91,11,*夷陵区,57,2024年1～7月
92,12,*猇亭区,59,2024年1～7月
93,13,宜都市,62,2024年1～7月
94,14,当阳市,64,2024年1～7月
95,,国家考核区域,55,2024年1～7月
96,,全市平均,52,2024年1～7月
97,1,五峰县,35,2024年1～8月
98,2,兴山县,37,2024年1～8月
99,3,秭归县,38,2024年1～8月
100,4,远安县,46,2024年1～8月
101,5,长阳县,47,2024年1～8月
102,6,*伍家岗区,48,2024年1～8月
103,7,*点军区,49,2024年1～8月
104,8,*西陵区,50,2024年1～8月
105,9,*高新区,52,2024年1～8月
106,10,枝江市,52,2024年1～8月
107,11,*夷陵区,53,2024年1～8月
108,12,*猇亭区,56,2024年1～8月
109,13,宜都市,58,2024年1～8月
110,14,当阳市,60,2024年1～8月
111,,国家考核区域,51,2024年1～8月
112,,全市平均,49,2024年1～8月
113,1,五峰县,34,2024年1～9月
114,2,兴山县,36,2024年1～9月
115,3,秭归县,37,2024年1～9月
116,4,远安县,46,2024年1～9月
117,5,长阳县,46,2024年1～9月
118,6,*伍家岗区,47,2024年1～9月
119,7,*点军区,48,2024年1～9月
120,8,*西陵区,48,2024年1～9月
121,9,*高新区,51,2024年1～9月
122,10,枝江市,51,2024年1～9月
123,11,*夷陵区,51,2024年1～9月
124,12,*猇亭区,55,2024年1～9月
125,13,宜都市,57,2024年1～9月
126,14,当阳市,59,2024年1～9月
127,,国家考核区域,50,2024年1～9月
128,,全市平均,48,2024年1～9月
129,1,五峰县,33,2024年1～10月
130,2,兴山县,35,2024年1～10月
131,3,秭归县,37,2024年1～10月
132,4,长阳县,45,2024年1～10月
133,5,远安县,46,2024年1～10月
134,5,*伍家岗区,46,2024年1～10月
135,7,*西陵区,48,2024年1～10月
