xh,xsq,yts,lts,qdwrts,zdwrts1,zdwrts2,yzwrts,yltsbl,jsntqzf,bqsj
1,兴山县,26,30,2,0,0,0,96.6,22.9,2024年1～2月
2,五峰县,28,29,2,0,0,0,96.6,11.9,2024年1～2月
3,秭归县,20,34,2,1,0,0,94.7,16.7,2024年1～2月
4,远安县,19,34,5,1,0,0,89.8,11.8,2024年1～2月
5,长阳县,16,30,11,2,0,0,78,24.6,2024年1～2月
6,*猇亭区,12,29,14,2,0,0,71.9,17.5,2024年1～2月
7,当阳市,11,31,12,4,1,0,71.2,20.4,2024年1～2月
8,枝江市,12,29,14,3,1,0,69.5,13.6,2024年1～2月
9,*西陵区,10,30,15,3,0,0,69,19,2024年1～2月
10,宜都市,12,27,16,4,0,0,66.1,18.6,2024年1～2月
11,*夷陵区,10,26,15,6,0,0,63.2,14,2024年1～2月
12,*点军区,10,22,15,5,0,0,61.5,14.9,2024年1～2月
13,*伍家岗区,9,26,14,8,0,0,61.4,10.6,2024年1～2月
14,*高新区,6,28,19,6,0,0,57.6,14.2,2024年1～2月
15,国家考核区域,10,31,14,4,0,0,69.5,20.3,2024年1～2月
16,全市平均,,,,,,,74.8,16.5,2024年1～2月
17,兴山县,36,51,2,0,0,0,97.8,14.8,2024年1～3月
18,五峰县,37,52,2,0,0,0,97.8,9,2024年1～3月
19,秭归县,25,61,2,1,0,0,96.6,12.2,2024年1～3月
20,远安县,26,59,5,1,0,0,93.4,10.1,2024年1～3月
21,长阳县,19,59,11,2,0,0,85.7,17.2,2024年1～3月
22,当阳市,13,59,14,4,1,0,79.1,15.8,2024年1～3月
23,枝江市,15,55,17,3,1,0,76.9,11.3,2024年1～3月
24,*猇亭区,14,54,19,2,0,0,76.4,11.3,2024年1～3月
25,宜都市,14,55,18,4,0,0,75.8,15.8,2024年1～3月
26,*西陵区,13,52,22,3,0,0,72.2,7.4,2024年1～3月
27,*夷陵区,13,50,20,6,0,0,70.8,5.6,2024年1～3月
28,*点军区,12,47,20,5,0,0,70.2,7.3,2024年1～3月
29,*伍家岗区,12,47,20,8,0,0,67.8,3.8,2024年1～3月
30,*高新区,8,51,25,6,0,0,65.6,5.1,2024年1～3月
31,国家考核区域,12,55,20,4,0,0,73.6,9.2,2024年1～3月
32,全市平均,,,,,,,80.4,10.4,2024年1～3月
33,兴山县,51,66,2,0,0,0,98.3,11.9,2024年1～4月
34,五峰县,54,65,2,0,0,0,98.3,6.8,2024年1～4月
35,秭归县,37,79,2,1,0,0,97.5,10,2024年1～4月
36,远安县,38,77,5,1,0,0,95,10,2024年1～4月
37,长阳县,31,76,12,2,0,0,88.4,13.6,2024年1～4月
38,当阳市,20,81,15,4,1,0,83.5,14.3,2024年1～4月
39,*猇亭区,21,77,19,2,0,0,82.4,12.5,2024年1～4月
40,宜都市,24,75,18,4,0,0,81.8,14.3,2024年1～4月
41,枝江市,22,77,18,3,1,0,81.8,11,2024年1～4月
42,*西陵区,25,68,22,3,0,0,78.8,8.5,2024年1～4月
43,*点军区,25,59,20,5,0,0,77.1,8.2,2024年1～4月
44,*伍家岗区,17,70,20,8,0,0,75.7,5.4,2024年1～4月
45,*夷陵区,21,69,23,6,0,0,75.6,4.4,2024年1～4月
46,*高新区,17,70,27,6,0,0,72.5,5.8,2024年1～4月
47,国家考核区域,22,75,20,4,0,0,80.2,10.2,2024年1～4月
48,全市平均,,,,,,,84.8,9.8,2024年1～4月
49,兴山县,60,88,2,0,0,0,98.7,9.4,2024年1～5月
50,五峰县,68,82,2,0,0,0,98.7,5.5,2024年1～5月
