xh,px,xsq,jsntqzf,bqsj
1,1,长阳县,-37.6,2024年1～2月
2,2,*猇亭区,-34.9,2024年1～2月
3,3,兴山县,-34.5,2024年1～2月
4,4,秭归县,-34.4,2024年1～2月
5,5,五峰县,-32.1,2024年1～2月
6,6,当阳市,-31,2024年1～2月
7,7,*点军区,-30.3,2024年1～2月
8,8,*高新区,-29.6,2024年1～2月
9,9,宜都市,-29.2,2024年1～2月
10,10,*西陵区,-27.6,2024年1～2月
11,11,*伍家岗区,-27.2,2024年1～2月
12,12,*夷陵区,-27,2024年1～2月
13,13,枝江市,-20,2024年1～2月
14,14,远安县,-17.3,2024年1～2月
15,,国家考核区域,-28.1,2024年1～2月
16,,全市平均,-29.1,2024年1～2月
17,1,长阳县,-29,2024年1～3月
18,2,*猇亭区,-26,2024年1～3月
19,3,当阳市,-26,2024年1～3月
20,4,兴山县,-25.5,2024年1～3月
21,5,宜都市,-25,2024年1～3月
22,6,五峰县,-23.3,2024年1～3月
23,7,秭归县,-21.2,2024年1～3月
24,8,*点军区,-19.4,2024年1～3月
25,9,*高新区,-17.7,2024年1～3月
26,10,*伍家岗区,-17.3,2024年1～3月
27,11,*夷陵区,-16.7,2024年1～3月
28,12,*西陵区,-15.7,2024年1～3月
29,13,远安县,-13,2024年1～3月
30,14,枝江市,-11.8,2024年1～3月
31,,国家考核区域,-17.8,2024年1～3月
32,,全市平均,-20,2024年1～3月
33,1,长阳县,-27.1,2024年1～4月
34,2,当阳市,-26.6,2024年1～4月
35,3,兴山县,-26.2,2024年1～4月
36,4,*猇亭区,-25,2024年1～4月
37,5,宜都市,-23.9,2024年1～4月
38,6,五峰县,-21.6,2024年1～4月
39,7,秭归县,-19.6,2024年1～4月
40,8,*点军区,-19.4,2024年1～4月
41,9,*高新区,-17.6,2024年1～4月
42,10,*伍家岗区,-16.7,2024年1～4月
43,11,*夷陵区,-16.1,2024年1～4月
44,12,*西陵区,-14.8,2024年1～4月
45,13,远安县,-14.6,2024年1～4月
46,14,枝江市,-11.7,2024年1～4月
47,,国家考核区域,-17.5,2024年1～4月
48,,全市平均,-19.3,2024年1～4月
49,1,当阳市,-25.5,2024年1～5月
50,2,长阳县,-25,2024年1～5月
51,3,兴山县,-21.6,2024年1～5月
52,4,*猇亭区,-21.4,2024年1～5月
53,5,五峰县,-21.2,2024年1～5月
54,6,宜都市,-19,2024年1～5月
55,7,秭归县,-14.6,2024年1～5月
56,8,*点军区,-13.2,2024年1～5月
57,9,*伍家岗区,-12.3,2024年1～5月
58,10,*高新区,-12.1,2024年1～5月
59,11,*西陵区,-11.3,2024年1～5月
60,12,*夷陵区,-11.3,2024年1～5月
61,13,远安县,-11.1,2024年1～5月
62,14,枝江市,-9.3,2024年1～5月
63,,国家考核区域,-14.5,2024年1～5月
64,,全市平均,-16,2024年1～5月
65,1,长阳县,-25.5,2024年1～6月
66,2,当阳市,-22.9,2024年1～6月
67,3,兴山县,-21.2,2024年1～6月
68,4,*猇亭区,-20,2024年1～6月
69,5,五峰县,-17.2,2024年1～6月
70,6,宜都市,-15.7,2024年1～6月
71,7,远安县,-12.1,2024年1～6月
72,8,秭归县,-10.8,2024年1～6月
73,9,*伍家岗区,-10,2024年1～6月
74,10,*点军区,-8.7,2024年1～6月
75,11,*高新区,-8,2024年1～6月
76,12,*西陵区,-6.5,2024年1～6月
77,13,*夷陵区,-6.5,2024年1～6月
78,14,枝江市,-6.4,2024年1～6月
79,国家考核区域,,-10.4,2024年1～6月
80,全市平均,,-13.6,2024年1～6月
81,1,长阳县,-26.2,2024年1～7月
82,2,当阳市,-25,2024年1～7月
83,3,兴山县,-20,2024年1～7月
84,4,*猇亭区,-20,2024年1～7月
85,5,宜都市,-15.6,2024年1～7月
86,6,五峰县,-15.4,2024年1～7月
87,7,秭归县,-14.7,2024年1～7月
88,8,*点军区,-9.8,2024年1～7月
89,9,*伍家岗区,-8.9,2024年1～7月
90,10,*高新区,-8.9,2024年1～7月
91,11,*西陵区,-7.3,2024年1～7月
92,12,*夷陵区,-7.3,2024年1～7月
93,13,枝江市,-7.1,2024年1～7月
94,14,远安县,-6.9,2024年1～7月
95,,国家考核区域,-11.6,2024年1～7月
96,,全市平均,-12.8,2024年1～7月
97,1,长阳县,-27.5,2024年1～8月
98,2,当阳市,-24.4,2024年1～8月
99,3,兴山县,-21.4,2024年1～8月
100,4,*猇亭区,-21.4,2024年1～8月
101,5,五峰县,-16.7,2024年1～8月
102,6,宜都市,-14.3,2024年1～8月
103,7,秭归县,-12.5,2024年1～8月
104,8,远安县,-10.7,2024年1～8月
105,9,*点军区,-10.5,2024年1～8月
106,10,*伍家岗区,-9.5,2024年1～8月
107,11,*西陵区,-7.9,2024年1～8月
108,12,枝江市,-7.5,2024年1～8月
109,13,*高新区,-7.3,2024年1～8月
110,14,*夷陵区,-5.4,2024年1～8月
111,,国家考核区域,-12.5,2024年1～8月
112,,全市平均,-13.5,2024年1～8月
113,1,长阳县,-26.3,2024年1～9月
114,2,当阳市,-18.4,2024年1～9月
115,3,*猇亭区,-17.9,2024年1～9月
116,4,兴山县,-15.4,2024年1～9月
117,5,五峰县,-13,2024年1～9月
118,6,宜都市,-12.5,2024年1～9月
119,7,秭归县,-10,2024年1～9月
120,8,远安县,-7.7,2024年1～9月
121,9,*点军区,-5.7,2024年1～9月
122,10,*夷陵区,-5.7,2024年1～9月
123,11,枝江市,-5.3,2024年1～9月
124,12,*伍家岗区,-5.1,2024年1～9月
125,13,*高新区,-5.1,2024年1～9月
126,14,*西陵区,-2.9,2024年1～9月
127,,国家考核区域,-8.1,2024年1～9月
128,,全市平均,-8.8,2024年1～9月
129,1,长阳县,-24.3,2024年1～10月
130,2,当阳市,-16.2,2024年1～10月
131,3,兴山县,-16,2024年1～10月
132,4,*猇亭区,-13.5,2024年1～10月
133,5,宜都市,-10.3,2024年1～10月
134,6,秭归县,-10,2024年1～10月
135,7,五峰县,-9.1,2024年1～10月
136,8,远安县,-7.7,2024年1～10月
137,9,*点军区,-5.9,2024年1～10月
138,10,*西陵区,-2.9,2024年1～10月
139,10,*夷陵区,-2.9,2024年1～10月
