xh,px,xsq,nd,bqsj
1,1,五峰县,36,2024年1～2月
2,2,兴山县,38,2024年1～2月
3,3,秭归县,42,2024年1～2月
4,4,远安县,43,2024年1～2月
5,5,长阳县,53,2024年1～2月
6,6,*猇亭区,56,2024年1～2月
7,7,当阳市,58,2024年1～2月
8,8,*点军区,62,2024年1～2月
9,9,*西陵区,63,2024年1～2月
10,10,宜都市,63,2024年1～2月
11,11,枝江市,64,2024年1～2月
12,12,*夷陵区,65,2024年1～2月
13,13,*伍家岗区,67,2024年1～2月
14,14,*高新区,69,2024年1～2月
15,,国家考核区域,64,2024年1～2月
16,,全市平均,56,2024年1～2月
17,1,五峰县,33,2024年1～3月
18,2,兴山县,35,2024年1～3月
19,3,远安县,40,2024年1～3月
20,4,秭归县,41,2024年1～3月
21,5,长阳县,49,2024年1～3月
22,6,*猇亭区,54,2024年1～3月
23,7,当阳市,54,2024年1～3月
24,8,宜都市,57,2024年1～3月
25,9,*点军区,58,2024年1～3月
26,10,*西陵区,59,2024年1～3月
27,11,枝江市,60,2024年1～3月
28,12,*夷陵区,60,2024年1～3月
29,13,*伍家岗区,62,2024年1～3月
30,14,*高新区,65,2024年1～3月
31,,国家考核区域,60,2024年1～3月
32,,全市平均,52,2024年1～3月
33,1,五峰县,29,2024年1～4月
34,2,兴山县,31,2024年1～4月
35,3,远安县,35,2024年1～4月
36,4,秭归县,37,2024年1～4月
37,5,长阳县,43,2024年1～4月
38,6,当阳市,47,2024年1～4月
39,7,*猇亭区,48,2024年1～4月
40,8,*点军区,50,2024年1～4月
41,9,宜都市,51,2024年1～4月
42,10,*西陵区,52,2024年1～4月
43,11,*夷陵区,52,2024年1～4月
44,12,枝江市,53,2024年1～4月
45,13,*伍家岗区,55,2024年1～4月
46,14,*高新区,56,2024年1～4月
47,,国家考核区域,52,2024年1～4月
48,,全市平均,46,2024年1～4月
49,1,五峰县,26,2024年1～5月
50,2,兴山县,29,2024年1～5月
51,3,远安县,32,2024年1～5月
52,4,秭归县,35,2024年1～5月
53,5,长阳县,39,2024年1～5月
54,6,当阳市,41,2024年1～5月
55,7,*猇亭区,44,2024年1～5月
56,8,*点军区,46,2024年1～5月
57,9,*西陵区,47,2024年1～5月
58,10,宜都市,47,2024年1～5月
59,11,*夷陵区,47,2024年1～5月
60,12,枝江市,49,2024年1～5月
61,13,*伍家岗区,50,2024年1～5月
62,14,*高新区,51,2024年1～5月
63,,国家考核区域,47,2024年1～5月
64,,全市平均,42,2024年1～5月
65,1,五峰县,24,2024年1～6月
66,2,兴山县,26,2024年1～6月
67,3,远安县,29,2024年1～6月
68,4,秭归县,33,2024年1～6月
69,5,长阳县,35,2024年1～6月
70,6,当阳市,37,2024年1～6月
71,7,*猇亭区,40,2024年1～6月
72,8,*点军区,42,2024年1～6月
73,9,*西陵区,43,2024年1～6月
74,10,宜都市,43,2024年1～6月
75,11,*夷陵区,43,2024年1～6月
76,12,枝江市,44,2024年1～6月
77,13,*伍家岗区,45,2024年1～6月
78,14,*高新区,46,2024年1～6月
79,,国家考核区域,43,2024年1～6月
80,,全市平均,38,2024年1～6月
81,1,五峰县,22,2024年1～7月
82,2,兴山县,24,2024年1～7月
83,3,远安县,27,2024年1～7月
84,4,秭归县,29,2024年1～7月
85,5,长阳县,31,2024年1～7月
86,6,当阳市,33,2024年1～7月
87,7,*猇亭区,36,2024年1～7月
88,8,*点军区,37,2024年1～7月
89,9,*西陵区,38,2024年1～7月
90,10,宜都市,38,2024年1～7月
91,11,*夷陵区,38,2024年1～7月
92,12,枝江市,39,2024年1～7月
93,13,*伍家岗区,41,2024年1～7月
94,14,*高新区,41,2024年1～7月
95,,国家考核区域,38,2024年1～7月
96,,全市平均,34,2024年1～7月
97,1,五峰县,20,2024年1～8月
98,2,兴山县,22,2024年1～8月
99,3,远安县,25,2024年1～8月
100,4,秭归县,28,2024年1～8月
101,5,长阳县,29,2024年1～8月
102,6,当阳市,31,2024年1～8月
103,7,*猇亭区,33,2024年1～8月
104,8,*点军区,34,2024年1～8月
105,9,*西陵区,35,2024年1～8月
106,10,*夷陵区,35,2024年1～8月
107,11,宜都市,36,2024年1～8月
108,12,枝江市,37,2024年1～8月
109,13,*伍家岗区,38,2024年1～8月
110,14,*高新区,38,2024年1～8月
111,,国家考核区域,35,2024年1～8月
112,,全市平均,32,2024年1～8月
113,1,五峰县,20,2024年1～9月
114,2,兴山县,22,2024年1～9月
115,3,远安县,24,2024年1～9月
116,4,秭归县,27,2024年1～9月
117,5,长阳县,28,2024年1～9月
118,6,当阳市,31,2024年1～9月
119,7,*猇亭区,32,2024年1～9月
120,8,*点军区,33,2024年1～9月
121,9,*夷陵区,33,2024年1～9月
122,10,*西陵区,34,2024年1～9月
123,11,宜都市,35,2024年1～9月
124,12,枝江市,36,2024年1～9月
125,13,*伍家岗区,37,2024年1～9月
126,14,*高新区,37,2024年1～9月
127,,国家考核区域,34,2024年1～9月
128,,全市平均,31,2024年1～9月
129,1,五峰县,20,2024年1～10月
130,2,兴山县,21,2024年1～10月
131,3,远安县,24,2024年1～10月
132,4,秭归县,27,2024年1～10月
133,5,长阳县,28,2024年1～10月
134,6,当阳市,31,2024年1～10月
135,7,*点军区,32,2024年1～10月
136,7,*猇亭区,32,2024年1～10月
137,9,*西陵区,33,2024年1～10月
138,9,*夷陵区,33,2024年1～10月
139,11,宜都市,35,2024年1～10月
140,12,*伍家岗区,36,2024年1～10月
141,12,*高新区,36,2024年1～10月
142,12,枝江市,36,2024年1～10月
143,,国家考核区域,34,2024年1～10月
144,,全市平均,30,2024年1～10月
145,1,五峰县,20,2024年1～11月
146,2,兴山县,21,2024年1～11月
147,3,远安县,24,2024年1～11月
148,4,秭归县,27,2024年1～11月
149,5,长阳县,29,2024年1～11月
150,6,当阳市,31,2024年1～11月
151,7,点军区,32,2024年1～11月
152,7,猇亭区,32,2024年1～11月
153,8,夷陵区,33,2024年1～11月
154,9,西陵区,34,2024年1～11月
155,10,伍家岗区,36,2024年1～11月
156,10,枝江市,36,2024年1～11月
157,10,宜都市,36,2024年1～11月
158,11,高新区,37,2024年1～11月
159,,国家考核区域,34,2024年1～11月
160,,全市平均,31,2024年1～11月
161,1,五峰县,22,2024年1～12月
162,2,兴山县,23,2024年1～12月
163,3,远安县,26,2024年1～12月
164,4,秭归县,29,2024年1～12月
165,5,长阳县,31,2024年1～12月
166,6,*猇亭区,34,2024年1～12月
167,6,当阳市,34,2024年1～12月
168,7,*点军区,35,2024年1～12月
169,8,*西陵区,36,2024年1～12月
170,8,*夷陵区,36,2024年1～12月
171,9,枝江市,38,2024年1～12月
172,10,*伍家岗区,39,2024年1～12月
173,10,宜都市,39,2024年1～12月
174,11,*高新区,40,2024年1～12月
175,,国家考核区域,37,2024年1～12月
176,,全市平均,33,2024年1～12月
177,1,兴山县,41,2025年1～2月
178,2,五峰县,45,2025年1～2月
179,3,秭归县,55,2025年1～2月
180,4,远安县,56,2025年1～2月
181,5,当阳市,65,2025年1～2月
182,6,*猇亭区,67,2025年1～2月
183,6,枝江市,67,2025年1～2月
184,7,长阳县,69,2025年1～2月
185,8,*点军区,70,2025年1～2月
186,9,*西陵区,71,2025年1～2月
187,10,*夷陵区,72,2025年1～2月
188,11,宜都市,74,2025年1～2月
189,12,*伍家岗区,75,2025年1～2月
190,13,*高新区,81,2025年1～2月
191,,国家考核区域,73,2025年1～2月
192,,全市平均,65,2025年1～2月
193,1,兴山县,35,2025年1～3月
194,2,五峰县,38,2025年1～3月
195,3,远安县,46,2025年1～3月
196,4,秭归县,47,2025年1～3月
197,5,当阳市,54,2025年1～3月
198,6,*点军区,56,2025年1～3月
199,6,长阳县,57,2025年1～3月
200,7,枝江市,58,2025年1～3月
201,8,*猇亭区,59,2025年1～3月
202,8,*西陵区,59,2025年1～3月
203,9,*夷陵区,60,2025年1～3月
204,10,宜都市,63,2025年1～3月
205,10,*伍家岗区,63,2025年1～3月
206,11,*高新区,66,2025年1～3月
207,,国家考核区域,61,2025年1～3月
208,,全市平均,54,2025年1～3月
209,1,兴山县,33,2025年1～4月
210,2,五峰县,35,2025年1～4月
211,3,远安县,42,2025年1～4月
212,4,秭归县,44,2025年1～4月
213,5,当阳市,51,2025年1～4月
214,5,*点军区,51,2025年1～4月
215,5,长阳县,51,2025年1～4月
216,6,*夷陵区,53,2025年1～4月
217,7,*猇亭区,54,2025年1～4月
218,7,枝江市,54,2025年1～4月
219,8,*西陵区,55,2025年1～4月
220,9,宜都市,57,2025年1～4月
221,10,*伍家岗区,58,2025年1～4月
222,11,*高新区,60,2025年1～4月
223,,国家考核区域,55,2025年1～4月
224,,全市平均,50,2025年1～4月
225,1,五峰县,31,2025年1～5月
226,2,兴山县,31,2025年1～5月
227,3,远安县,39,2025年1～5月
228,4,秭归县,40,2025年1～5月
229,5,*点军区,46,2025年1～5月
230,6,长阳县,46,2025年1～5月
231,7,当阳市,47,2025年1～5月
232,8,*夷陵区,48,2025年1～5月
233,9,*猇亭区,49,2025年1～5月
234,10,*西陵区,49,2025年1～5月
235,11,枝江市,50,2025年1～5月
236,12,宜都市,52,2025年1～5月
237,13,*伍家岗区,52,2025年1～5月
238,14,*高新区,54,2025年1～5月
239,,国家考核区域,50,2025年1～5月
240,,全市平均,45,2025年1～5月
241,1,兴山县,28,2025年1～6月
242,2,五峰县,28,2025年1～6月
243,3,远安县,34,2025年1～6月
244,4,秭归县,36,2025年1～6月
245,5,*点军区,40,2025年1～6月
246,6,长阳县,40,2025年1～6月
247,7,当阳市,41,2025年1～6月
248,8,*夷陵区,41,2025年1～6月
249,9,*西陵区,42,2025年1～6月
250,10,*猇亭区,43,2025年1～6月
251,11,枝江市,44,2025年1～6月
252,12,宜都市,45,2025年1～6月
253,13,*伍家岗区,45,2025年1～6月
254,14,*高新区,47,2025年1～6月
255,,国家考核区域,43,2025年1～6月
256,,全市平均,40,2025年1～6月
257,1,兴山县,25,2025年1～7月
258,2,五峰县,25,2025年1～7月
259,3,远安县,30,2025年1～7月
260,4,秭归县,32,2025年1～7月
261,5,*点军区,35,2025年1～7月
262,6,当阳市,36,2025年1～7月
263,7,*夷陵区,36,2025年1～7月
264,8,长阳县,36,2025年1～7月
265,9,*西陵区,37,2025年1～7月
266,10,*猇亭区,38,2025年1～7月
267,11,宜都市,40,2025年1～7月
268,12,枝江市,40,2025年1～7月
269,13,*伍家岗区,40,2025年1～7月
270,14,*高新区,42,2025年1～7月
271,,国家考核区域,38,2025年1～7月
272,,全市平均,35,2025年1～7月
273,1,五峰县,23,2025年1～8月
274,2,兴山县,23,2025年1～8月
275,3,远安县,27,2025年1～8月
276,4,秭归县,30,2025年1～8月
277,5,*点军区,32,2025年1～8月
278,6,长阳县,32,2025年1～8月
279,7,*夷陵区,33,2025年1～8月
280,8,当阳市,33,2025年1～8月
281,9,*西陵区,34,2025年1～8月
282,10,*猇亭区,34,2025年1～8月
283,11,*伍家岗区,36,2025年1～8月
284,12,枝江市,37,2025年1～8月
285,13,宜都市,37,2025年1～8月
286,14,*高新区,39,2025年1～8月
287,,国家考核区域,35,2025年1～8月
288,,全市平均,32,2025年1～8月
