xh,px,xsq,jsntqzf,bqsj
1,1,*高新区,-17.8,2024年1～2月
2,2,远安县,-16.1,2024年1～2月
3,3,*西陵区,-14.4,2024年1～2月
4,4,长阳县,-13,2024年1～2月
5,5,宜都市,-12.7,2024年1～2月
6,6,*猇亭区,-12.6,2024年1～2月
7,7,枝江市,-10.2,2024年1～2月
8,8,秭归县,-9.3,2024年1～2月
9,9,*点军区,-9,2024年1～2月
10,10,五峰县,-7.4,2024年1～2月
11,11,*伍家岗区,-4.9,2024年1～2月
12,12,*夷陵区,-4.8,2024年1～2月
13,13,兴山县,-2.2,2024年1～2月
14,14,当阳市,0,2024年1～2月
15,,国家考核区域,-10.5,2024年1～2月
16,,全市平均,-10.5,2024年1～2月
17,1,枝江市,-10.9,2024年1～3月
18,2,*西陵区,-10.3,2024年1～3月
19,3,远安县,-9.5,2024年1～3月
20,4,长阳县,-8.7,2024年1～3月
21,5,*猇亭区,-7.4,2024年1～3月
22,6,*伍家岗区,-7.3,2024年1～3月
23,7,宜都市,-7.1,2024年1～3月
24,8,*高新区,-4.7,2024年1～3月
25,9,秭归县,-3.6,2024年1～3月
26,10,*点军区,-3.6,2024年1～3月
27,11,*夷陵区,-3.3,2024年1～3月
28,12,五峰县,0,2024年1～3月
29,13,兴山县,1,2024年1～3月
30,14,当阳市,7.5,2024年1～3月
31,,国家考核区域,-4.2,2024年1～3月
32,,全市平均,-5.2,2024年1～3月
33,1,兴山县,-12.4,2024年1～4月
34,2,*西陵区,-6.2,2024年1～4月
35,3,远安县,-6,2024年1～4月
36,4,*伍家岗区,-5.2,2024年1～4月
37,5,长阳县,-4.4,2024年1～4月
38,6,五峰县,-3.6,2024年1～4月
39,7,*点军区,-1.6,2024年1～4月
40,8,秭归县,0.8,2024年1～4月
41,9,*高新区,1.4,2024年1～4月
42,10,*猇亭区,1.6,2024年1～4月
43,11,枝江市,2.2,2024年1～4月
44,12,当阳市,5.9,2024年1～4月
45,13,宜都市,6,2024年1～4月
46,14,*夷陵区,7.7,2024年1～4月
47,,国家考核区域,0,2024年1～4月
48,,全市平均,-0.8,2024年1～4月
49,1,兴山县,4.1,2024年1～5月
50,2,长阳县,6.6,2024年1～5月
51,3,远安县,7.1,2024年1～5月
52,4,五峰县,7.9,2024年1～5月
53,5,*猇亭区,9.1,2024年1～5月
54,6,*西陵区,9.8,2024年1～5月
55,7,*伍家岗区,10.7,2024年1～5月
56,8,*夷陵区,11.2,2024年1～5月
57,9,枝江市,11.9,2024年1～5月
58,10,*高新区,12.1,2024年1～5月
59,11,秭归县,12.5,2024年1～5月
60,12,*点军区,13.5,2024年1～5月
61,13,宜都市,14.2,2024年1～5月
62,14,当阳市,16.8,2024年1～5月
63,,国家考核区域,9.3,2024年1～5月
64,,全市平均,10.4,2024年1～5月
65,1,兴山县,0.8,2024年1～6月
66,2,*猇亭区,2.1,2024年1～6月
67,3,长阳县,4.2,2024年1～6月
68,4,远安县,4.9,2024年1～6月
69,5,*西陵区,4.9,2024年1～6月
70,6,*伍家岗区,6.2,2024年1～6月
71,7,五峰县,6.9,2024年1～6月
72,8,*高新区,8.4,2024年1～6月
73,9,秭归县,8.7,2024年1～6月
74,10,枝江市,9.5,2024年1～6月
75,11,当阳市,10.1,2024年1～6月
76,12,*夷陵区,10.9,2024年1～6月
77,13,*点军区,15,2024年1～6月
78,14,宜都市,17.7,2024年1～6月
79,,国家考核区域,7.5,2024年1～6月
80,,全市平均,7.9,2024年1～6月
81,1,兴山县,0,2024年1～7月
82,2,*猇亭区,0,2024年1～7月
83,3,长阳县,2.8,2024年1～7月
84,4,*西陵区,2.8,2024年1～7月
85,5,远安县,4.2,2024年1～7月
86,6,五峰县,4.3,2024年1～7月
87,7,*伍家岗区,5.4,2024年1～7月
88,8,秭归县,6.5,2024年1～7月
89,9,当阳市,6.6,2024年1～7月
90,10,*高新区,7.1,2024年1～7月
