xh,xzqf,njsl,ysnxb,ydnxb,fgdj,nf
1,宜都市,7.0823,/,-13.6,-29.1,2015年
2,当阳市,4.5876,/,118.2,-36.4,2015年
3,枝江市,5.7563,/,26.8,-21.4,2015年
4,远安县,6.0304,/,40,-15.4,2015年
5,兴山县,10.9199,/,-30.1,-23.6,2015年
6,秭归县,13.0216,/,-5.8,-25.7,2015年
7,长阳县,19.5461,/,6.1,-30.1,2015年
8,五峰县,16.1963,/,6.7,-23.3,2015年
9,夷陵区,15.5546,/,11.2,-21.8,2015年
10,西陵区,0.4011,/,24.5,-23.1,2015年
11,伍家岗区,0.3142,/,20,-22.1,2015年
12,点军区,2.2857,/,4.2,-31.2,2015年
13,猇亭区,0.5723,/,8.1,-19.9,2015年
14,全市,102.2684,/,2.8,-25.6,2015年
15,宜都市,12.1333,/,71.3,21.5,2016年
16,当阳市,13.047,/,184.4,80.8,2016年
17,枝江市,9.3342,/,62.2,27.4,2016年
18,远安县,8.8276,/,46.4,23.8,2016年
19,兴山县,11.1743,/,2.3,-21.8,2016年
20,秭归县,18.2816,/,40.4,4.3,2016年
21,长阳县,34.9859,/,79,25.1,2016年
22,五峰县,27.7345,/,71.2,31.4,2016年
23,夷陵区,23.8368,/,53.2,19.9,2016年
24,西陵区,0.6527,/,62.7,25.2,2016年
25,伍家岗区,0.5151,/,63.9,27.7,2016年
26,点军区,3.9097,/,71.1,17.7,2016年
27,猇亭区,0.9621,/,68.1,34.7,2016年
28,全市,165.3948,/,61.7,20.4,2016年
29,宜都市,10.8888,798.9,-10.3,9,2017年
30,当阳市,8.6094,404.6,-34,19.3,2017年
31,枝江市,5.0471,370,-45.9,-31.1,2017年
32,远安县,8.177,467.3,-7.4,14.7,2017年
33,兴山县,14.9486,641.8,33.8,4.6,2017年
34,秭归县,18.8548,778.5,3.1,7.5,2017年
35,长阳县,34.1367,996.1,-2.4,22,2017年
36,五峰县,24.6254,1041.7,-11.2,16.7,2017年
37,夷陵区,20.1226,677.3,-2.4,17,2017年
38,西陵区,0.4912,707.9,-2.4,22.2,2017年
39,伍家岗区,0.3233,698.3,-2.4,24.7,2017年
40,点军区,3.3414,820.7,-2.4,14.8,2017年
41,猇亭区,0.5792,728,-2.4,31.5,2017年
42,全市,150.1455,703.7,-9.2,9.3,2017年
43,宜都市,8.6022,631.1,-21,-13.9,2018年
44,当阳市,8.7696,412.1,1.9,21.5,2018年
