xh,slsx,sydd,rjsl,xydd,szzl,scsz,csms,nf
1,宜都市,17.7945,7.0823,3.2674,7.1297,0.41,52.3,2015年
2,当阳市,20.0045,4.5876,2.2156,4.7629,0.24,22.4,2015年
3,枝江市,14.6657,5.7563,1.5744,6.3618,0.42,46.6,2015年
4,远安县,18.375,6.0304,1.9366,6.0304,0.32,34.5,2015年
5,兴山县,22.3137,10.9199,5.8874,10.9199,0.49,46.9,2015年
6,秭归县,27.4921,13.0216,5.1491,13.0216,0.46,53.8,2015年
7,长阳土家族自治县,42.5527,19.5461,7.7412,19.5461,0.47,57,2015年
8,五峰土家族自治县,33.3231,16.1963,5.4665,16.1963,0.5,68.5,2015年
9,夷陵区,38.1562,15.5546,5.3548,15.5546,0.41,45.3,2015年
10,西陵区,0.9883,0.4011,0.0909,0.4011,0.41,44.6,2015年
11,伍家岗区,0.7808,0.3142,0.0688,0.3142,0.4,43.6,2015年
12,点军区,5.4809,2.2857,1.1033,2.2857,0.42,49.2,2015年
13,猇亭区,1.412,0.5723,0.1233,0.5723,0.41,44.4,2015年
14,全市,243.3395,102.2684,39.9793,103.0966,0.42,48.3,2015年
15,宜都市,22.3619,12.1333,3.6713,12.1867,0.54,89.4,2016年
16,当阳市,26.148,13.047,2.2366,13.2343,0.51,62.2,2016年
17,枝江市,17.0519,9.3342,1.588,9.9863,0.59,73.2,2016年
18,远安县,21.2882,8.8276,1.9252,8.8276,0.41,50.4,2016年
19,兴山县,23.8809,11.1743,6.7887,11.1743,0.47,48,2016年
20,秭归县,32.6028,18.2816,6.7199,18.2816,0.56,75.5,2016年
21,长阳土家族自治县,57.0614,34.9859,9.7137,34.9859,0.61,102.1,2016年
22,五峰土家族自治县,43.5768,27.7345,6.6358,27.7345,0.64,117.3,2016年
23,夷陵区,45.6089,23.8368,5.7433,23.8368,0.52,69.4,2016年
24,西陵区,1.1904,0.6527,0.0891,0.6527,0.55,72.5,2016年
25,伍家岗区,0.9229,0.5151,0.0678,0.5151,0.56,71.5,2016年
26,点军区,6.8742,3.9097,1.5438,3.9097,0.57,84.1,2016年
27,猇亭区,1.7546,0.9621,0.1215,0.9621,0.55,74.6,2016年
28,全市,300.3229,165.3948,46.8447,166.2876,0.55,77.9,2016年
29,宜都市,18.9343,10.8888,3.5495,10.938,0.58,80.2,2017年
30,当阳市,22.9162,8.6094,2.3868,8.7871,0.38,41.3,2017年
31,枝江市,14.1871,5.0471,1.5561,5.6614,0.4,41.5,2017年
32,远安县,19.592,8.177,2.0921,8.177,0.42,46.7,2017年
33,兴山县,29.1834,14.9486,8.4314,14.9486,0.51,64.2,2017年
34,秭归县,34.6244,18.8548,7.3838,18.8548,0.54,77.8,2017年
35,长阳土家族自治县,53.2048,34.1367,9.726,34.1367,0.64,99.6,2017年
36,五峰土家族自治县,40.9329,24.6254,6.5977,24.6254,0.6,104.2,2017年
37,夷陵区,42.1572,20.1226,6.5486,20.1226,0.48,58.6,2017年
38,西陵区,1.0766,0.4912,0.0983,0.4912,0.46,54.6,2017年
39,伍家岗区,0.8089,0.3233,0.0731,0.3233,0.4,44.9,2017年
40,点军区,6.142,3.3414,1.601,3.3414,0.54,71.9,2017年
41,猇亭区,1.4493,0.5792,0.1309,0.5792,0.4,44.9,2017年
42,全市,285.2091,150.1455,50.1753,150.9867,0.53,70.8,2017年
43,宜都市,18.6346,8.6022,3.1301,8.6604,0.46,63.5,2018年
44,当阳市,23.6094,8.7696,2.0498,8.9705,0.38,42.2,2018年
